# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = Model4/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpyli5c534/d3la3cg2.json
# random
#   seed = 72628
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cmb/cmb-20230727223248_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,lambda,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.00276195
# Diagonal elements of inverse mass matrix:
# 2.46327e-05, 2.58488e-05, 4.5109e-05, 0.00176986
-11237.4,0.930579,0.00276195,3,15,1,11379.1,70.3924,0.0829755,0.699923,1.62157,0.703924,0.0829755,0.616947,4.15e-05,8.37522e-05,0.299993,0.703924,0.0829755,0.616947,8.37522e-05,0.299993,1.62157,0.699923,0.0375224,0.525621,1084.53,0,0,1.22417,1.22417,0.0130126,295.548,1.02416,0.0411152,-6.02178,-0.716543,0.0188352
-11228.3,0.883048,0.00276195,2,3,0,11239.8,70.3929,0.0829329,0.699974,1.62145,0.703929,0.0829329,0.617041,4.15e-05,8.3751e-05,0.299942,0.703929,0.0829329,0.617041,8.3751e-05,0.299942,1.62145,0.699974,0.037538,0.52565,1084.55,0,0,1.22432,1.22432,0.013019,295.438,1.02432,0.0410946,-6.13159,-0.716379,0.0188146
-11224.8,0.947125,0.00276195,2,3,0,11228.7,70.3924,0.0829141,0.699982,1.62138,0.703924,0.0829141,0.617068,4.15e-05,8.37522e-05,0.299935,0.703924,0.0829141,0.617068,8.37522e-05,0.299935,1.62138,0.699982,0.0375455,0.525664,1084.55,0,0,1.22442,1.22442,0.013023,295.373,1.02441,0.0410847,-6.19677,-0.716287,0.0188047
-11201.7,0.968398,0.00276195,4,15,0,11229,70.3981,0.0827738,0.69995,1.62159,0.703981,0.0827738,0.617176,4.15e-05,8.37387e-05,0.299966,0.703981,0.0827738,0.617176,8.37387e-05,0.299966,1.62159,0.69995,0.0375933,0.525753,1084.6,0,0,1.22413,1.22413,0.0130144,295.498,1.02414,0.0410218,-6.07171,-0.716556,0.0187418
-11124.4,0.913076,0.00276195,3,7,0,11203.2,70.3981,0.082341,0.699933,1.62184,0.703981,0.082341,0.617592,4.15e-05,8.37387e-05,0.299984,0.703981,0.082341,0.617592,8.37387e-05,0.299984,1.62184,0.699933,0.0377571,0.526057,1084.74,0,0,1.22378,1.22378,0.0130084,295.548,1.02383,0.0408073,-6.02232,-0.716865,0.0185273
-11119.3,1,0.00276195,3,7,0,11126,70.3981,0.0823114,0.699898,1.62161,0.703981,0.0823114,0.617586,4.15e-05,8.37388e-05,0.300018,0.703981,0.0823114,0.617586,8.37388e-05,0.300018,1.62161,0.699898,0.0377684,0.526078,1084.75,0,0,1.22413,1.22413,0.013021,295.349,1.02411,0.0407926,-6.22107,-0.716591,0.0185126
-11116.7,0.935694,0.00276195,3,7,0,11122.7,70.3974,0.0823039,0.699948,1.62171,0.703974,0.0823039,0.617645,4.15e-05,8.37404e-05,0.299968,0.703974,0.0823039,0.617645,8.37404e-05,0.299968,1.62171,0.699948,0.0377718,0.526084,1084.76,0,0,1.22397,1.22397,0.0130158,295.426,1.02401,0.0407881,-6.14433,-0.716694,0.0185081
-10941,0.925273,0.00276195,4,15,0,11119.5,70.3834,0.0813118,0.700337,1.62217,0.703834,0.0813118,0.619025,4.15e-05,8.37737e-05,0.299579,0.703834,0.0813118,0.619025,8.37737e-05,0.299579,1.62217,0.700337,0.0381658,0.526799,1085.11,0,0,1.22308,1.22308,0.0130047,295.465,1.02355,0.0402804,-6.10452,-0.71715,0.0180004
-10927.1,0.960297,0.00276195,3,7,0,10943.3,70.3859,0.0812182,0.700326,1.62225,0.703859,0.0812182,0.619108,4.15e-05,8.37677e-05,0.29959,0.703859,0.0812182,0.619108,8.37677e-05,0.29959,1.62225,0.700326,0.0381999,0.52686,1085.14,0,0,1.22297,1.22297,0.013002,295.499,1.02345,0.040237,-6.0713,-0.71725,0.017957
-10857.9,0.614715,0.00276195,3,7,0,10933.7,70.37,0.0807909,0.700219,1.62265,0.7037,0.0807909,0.619428,4.15e-05,8.38056e-05,0.299698,0.7037,0.0807909,0.619428,8.38056e-05,0.299698,1.62265,0.700219,0.0383815,0.527182,1085.3,0,0,1.22245,1.22245,0.0129898,295.651,1.02294,0.0400071,-5.91906,-0.717765,0.0177271
-10742.7,0.888889,0.00276195,3,9,1,10857.9,70.3628,0.0800453,0.700447,1.62268,0.703628,0.0800453,0.620402,4.15e-05,8.38226e-05,0.299469,0.703628,0.0800453,0.620402,8.38226e-05,0.299469,1.62268,0.700447,0.0386832,0.527708,1085.57,0,0,1.22228,1.22228,0.012998,295.424,1.02296,0.0396299,-6.14643,-0.717737,0.0173499
-10737.8,0.655317,0.00276195,1,3,1,10747.7,70.3619,0.0800143,0.700499,1.62268,0.703619,0.0800143,0.620484,4.15e-05,8.38249e-05,0.299418,0.703619,0.0800143,0.620484,8.38249e-05,0.299418,1.62268,0.700499,0.0386965,0.527731,1085.58,0,0,1.22226,1.22226,0.0129983,295.412,1.02298,0.0396134,-6.15801,-0.717718,0.0173334
-10720.3,0.875,0.00276195,3,8,1,10742.8,70.369,0.0798702,0.700408,1.6228,0.70369,0.0798702,0.620538,4.15e-05,8.38081e-05,0.299508,0.70369,0.0798702,0.620538,8.38081e-05,0.299508,1.6228,0.700408,0.0387477,0.527819,1085.63,0,0,1.22214,1.22214,0.0129949,295.459,1.02281,0.03955,-6.1108,-0.717889,0.01727
-10720.3,0,0.00276195,0,1,1,10721.7,70.369,0.0798702,0.700408,1.6228,0.70369,0.0798702,0.620538,4.15e-05,8.38081e-05,0.299508,0.70369,0.0798702,0.620538,8.38081e-05,0.299508,1.6228,0.700408,0.0387477,0.527819,1085.63,0,0,1.22214,1.22214,0.0129949,295.459,1.02281,0.03955,-6.1108,-0.717889,0.01727
-10722.2,0.618095,0.00276195,1,3,1,10723.2,70.3686,0.0798825,0.700431,1.62272,0.703686,0.0798825,0.620548,4.15e-05,8.3809e-05,0.299486,0.703686,0.0798825,0.620548,8.3809e-05,0.299486,1.62272,0.700431,0.0387431,0.527811,1085.62,0,0,1.22224,1.22224,0.0129984,295.402,1.02291,0.0395557,-6.16768,-0.717789,0.0172757
-10724.1,0.366254,0.00276195,1,2,1,10725.2,70.3699,0.0798848,0.700429,1.62264,0.703699,0.0798848,0.620544,4.15e-05,8.38058e-05,0.299487,0.703699,0.0798848,0.620544,8.38058e-05,0.299487,1.62264,0.700429,0.038741,0.527807,1085.62,0,0,1.22235,1.22235,0.0130023,295.343,1.023,0.0395584,-6.22737,-0.717697,0.0172784
-10724.1,0,0.00276195,0,1,1,10725.6,70.3699,0.0798848,0.700429,1.62264,0.703699,0.0798848,0.620544,4.15e-05,8.38058e-05,0.299487,0.703699,0.0798848,0.620544,8.38058e-05,0.299487,1.62264,0.700429,0.038741,0.527807,1085.62,0,0,1.22235,1.22235,0.0130023,295.343,1.023,0.0395584,-6.22737,-0.717697,0.0172784
-10718,0.666667,0.00276195,1,3,1,10725.2,70.3688,0.0798561,0.700437,1.62287,0.703688,0.0798561,0.620581,4.15e-05,8.38083e-05,0.299479,0.703688,0.0798561,0.620581,8.38083e-05,0.299479,1.62287,0.700437,0.0387535,0.527829,1085.63,0,0,1.22201,1.22201,0.0129911,295.515,1.02273,0.0395429,-6.05453,-0.717971,0.0172629
