# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = Model4/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpyli5c534/d3la3cg2.json
# random
#   seed = 72628
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cmb/cmb-20230727223248_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,lambda,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.000259155
# Diagonal elements of inverse mass matrix:
# 4.24239e-05, 0.000245031, 7.68701e-05, 0.00561843
-10510.4,0,0.000259155,0,1,1,10512.3,70.5113,0.078265,0.705674,1.62287,0.705113,0.078265,0.627409,4.15e-05,8.347e-05,0.294242,0.705113,0.078265,0.627409,8.347e-05,0.294242,1.62287,0.705674,0.0392711,0.5287,1086.24,0,0,1.2191,1.2191,0.0129625,295.46,1.02409,0.0389122,-6.11045,-0.716606,0.0166322
-10510.4,0,0.000259155,0,1,1,10512.5,70.5113,0.078265,0.705674,1.62287,0.705113,0.078265,0.627409,4.15e-05,8.347e-05,0.294242,0.705113,0.078265,0.627409,8.347e-05,0.294242,1.62287,0.705674,0.0392711,0.5287,1086.24,0,0,1.2191,1.2191,0.0129625,295.46,1.02409,0.0389122,-6.11045,-0.716606,0.0166322
-10510.6,0.5,0.000259155,1,2,1,10510.8,70.5113,0.0782668,0.705673,1.62287,0.705113,0.0782668,0.627406,4.15e-05,8.347e-05,0.294244,0.705113,0.0782668,0.627406,8.347e-05,0.294244,1.62287,0.705673,0.0392703,0.528699,1086.24,0,0,1.21909,1.21909,0.0129624,295.461,1.02409,0.038913,-6.10889,-0.716608,0.016633
-10510.6,0,0.000259155,0,1,1,10513.3,70.5113,0.0782668,0.705673,1.62287,0.705113,0.0782668,0.627406,4.15e-05,8.347e-05,0.294244,0.705113,0.0782668,0.627406,8.347e-05,0.294244,1.62287,0.705673,0.0392703,0.528699,1086.24,0,0,1.21909,1.21909,0.0129624,295.461,1.02409,0.038913,-6.10889,-0.716608,0.016633
-10510.6,0,0.000259155,0,1,1,10516.7,70.5113,0.0782668,0.705673,1.62287,0.705113,0.0782668,0.627406,4.15e-05,8.347e-05,0.294244,0.705113,0.0782668,0.627406,8.347e-05,0.294244,1.62287,0.705673,0.0392703,0.528699,1086.24,0,0,1.21909,1.21909,0.0129624,295.461,1.02409,0.038913,-6.10889,-0.716608,0.016633
-10510.2,0.749114,0.000259155,2,4,1,10511.7,70.511,0.078262,0.705676,1.62285,0.70511,0.078262,0.627414,4.15e-05,8.34707e-05,0.294241,0.70511,0.078262,0.627414,8.34707e-05,0.294241,1.62285,0.705676,0.0392726,0.528702,1086.25,0,0,1.21912,1.21912,0.0129634,295.445,1.02411,0.0389103,-6.12483,-0.716586,0.0166303
