# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = Model4/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpyli5c534/d3la3cg2.json
# random
#   seed = 72628
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cmb/cmb-20230727223248_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,lambda,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0117321
# Diagonal elements of inverse mass matrix:
# 6.59663e-05, 3.7561e-05, 0.454223, 0.000535137
-345.892,0.997957,0.0117321,6,103,0,346.449,75.5573,0.0413596,21.2971,1.40004,0.755573,0.0413596,21.2558,4.15e-05,7.26934e-05,-20.2972,0.755573,0.0413596,21.2558,7.26934e-05,-20.2972,1.40004,21.2971,0.0584678,0.546892,1313.56,0,0,0.360514,0.360514,0.00376328,300.958,1.66373,0.0236118,-0.611724,-0.0769697,0.00133183
-347.565,0.906879,0.0117321,3,15,0,348.373,75.5559,0.0415594,21.3019,1.39924,0.755559,0.0415594,21.2603,4.15e-05,7.2696e-05,-20.3019,0.755559,0.0415594,21.2603,7.2696e-05,-20.3019,1.39924,21.3019,0.0582535,0.54678,1312.53,0,0,0.360638,0.360638,0.00376702,300.762,1.66448,0.023725,-0.807848,-0.0762155,0.00144501
-347.715,0.997762,0.0117321,6,79,0,349.326,75.3886,0.041052,21.5752,1.39919,0.753886,0.041052,21.5342,4.15e-05,7.30191e-05,-20.5753,0.753886,0.041052,21.5342,7.30191e-05,-20.5753,1.39919,21.5752,0.0590052,0.547165,1317.36,0,0,0.358532,0.358532,0.00374144,301.05,1.66535,0.0233317,-0.519769,-0.0753485,0.00105169
-348.683,0.807115,0.0117321,2,7,0,351.993,75.396,0.0412939,21.5746,1.39958,0.75396,0.0412939,21.5333,4.15e-05,7.30049e-05,-20.5746,0.75396,0.0412939,21.5333,7.30049e-05,-20.5746,1.39958,21.5746,0.0587314,0.547027,1316.03,0,0,0.358455,0.358455,0.00373971,301.125,1.66497,0.0234737,-0.444808,-0.0757329,0.00119374
-347.279,0.955245,0.0117321,7,139,0,352.38,75.2834,0.0420365,21.1032,1.40088,0.752834,0.0420365,21.0612,4.15e-05,7.32233e-05,-20.1033,0.752834,0.0420365,21.0612,7.32233e-05,-20.1033,1.40088,21.1032,0.0580663,0.546682,1309.41,0,0,0.361865,0.361865,0.00377921,300.812,1.66234,0.0238246,-0.757886,-0.0783564,0.0015446
-347.46,0.999728,0.0117321,5,63,0,348.549,75.4228,0.0419164,20.995,1.40151,0.754228,0.0419164,20.9531,4.15e-05,7.2953e-05,-19.9951,0.754228,0.0419164,20.9531,7.2953e-05,-19.9951,1.40151,20.995,0.058029,0.546662,1309.04,0,0,0.362599,0.362599,0.00378598,300.883,1.66144,0.0238445,-0.686795,-0.0792605,0.00156452
-345.639,0.999373,0.0117321,8,351,0,348.06,73.5273,0.0433894,22.108,1.39906,0.735273,0.0433894,22.0646,4.15e-05,7.67627e-05,-21.108,0.735273,0.0433894,22.0646,7.67627e-05,-21.108,1.39906,22.108,0.0587626,0.547043,1312.72,0,0,0.354507,0.354507,0.00370111,300.915,1.66686,0.0234575,-0.655311,-0.0738374,0.00117748
-346.25,0.97567,0.0117321,8,511,0,347.151,75.1932,0.0416719,20.8789,1.40252,0.751932,0.0416719,20.8373,4.15e-05,7.33991e-05,-19.879,0.751932,0.0416719,20.8373,7.33991e-05,-19.879,1.40252,20.8789,0.0585638,0.546941,1310.11,0,0,0.363328,0.363328,0.00379298,300.932,1.66017,0.0235614,-0.63812,-0.0805258,0.00128138
-344.976,0.997593,0.0117321,7,151,0,346.717,74.8734,0.0419429,21.772,1.39862,0.748734,0.0419429,21.7301,4.15e-05,7.40276e-05,-20.7721,0.748734,0.0419429,21.7301,7.40276e-05,-20.7721,1.39862,21.772,0.0586557,0.546988,1315.01,0,0,0.357132,0.357132,0.00372834,300.928,1.66639,0.0235132,-0.642065,-0.0743055,0.00123325
-345.144,0.980803,0.0117321,3,11,0,346.08,74.8726,0.0418391,21.7713,1.39868,0.748726,0.0418391,21.7295,4.15e-05,7.40291e-05,-20.7714,0.748726,0.0418391,21.7295,7.40291e-05,-20.7714,1.39868,21.7713,0.0587682,0.547046,1315.55,0,0,0.357128,0.357128,0.00372808,300.946,1.66635,0.0234546,-0.623946,-0.0743484,0.00117457
