# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = BAO_model
# start_datetime = 2023-07-22 20:59:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Baryonic_Acoustic_Oscilators/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpv_ravs6o/g5_4s2h_.json
# random
#   seed = 19058
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/bao/BAO-20230722215942.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
-0.638795,1,0.015625,1,1,0,28.7095,78.1351,0.450234,78.1351,0.450234,1271.49,1650.35,2010.05,2086.3,2390.57,3600.28,150,299790,nan,nan,nan,nan,nan,nan
-0.638795,0,14.3855,0,1,1,4.84418,78.1351,0.450234,78.1351,0.450234,1271.49,1650.35,2010.05,2086.3,2390.57,3600.28,150,299790,nan,nan,nan,nan,nan,nan
-0.638795,0,2.43117,0,1,1,1.90199,78.1351,0.450234,78.1351,0.450234,1271.49,1650.35,2010.05,2086.3,2390.57,3600.28,150,299790,nan,nan,nan,nan,nan,nan
-0.638795,0,0.239791,0,1,1,2.60084,78.1351,0.450234,78.1351,0.450234,1271.49,1650.35,2010.05,2086.3,2390.57,3600.28,150,299790,nan,nan,nan,nan,nan,nan
-0.638795,8.11769e-41,0.0186273,1,1,0,2.32873,78.1351,0.450234,78.1351,0.450234,1271.49,1650.35,2010.05,2086.3,2390.57,3600.28,150,299790,nan,nan,nan,nan,nan,nan
-1.44268,0.998799,0.00130482,3,15,0,1.98782,78.5706,0.476264,78.5706,0.476264,1277.07,1654.24,2011.05,2086.54,2387.31,3577.11,150,299790,nan,nan,nan,nan,nan,nan
-1.41659,0.984256,0.0018841,3,7,0,2.62355,78.483,0.442041,78.483,0.442041,1265.68,1643.9,2003.4,2079.66,2384.11,3596.59,150,299790,nan,nan,nan,nan,nan,nan
3.71134,0.826003,0.0029,4,29,0,3.08848,73.379,0.375789,73.379,0.375789,1279.51,1671.29,2047.54,2127.81,2449.81,3752.51,150,299790,nan,nan,nan,nan,nan,nan
3.26238,0.989663,0.00290897,3,11,0,-3.11429,73.9817,0.349862,73.9817,0.349862,1261.09,1651.18,2027.5,2108,2431.6,3750.46,150,299790,nan,nan,nan,nan,nan,nan
4.17058,0.984359,0.00509041,2,7,0,-3.18169,72.9185,0.351633,72.9185,0.351633,1271.07,1663.98,2042.89,2123.93,2449.65,3776.43,150,299790,nan,nan,nan,nan,nan,nan
