# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = BAO_model
# start_datetime = 2023-07-22 20:59:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Baryonic_Acoustic_Oscilators/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpv_ravs6o/g5_4s2h_.json
# random
#   seed = 19058
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/bao/BAO-20230722215942.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
3.4431,0.92295,0.0021008,5,39,0,-2.78916,73.6415,0.385204,73.6415,0.385204,1281.78,1672.85,2047.81,2127.74,2448.13,3741.07,150,299790,nan,nan,nan,nan,nan,nan
3.47776,1,0.0032185,1,1,0,-3.40518,73.6391,0.384283,73.6391,0.384283,1281.37,1672.44,2047.48,2127.42,2447.92,3741.6,150,299790,nan,nan,nan,nan,nan,nan
3.47776,0.375056,0.00610444,2,5,0,-2.02605,73.6391,0.384283,73.6391,0.384283,1281.37,1672.44,2047.48,2127.42,2447.92,3741.6,150,299790,nan,nan,nan,nan,nan,nan
4.15412,0.990523,0.00195097,3,15,0,-2.5926,72.9356,0.354104,72.9356,0.354104,1272.25,1665.13,2043.85,2124.83,2450.23,3774.76,150,299790,nan,nan,nan,nan,nan,nan
4.31896,0.873308,0.00358228,2,7,0,-2.96311,72.366,0.343172,72.366,0.343172,1271.2,1665.48,2046.31,2127.83,2455.73,3794.83,150,299790,nan,nan,nan,nan,nan,nan
2.27431,0.467313,0.00469828,2,3,0,-1.16308,71.9322,0.296543,71.9322,0.296543,1246.25,1640.42,2024.65,2107.33,2441.43,3827.93,150,299790,nan,nan,nan,nan,nan,nan
4.45477,0.990535,0.00199924,3,7,0,-1.60728,71.4557,0.323016,71.4557,0.323016,1267.37,1663.74,2048.03,2130.48,2462.71,3828.41,150,299790,nan,nan,nan,nan,nan,nan
4.13854,0.821103,0.00361662,2,3,0,-3.47452,71.2149,0.306563,71.2149,0.306563,1259.1,1655.63,2041.34,2124.24,2458.88,3842.43,150,299790,nan,nan,nan,nan,nan,nan
2.87592,0.864162,0.00408917,4,23,0,-1.41353,67.7999,0.287172,67.7999,0.287172,1276.46,1681.85,2077.79,2163.09,2508.13,3945.31,150,299790,nan,nan,nan,nan,nan,nan
2.57378,0.337993,0.00518137,2,7,1,-1.0609,67.2001,0.244384,67.2001,0.244384,1247.61,1651.65,2050.17,2136.52,2487.64,3978.42,150,299790,nan,nan,nan,nan,nan,nan
