# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = BAO_model
# start_datetime = 2023-07-22 20:59:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Baryonic_Acoustic_Oscilators/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpv_ravs6o/g5_4s2h_.json
# random
#   seed = 19058
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/bao/BAO-20230722215942.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
-6.09739,0.5,0.015625,1,2,1,37.9672,80.8311,0.510877,80.8311,0.510877,1270.09,1640.97,1990.29,2064.02,2357.22,3510.07,150,299790,nan,nan,nan,nan,nan,nan
-6.09739,0,5.79578,0,1,1,6.70316,80.8311,0.510877,80.8311,0.510877,1270.09,1640.97,1990.29,2064.02,2357.22,3510.07,150,299790,nan,nan,nan,nan,nan,nan
-6.09739,0,0.748159,0,1,1,6.31668,80.8311,0.510877,80.8311,0.510877,1270.09,1640.97,1990.29,2064.02,2357.22,3510.07,150,299790,nan,nan,nan,nan,nan,nan
-6.09739,0,0.0632707,0,1,1,7.64377,80.8311,0.510877,80.8311,0.510877,1270.09,1640.97,1990.29,2064.02,2357.22,3510.07,150,299790,nan,nan,nan,nan,nan,nan
-3.87998,0.987308,0.00446404,2,3,0,6.35609,79.8644,0.496775,79.8644,0.496775,1273.38,1646.92,1999.37,2073.83,2370.15,3538.05,150,299790,nan,nan,nan,nan,nan,nan
-3.40555,0.98557,0.00557862,2,3,0,4.80389,79.5936,0.500684,79.5936,0.500684,1276.72,1650.76,2003.51,2078.01,2374.44,3542.01,150,299790,nan,nan,nan,nan,nan,nan
-0.545695,0.739799,0.00804471,2,3,0,3.84719,77.9385,0.470388,77.9385,0.470388,1280.18,1659.01,2017.68,2093.6,2396.17,3594.4,150,299790,nan,nan,nan,nan,nan,nan
-0.949298,0.911395,0.00592656,2,3,0,1.98389,78.2729,0.470401,78.2729,0.470401,1277.48,1655.52,2013.43,2089.19,2391.12,3586.81,150,299790,nan,nan,nan,nan,nan,nan
2.07212,0.889458,0.00782866,2,5,0,1.75618,75.7949,0.425333,75.7949,0.425333,1281.08,1666.17,2033.1,2111.04,2422.55,3667.61,150,299790,nan,nan,nan,nan,nan,nan
2.16566,1,0.0100312,1,1,0,-2.1072,75.9429,0.401806,75.9429,0.401806,1269.97,1655.02,2023.24,2101.6,2415.36,3676.25,150,299790,nan,nan,nan,nan,nan,nan
2.16566,5.03711e-20,0.0187009,1,1,0,-1.05953,75.9429,0.401806,75.9429,0.401806,1269.97,1655.02,2023.24,2101.6,2415.36,3676.25,150,299790,nan,nan,nan,nan,nan,nan
1.55381,0.994833,0.00150493,4,15,0,-1.08599,76.4872,0.429582,76.4872,0.429582,1277.04,1660.34,2025.32,2102.82,2412.49,3649.01,150,299790,nan,nan,nan,nan,nan,nan
-2.58576,0.865789,0.00285423,3,11,0,3.62959,77.9303,0.392389,77.9303,0.392389,1249.76,1630.02,1994.2,2071.78,2382.58,3634.49,150,299790,nan,nan,nan,nan,nan,nan
