# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = BAO_model
# start_datetime = 2023-07-22 20:59:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Baryonic_Acoustic_Oscilators/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpv_ravs6o/g5_4s2h_.json
# random
#   seed = 19058
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/bao/BAO-20230722215942.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
-9.15213,0.5,0.015625,1,2,1,43.3747,81.967,0.538728,81.967,0.538728,1269.16,1636.53,1981.42,2054.08,2342.63,3472.26,150,299790,nan,nan,nan,nan,nan,nan
-9.15213,0,5.79578,0,1,1,9.47148,81.967,0.538728,81.967,0.538728,1269.16,1636.53,1981.42,2054.08,2342.63,3472.26,150,299790,nan,nan,nan,nan,nan,nan
-9.15213,0,0.748159,0,1,1,9.15486,81.967,0.538728,81.967,0.538728,1269.16,1636.53,1981.42,2054.08,2342.63,3472.26,150,299790,nan,nan,nan,nan,nan,nan
-9.15213,0,0.0632707,0,1,1,9.32949,81.967,0.538728,81.967,0.538728,1269.16,1636.53,1981.42,2054.08,2342.63,3472.26,150,299790,nan,nan,nan,nan,nan,nan
-8.393,0.983347,0.00446404,2,3,0,9.6285,81.5626,0.558873,81.5626,0.558873,1277.5,1645.01,1989.25,2061.69,2349.07,3470.86,150,299790,nan,nan,nan,nan,nan,nan
-6.1333,1,0.00551312,2,3,0,8.38887,80.817,0.523832,80.817,0.523832,1273.93,1644.4,1992.8,2066.27,2358.24,3503.91,150,299790,nan,nan,nan,nan,nan,nan
-3.33373,0.898784,0.00830675,2,3,0,6.58603,79.418,0.511251,79.418,0.511251,1281.29,1655.4,2007.74,2082.11,2377.83,3540.53,150,299790,nan,nan,nan,nan,nan,nan
-1.80578,0.475525,0.0100432,2,3,0,4.21818,78.2732,0.417775,78.2732,0.417775,1257.88,1637.04,1998.72,2075.59,2383,3613.76,150,299790,nan,nan,nan,nan,nan,nan
0.130402,0.989113,0.00338896,3,7,0,2.30874,77.1363,0.468251,77.1363,0.468251,1285.99,1666.82,2027.48,2103.83,2408.17,3613.88,150,299790,nan,nan,nan,nan,nan,nan
4.37739,0.975471,0.00592444,3,7,0,-0.659557,71.9847,0.338218,71.9847,0.338218,1271.72,1666.95,2049.05,2130.89,2460.2,3807.17,150,299790,nan,nan,nan,nan,nan,nan
