lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.140384
# Diagonal elements of inverse mass matrix:
# 0.000715971, 3.2309, 0.00366951, 0.000304461
-10437.9,0.98764,0.140384,5,31,0,10439.9,0.378351,71.8664,-0.222624,-1.24776,0.378351,71.8664,-0.222624,-1.24776,0.0143044,0.0199376,0.0273249,0.0342672,0.0415037,0.0501385,0.0595495,0.0685183,0.077707,0.0880413,0.0971019,0.110278,0.11861,0.133552,0.14368,0.15825,0.173648,0.188362,0.206753,0.223445,0.244742,0.264743,0.290507,0.311677,0.340325,0.370304,0.405592,0.44075,0.479049,0.531238,0.578972,0.639856,0.710615,0.804952,0.899646,1.06406,1.23872,1.48015,2.02735,2.79845,14.5296,15.2506,15.935,16.4266,16.8427,17.2531,17.6266,17.9313,18.2045,18.4757,18.6884,18.9647,19.1229,19.3805,19.5392,19.749,19.9506,20.1272,20.3295,20.4981,20.6958,20.8664,21.068,21.2208,21.4117,21.595,21.7927,21.9732,22.1541,22.3787,22.5655,22.7826,23.0104,23.2811,23.5226,23.8871,24.2171,24.6038,25.2869,25.9868,72.0541,72.5859,73.501,75.2698,75.6158,76.4119,76.4527,79.5146,79.9837,83.5736,85.0649,86.1611,86.1833,87.5664,88.7179,90.1905,90.6874,90.7897,97.9412,103.891,108.935,111.238,118.466,118.861,120.449,131.727,155.173,161.108,167.544,177.382,199.947,223.137,0.138443,0.171895,0.205171,0.212517,0.243189,0.403044,150,299790
-10436.9,0.989971,0.140384,5,31,0,10438.4,0.329459,69.8457,-0.161969,-1.23841,0.329459,69.8457,-0.161969,-1.23841,0.0142507,0.0198515,0.027191,0.0340841,0.0412659,0.0498319,0.0591646,0.0680563,0.0771641,0.0874058,0.0963844,0.10944,0.117697,0.132502,0.142539,0.156979,0.172242,0.186831,0.205069,0.221628,0.242764,0.262622,0.288215,0.309255,0.337746,0.367582,0.40273,0.437781,0.476001,0.528141,0.575892,0.636881,0.707875,0.802706,0.898094,1.06415,1.24109,1.48646,2.04527,2.83706,14.5308,15.2506,15.9337,16.4244,16.8396,17.2491,17.6219,17.9259,18.1987,18.4693,18.6816,18.9575,19.1154,19.3727,19.5313,19.7408,19.9423,20.1188,20.3211,20.4897,20.6875,20.8582,21.0602,21.2132,21.4045,21.5884,21.7867,21.9679,22.1496,22.3753,22.5633,22.7819,23.0114,23.2844,23.5282,23.8966,24.2306,24.6224,25.3153,26.0259,70.6621,71.2026,72.0967,73.7667,74.0883,74.8241,74.8616,77.6552,78.0798,81.3121,82.6487,83.6294,83.6493,84.8852,85.9132,87.2268,87.6698,87.7609,94.129,99.4235,103.913,105.964,112.404,112.755,114.171,124.236,145.212,150.531,156.304,165.136,185.419,206.298,0.12764,0.158361,0.188897,0.195637,0.223779,0.370851,150,299790
-10436.8,0.987501,0.140384,3,11,0,10438.7,0.336474,71.7323,-0.16787,-1.23761,0.336474,71.7323,-0.16787,-1.23761,0.0142558,0.0198595,0.0272033,0.0341007,0.0412872,0.0498589,0.0591978,0.0680955,0.0772095,0.087458,0.0964423,0.109506,0.117768,0.132581,0.142623,0.15707,0.17234,0.186934,0.205178,0.221741,0.24288,0.26274,0.288332,0.30937,0.337854,0.36768,0.40281,0.437839,0.476028,0.528117,0.575811,0.636715,0.707592,0.802241,0.897417,1.06304,1.23944,1.48395,2.04043,2.8283,14.5323,15.2522,15.9355,16.4262,16.8415,17.2511,17.6239,17.928,18.2007,18.4714,18.6837,18.9596,19.1175,19.3748,19.5333,19.7429,19.9443,20.1208,20.323,20.4916,20.6893,20.86,21.0619,21.2148,21.406,21.5897,21.7879,21.969,22.1505,22.376,22.5638,22.7821,23.0113,23.2839,23.5274,23.8951,24.2285,24.6195,25.311,26.02,72.5217,73.0793,74.0047,75.7381,76.0723,76.8373,76.8763,79.7838,80.2259,83.5931,84.9857,86.0077,86.0284,87.3164,88.3877,89.7566,90.2183,90.3133,96.9493,102.465,107.142,109.278,115.984,116.35,117.824,128.301,150.123,155.655,161.658,170.839,191.922,213.619,0.129936,0.161222,0.192321,0.199185,0.227845,0.377552,150,299790
-10436.7,0.897049,0.140384,4,31,0,10438.7,0.363565,69.947,-0.18435,-1.23413,0.363565,69.947,-0.18435,-1.23413,0.0142725,0.0198857,0.0272431,0.0341539,0.0413548,0.0499438,0.0593016,0.068217,0.0773484,0.0876158,0.0966158,0.109701,0.117975,0.132808,0.142861,0.157322,0.172603,0.187203,0.205451,0.222012,0.243142,0.262986,0.288547,0.30955,0.337976,0.367725,0.402745,0.437644,0.475667,0.527493,0.57491,0.63541,0.705754,0.799587,0.893834,1.0576,1.23176,1.47274,2.01988,2.79249,14.5384,15.2586,15.9422,16.4331,16.8485,17.2583,17.6312,17.9353,18.2081,18.4788,18.6911,18.9669,19.1248,19.382,19.5404,19.7498,19.9511,20.1274,20.3294,20.4978,20.6952,20.8655,21.067,21.2195,21.4103,21.5935,21.791,21.9715,22.1524,22.377,22.5639,22.7811,23.0091,23.2802,23.5222,23.8875,24.2185,24.6065,25.2925,25.9958,70.5816,71.1418,72.08,73.8514,74.1941,74.9796,75.0197,78.0122,78.4679,81.9404,83.3771,84.4314,84.4527,85.7814,86.8864,88.2982,88.7742,88.8722,95.7105,101.388,106.196,108.39,115.275,115.65,117.162,127.899,150.215,155.864,161.991,171.357,192.844,214.932,0.134456,0.16687,0.199092,0.206203,0.235889,0.390663,150,299790
-10437.7,0.827958,0.140384,2,3,0,10438.1,0.363562,69.9275,-0.171395,-1.2355,0.363562,69.9275,-0.171395,-1.2355,0.0142632,0.0198704,0.0272186,0.0341196,0.0413092,0.0498835,0.059224,0.0681215,0.0772337,0.0874782,0.0964571,0.10951,0.117763,0.132557,0.142582,0.157002,0.172238,0.186794,0.204984,0.221492,0.242552,0.262328,0.287801,0.30873,0.337052,0.366691,0.401579,0.436344,0.474219,0.525841,0.573068,0.633324,0.703382,0.796832,0.890694,1.0538,1.22726,1.4673,2.0124,2.78236,14.5356,15.2555,15.9388,16.4295,16.8447,17.2543,17.627,17.9309,18.2035,18.474,18.6862,18.9618,19.1195,19.3765,19.5348,19.744,19.9451,20.1213,20.3231,20.4913,20.6885,20.8587,21.06,21.2124,21.403,21.586,21.7834,21.9636,22.1444,22.3688,22.5555,22.7726,23.0005,23.2713,23.5131,23.8783,24.2092,24.5971,25.2831,25.9866,70.7166,71.2976,72.263,74.0724,74.4212,75.2196,75.2603,78.2922,78.753,82.2578,83.7056,84.7674,84.7889,86.1262,87.2379,88.6576,89.1362,89.2346,96.1027,101.798,106.618,108.817,115.714,116.09,117.604,128.354,150.684,156.335,162.464,171.832,193.32,215.407,0.134368,0.166739,0.19891,0.206009,0.23564,0.39008,150,299790
-10437.4,0.990109,0.140384,3,15,0,10437.9,0.352998,69.9518,-0.174997,-1.24092,0.352998,69.9518,-0.174997,-1.24092,0.0142637,0.0198718,0.0272216,0.0341248,0.0413173,0.0498961,0.0592423,0.0681465,0.0772664,0.0875209,0.0965097,0.109579,0.117843,0.132659,0.142701,0.157146,0.172412,0.186999,0.205232,0.221781,0.242897,0.26273,0.288282,0.309281,0.337704,0.367456,0.402487,0.437403,0.475455,0.527333,0.574811,0.635407,0.705887,0.799941,0.894452,1.05877,1.23362,1.47572,2.02593,2.80369,14.5302,15.2503,15.9336,16.4244,16.8397,17.2494,17.6222,17.9263,18.199,18.4696,18.6819,18.9577,19.1156,19.3728,19.5312,19.7406,19.9419,20.1183,20.3203,20.4887,20.6862,20.8566,21.0582,21.2108,21.4018,21.5851,21.7828,21.9635,22.1446,22.3695,22.5567,22.7743,23.0028,23.2744,23.5169,23.8831,24.215,24.6041,25.2922,25.9977,70.6766,71.2354,72.1664,73.9156,74.2533,75.0266,75.0661,78.0073,78.4547,81.862,83.271,84.3049,84.3258,85.6285,86.7118,88.0959,88.5626,88.6586,95.3627,100.93,105.646,107.798,114.553,114.922,116.405,126.946,148.869,154.421,160.444,169.652,190.784,212.516,0.132376,0.164268,0.195969,0.202965,0.232173,0.384555,150,299790
-10439.5,0.845394,0.140384,3,11,0,10441.6,0.35312,67.8869,-0.191044,-1.23228,0.35312,67.8869,-0.191044,-1.23228,0.014275,0.0198903,0.0272512,0.0341662,0.0413723,0.0499687,0.0593359,0.0682615,0.0774047,0.0876869,0.096701,0.109809,0.118098,0.132962,0.143037,0.157532,0.172852,0.187493,0.205794,0.222408,0.243608,0.263524,0.289183,0.310271,0.338819,0.368705,0.403896,0.438974,0.477205,0.529331,0.577039,0.637932,0.708759,0.803278,0.898256,1.06338,1.23908,1.48232,2.035,2.81598,14.5406,15.2609,15.9446,16.4357,16.8513,17.2612,17.6343,17.9386,18.2116,18.4824,18.6949,18.9709,19.1289,19.3863,19.545,19.7546,19.9561,20.1326,20.3349,20.5035,20.7012,20.8718,21.0736,21.2264,21.4176,21.6011,21.7991,21.9799,22.1612,22.3864,22.5737,22.7916,23.0202,23.292,23.5347,23.9012,24.2332,24.6224,25.3105,26.0159,68.4097,68.9276,69.7992,71.4521,71.7726,72.5078,72.5454,75.3532,75.7814,79.0495,80.4037,81.3981,81.4182,82.6721,83.7154,85.0491,85.499,85.5916,92.0617,97.4422,102.004,104.087,110.627,110.984,112.421,122.634,143.889,149.273,155.115,164.049,184.552,205.64,0.131489,0.163193,0.194717,0.201676,0.23073,0.382368,150,299790
-10439.6,0.81482,0.140384,5,31,0,10443.9,0.294598,71.1677,-0.0607321,-1.2044,0.294598,71.1677,-0.0607321,-1.2044,0.0141866,0.0197479,0.0270283,0.0338597,0.0409719,0.0494491,0.0586789,0.0674676,0.0764656,0.0865794,0.0954426,0.108326,0.116471,0.131073,0.140969,0.155205,0.170249,0.184627,0.202601,0.218918,0.239746,0.259316,0.284539,0.305279,0.333369,0.362793,0.397468,0.432062,0.469801,0.521319,0.568535,0.628889,0.699216,0.793278,0.888031,1.0533,1.22983,1.47527,2.03663,2.83621,14.555,15.2732,15.9547,16.444,16.858,17.2664,17.638,17.9411,18.2129,18.4827,18.6943,18.9693,19.1267,19.3832,19.5412,19.7501,19.951,20.1271,20.3288,20.497,20.6944,20.8647,21.0663,21.2191,21.4102,21.5939,21.7921,21.9733,22.1552,22.3811,22.5694,22.7885,23.0187,23.2927,23.5377,23.9084,24.2448,24.64,25.3402,26.0593,72.9016,73.5296,74.5231,76.3015,76.6369,77.3981,77.4367,80.2717,80.6973,83.9068,85.2222,86.1841,86.2035,87.4124,88.4153,89.6941,90.1247,90.2133,96.3762,101.475,105.788,107.755,113.929,114.266,115.621,125.258,145.332,150.423,155.95,164.407,183.84,203.858,0.120659,0.149567,0.178259,0.184588,0.211003,0.349113,150,299790
-10437.4,0.999109,0.140384,5,31,0,10440.3,0.332188,68.7767,-0.108255,-1.21905,0.332188,68.7767,-0.108255,-1.21905,0.0142161,0.0197946,0.0271,0.0339565,0.0410962,0.0496071,0.0588746,0.0676995,0.0767346,0.0868899,0.0957888,0.108723,0.116899,0.131555,0.141486,0.155769,0.17086,0.185278,0.203296,0.219649,0.240513,0.260109,0.285355,0.306102,0.334186,0.363587,0.398209,0.432724,0.470347,0.521659,0.568636,0.628621,0.69843,0.791657,0.885416,1.04861,1.22252,1.46369,2.01319,2.79241,14.5449,15.2637,15.9458,16.4356,16.85,17.2587,17.6306,17.9339,18.2059,18.4758,18.6875,18.9626,19.12,19.3765,19.5345,19.7434,19.9442,20.1201,20.3216,20.4896,20.6866,20.8567,21.0579,21.2103,21.4009,21.584,21.7815,21.962,22.143,22.3679,22.5551,22.7729,23.0016,23.2736,23.5167,23.884,24.2172,24.6082,25.3004,26.0108,70.1602,70.7745,71.7636,73.5642,73.9065,74.6858,74.7254,77.6482,78.0888,81.4218,82.7912,83.7935,83.8137,85.0741,86.1204,87.4549,87.9044,87.9968,94.4327,99.7571,104.259,106.312,112.749,113.1,114.513,124.545,145.397,150.677,156.406,165.164,185.267,205.946,0.127408,0.158,0.188377,0.195078,0.223043,0.368965,150,299790
-10438,0.895095,0.140384,2,3,0,10438.2,0.329293,69.0358,-0.124882,-1.21519,0.329293,69.0358,-0.124882,-1.21519,0.0142267,0.019812,0.027128,0.033996,0.0411489,0.0496772,0.0589654,0.0678116,0.07687,0.0870532,0.0959779,0.108952,0.117154,0.131859,0.141824,0.15616,0.171308,0.185783,0.203875,0.220297,0.241253,0.260939,0.286303,0.307151,0.335376,0.364928,0.399734,0.434438,0.472273,0.523881,0.571137,0.631487,0.701731,0.795553,0.889924,1.05421,1.2293,1.47213,2.02543,2.81,14.5503,15.2695,15.9519,16.4419,16.8566,17.2656,17.6378,17.9413,18.2136,18.4837,18.6957,18.971,19.1286,19.3854,19.5436,19.7526,19.9537,20.1298,20.3316,20.4998,20.6972,20.8675,21.0689,21.2216,21.4125,21.5958,21.7937,21.9744,22.1558,22.381,22.5685,22.7866,23.0157,23.2882,23.5316,23.8994,24.2331,24.6245,25.3174,26.0283,70.2365,70.824,71.7774,73.526,73.8597,74.6205,74.6593,77.5236,77.9565,81.2377,82.5885,83.5781,83.5981,84.8434,85.8777,87.1978,87.6427,87.7342,94.1119,99.3972,103.87,105.912,112.315,112.665,114.071,124.062,144.85,150.116,155.831,164.571,184.637,205.284,0.127043,0.157569,0.187891,0.19458,0.222505,0.368309,150,299790
