# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = total_model
# start_datetime = 2023-07-19 10:46:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpziw3_g8o/cocgm0ci.json
# random
#   seed = 7026
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/together/total-20230719114654.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.349533
# Diagonal elements of inverse mass matrix:
# 0.000434039, 2.50661, 0.0017777
-10459.3,0.894493,0.349533,2,3,0,10460.5,0.368344,68.8511,-0.211511,0.368344,68.8511,-0.211511,3.24854e+07,1.36756e+06,57571.6,23.7943,23.7315,23.7535,23.7498,23.7486,23.7365,23.7044,23.7344,23.7288,23.8342,23.7678,23.8298,23.8049,23.7464,23.7721,23.8255,23.7498,23.6929,23.7653,23.7626,23.7455,23.7505,23.7396,23.7388,23.7076,23.7395,23.776,23.7486,23.7439,23.7561,23.747,23.7691,23.7447,23.7729,23.7341,23.7318,23.7789,23.7878,23.7656,23.6855,69.1594,69.6737,70.5514,72.236,72.5645,73.3195,73.3581,76.2547,76.6977,80.0851,81.4911,82.5243,82.5452,83.8484,84.9333,86.3205,86.7885,86.8848,93.6195,99.2222,103.972,106.141,112.95,113.322,114.818,125.446,147.55,153.147,159.219,168.5,189.794,211.685,0.134991,0.167583,0.199999,0.207155,0.237033,0.392848,150,299790
-10461.3,0.958643,0.349533,3,7,0,10461.6,0.369503,66.4801,-0.190258,0.369503,66.4801,-0.190258,3.25101e+07,1.36808e+06,57571.6,23.7967,23.7343,23.7567,23.7534,23.7525,23.7409,23.7091,23.7395,23.7342,23.8399,23.7738,23.8361,23.8114,23.7533,23.7793,23.833,23.7576,23.701,23.7737,23.7712,23.7545,23.7598,23.7492,23.7487,23.7178,23.7501,23.7869,23.7598,23.7554,23.768,23.7592,23.7816,23.7576,23.7861,23.7476,23.7458,23.7932,23.8024,23.7804,23.7003,67.0248,67.5564,68.4503,70.1433,70.4713,71.2235,71.2619,74.131,74.5682,77.9012,79.2808,80.2933,80.3138,81.5899,82.6512,84.0073,84.4645,84.5586,91.1276,96.581,101.199,103.306,109.918,110.278,111.73,122.038,143.455,148.875,154.754,163.739,184.348,205.53,0.133884,0.166172,0.198272,0.205356,0.234929,0.389056,150,299790
-10460,0.998594,0.349533,3,7,0,10461.6,0.352155,67.247,-0.184004,0.352155,67.247,-0.184004,3.25059e+07,1.368e+06,57571.6,23.7979,23.7357,23.7582,23.755,23.7542,23.7426,23.7108,23.7412,23.7359,23.8415,23.7754,23.8376,23.8128,23.7546,23.7805,23.834,23.7585,23.7018,23.7742,23.7716,23.7546,23.7597,23.7488,23.748,23.7167,23.7486,23.785,23.7575,23.7526,23.7645,23.7552,23.7769,23.7521,23.7795,23.7401,23.7366,23.7825,23.7898,23.7644,23.6808,67.8419,68.3642,69.2393,70.8919,71.2117,71.9449,71.9823,74.7773,75.2031,78.4498,79.794,80.7808,80.8007,82.0446,83.0794,84.4018,84.8478,84.9396,91.3513,96.6803,101.197,103.259,109.733,110.086,111.508,121.614,142.644,147.971,153.75,162.587,182.869,203.729,0.130949,0.162511,0.19389,0.200816,0.229733,0.38064,150,299790
-10463.1,0.775342,0.349533,3,15,0,10464.6,0.346754,66.4505,-0.111748,0.346754,66.4505,-0.111748,3.25777e+07,1.36951e+06,57571.6,23.8056,23.7447,23.7688,23.7667,23.767,23.7565,23.7259,23.7573,23.7529,23.8595,23.7942,23.8574,23.8333,23.7761,23.8026,23.857,23.7823,23.7263,23.7997,23.7977,23.7816,23.7874,23.7774,23.7772,23.7468,23.7795,23.8166,23.7899,23.7856,23.7984,23.7897,23.812,23.7878,23.816,23.777,23.774,23.8201,23.8274,23.801,23.7155,67.8079,68.4217,69.4112,71.2138,71.5566,72.3369,72.3766,75.3028,75.7439,79.0785,80.4478,81.4499,81.4701,82.7298,83.7752,85.1082,85.5571,85.6494,92.072,97.3793,101.863,103.906,110.31,110.659,112.064,122.033,142.725,147.96,153.638,162.316,182.223,202.687,0.129125,0.160137,0.190928,0.197719,0.226058,0.373762,150,299790
-10461.4,0.98526,0.349533,3,11,0,10464.1,0.341707,67.833,-0.198148,0.341707,67.833,-0.198148,3.24842e+07,1.36754e+06,57571.6,23.7968,23.7343,23.7566,23.7531,23.752,23.7401,23.708,23.7382,23.7326,23.838,23.7716,23.8335,23.8085,23.7499,23.7755,23.8288,23.7529,23.6959,23.768,23.765,23.7476,23.7523,23.741,23.7398,23.7081,23.7395,23.7754,23.7474,23.742,23.7533,23.7434,23.7644,23.7388,23.7654,23.7251,23.7204,23.7652,23.7711,23.7435,23.6579,68.261,68.7513,69.5807,71.1613,71.4686,72.174,72.2101,74.9112,75.324,78.4785,79.7877,80.7498,80.7693,81.9832,82.9938,84.2864,84.7226,84.8124,91.0942,96.3276,100.77,102.8,109.178,109.526,110.929,120.903,141.693,146.965,152.687,161.439,181.537,202.22,0.129292,0.160472,0.191481,0.198327,0.226919,0.376317,150,299790
-10459.3,1,0.349533,2,3,0,10461.4,0.352985,68.0676,-0.189704,0.352985,68.0676,-0.189704,3.25003e+07,1.36788e+06,57571.6,23.7973,23.7349,23.7574,23.754,23.7531,23.7414,23.7095,23.7399,23.7345,23.8401,23.7739,23.836,23.8112,23.7529,23.7787,23.8322,23.7566,23.6998,23.7722,23.7695,23.7525,23.7575,23.7465,23.7456,23.7143,23.7462,23.7825,23.755,23.75,23.7619,23.7526,23.7742,23.7493,23.7768,23.7373,23.7339,23.7798,23.7871,23.7618,23.6785,68.6067,69.1279,70.0042,71.6646,71.9865,72.7247,72.7624,75.5807,76.0104,79.2895,80.6479,81.6455,81.6656,82.9233,83.9698,85.3074,85.7587,85.8515,92.3401,97.7353,102.309,104.398,110.955,111.313,112.753,122.992,144.301,149.699,155.556,164.511,185.065,206.206,0.131544,0.163259,0.194794,0.201754,0.230817,0.382498,150,299790
