lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.276278
# Diagonal elements of inverse mass matrix:
# 0.000234452, 2.30105, 0.00632365, 7.97638e-05
-35.0275,1,0.276278,3,11,0,39.1275,0.283302,68.8125,-0.0162057,-1.19811,68.8125,0.283302,-0.0162057,-1.19811,0.0141543,0.0196958,0.0269464,0.0337468,0.040824,0.0492565,0.0584343,0.067171,0.0761134,0.0861623,0.0949668,0.107762,0.11585,0.130348,0.140172,0.154302,0.169233,0.183501,0.201335,0.217526,0.23819,0.257606,0.28263,0.303206,0.331074,0.360269,0.394676,0.429006,0.466462,0.517604,0.564485,0.624427,0.694299,0.787791,0.882019,1.04648,1.22231,1.46702,2.02761,2.82776,14.5563,15.2738,15.9544,16.4431,16.8565,17.2642,17.6352,17.9378,18.2092,18.4785,18.6897,18.9642,19.1214,19.3774,19.5352,19.7437,19.9443,20.1201,20.3215,20.4894,20.6865,20.8567,21.058,21.2106,21.4015,21.585,21.7831,21.9642,22.146,22.3719,22.5602,22.7793,23.0096,23.2839,23.5293,23.9006,24.2378,24.6341,25.3368,26.0591,70.9395,71.5887,72.5969,74.3685,74.6994,75.4478,75.4857,78.2483,78.6606,81.756,83.0192,83.9414,83.9601,85.1174,86.0764,87.2979,87.7089,87.7934,93.6624,98.5053,102.596,104.461,110.31,110.629,111.913,121.034,140.026,144.842,150.071,158.071,176.458,195.403,1265.86,1669.09,2063.39,2148.39,2492.41,3927.13,150,299790
-34.7839,0.891664,0.276278,3,15,0,36.4502,0.293559,69.8383,0.00648027,-1.1934,69.8383,0.293559,0.00648027,-1.1934,0.0141518,0.019691,0.0269375,0.0337329,0.0408039,0.0492273,0.0583937,0.0671176,0.0760454,0.086076,0.0948626,0.10763,0.115698,0.130157,0.139953,0.154039,0.168921,0.183138,0.200904,0.217028,0.237601,0.256926,0.281825,0.302292,0.330004,0.359024,0.393212,0.427311,0.464501,0.515256,0.561762,0.621196,0.690441,0.78304,0.876312,1.03899,1.21278,1.45447,2.00759,2.7963,14.5607,15.2779,15.9584,16.4469,16.8601,17.2676,17.6384,17.9408,18.212,18.481,18.6921,18.9663,19.1232,19.3789,19.5365,19.7448,19.945,20.1205,20.3215,20.4892,20.6858,20.8556,21.0565,21.2087,21.3992,21.5822,21.7797,21.9603,22.1415,22.3667,22.5544,22.7727,23.0022,23.2755,23.5199,23.8897,24.2255,24.6201,25.32,26.0395,72.1221,72.8174,73.8959,75.7873,76.1401,76.9375,76.9778,79.9154,80.3531,83.6341,84.9706,85.9456,85.9653,87.1879,88.2004,89.4889,89.9223,90.0114,96.1893,101.275,105.563,107.516,113.635,113.968,115.31,124.832,144.612,149.621,155.055,163.367,182.452,202.097,1261.85,1661.27,2050.79,2134.64,2473.55,3881.82,150,299790
-35.7393,0.917053,0.276278,3,15,0,38.647,0.305164,70.6263,-0.131171,-1.20528,70.6263,0.305164,-0.131171,-1.20528,0.0141563,0.0196996,0.0269534,0.0337576,0.0408397,0.0492789,0.0584653,0.0672112,0.0761642,0.0862263,0.0950433,0.107859,0.11596,0.130483,0.140325,0.154483,0.169446,0.183745,0.201621,0.21785,0.238565,0.258031,0.283121,0.303753,0.331698,0.360974,0.395478,0.429904,0.467465,0.518745,0.565749,0.625839,0.695869,0.789545,0.88392,1.04854,1.2244,1.46889,2.02795,2.8238,14.5495,15.267,15.9478,16.4366,16.8501,17.258,17.6292,17.9319,18.2035,18.4729,18.6843,18.959,19.1163,19.3725,19.5304,19.7391,19.9399,20.1158,20.3174,20.4855,20.6828,20.8531,21.0546,21.2073,21.3984,21.5821,21.7803,21.9616,22.1435,22.3695,22.5578,22.777,23.0074,23.2816,23.5268,23.8977,24.2343,24.6297,25.33,26.0489,72.7185,73.3625,74.367,76.1433,76.4765,77.2315,77.2698,80.0731,80.4934,83.6616,84.9603,85.9104,85.9296,87.1239,88.1153,89.3798,89.8058,89.8934,95.9985,101.061,105.35,107.309,113.463,113.799,115.152,124.78,144.889,149.997,155.545,164.039,183.578,203.724,1276.51,1683.15,2080.05,2165.47,2510.54,3933.79,150,299790
-38.8599,0.88617,0.276278,3,7,0,39.8959,0.313144,74.8232,-0.219765,-1.21078,74.8232,0.313144,-0.219765,-1.21078,0.0141594,0.0197055,0.0269644,0.0337746,0.0408643,0.0493144,0.0585147,0.0672758,0.0762462,0.0863301,0.095168,0.108017,0.116141,0.130709,0.140583,0.154791,0.16981,0.184167,0.202118,0.218421,0.239236,0.2588,0.284024,0.304772,0.332881,0.362336,0.397061,0.431719,0.46954,0.521191,0.568546,0.6291,0.699686,0.794123,0.88928,1.05528,1.2326,1.47908,2.04233,2.84319,14.5444,15.2622,15.9432,16.4322,16.8459,17.2541,17.6255,17.9285,18.2003,18.47,18.6817,18.9567,19.1142,19.3707,19.5289,19.738,19.939,20.1153,20.3173,20.4857,20.6834,20.854,21.056,21.2091,21.4007,21.5848,21.7835,21.9652,22.1476,22.3742,22.5631,22.7828,23.0137,23.2887,23.5344,23.9061,24.2433,24.6392,25.3399,26.0583,76.8813,77.5204,78.5215,80.3032,80.6389,81.401,81.4397,84.2864,84.7151,87.9611,89.298,90.278,90.2978,91.532,92.5583,93.8694,94.3116,94.4026,100.765,106.07,110.579,112.643,119.138,119.493,120.924,131.125,152.508,157.951,163.868,172.933,193.809,215.358,1255.17,1656.81,2049.07,2133.49,2474.33,3872.78,150,299790
-38.2518,0.982864,0.276278,4,31,0,40.3107,0.271588,65.9966,0.126346,-1.1893,65.9966,0.271588,0.126346,-1.1893,0.0141503,0.0196881,0.0269322,0.0337247,0.040792,0.0492104,0.0583703,0.0670873,0.0760072,0.0860281,0.0948056,0.107558,0.115617,0.130057,0.13984,0.153907,0.168766,0.182961,0.200698,0.216796,0.237334,0.256626,0.281481,0.301912,0.329575,0.358544,0.392674,0.426716,0.463848,0.514529,0.560974,0.620343,0.689529,0.782084,0.875352,1.03813,1.21217,1.45447,2.01,2.80423,14.5645,15.2817,15.9621,16.4504,16.8636,17.271,17.6417,17.9439,18.215,18.4839,18.6949,18.9689,19.1258,19.3814,19.5389,19.747,19.9471,20.1225,20.3234,20.491,20.6875,20.8572,21.0579,21.2101,21.4005,21.5834,21.7809,21.9614,22.1426,22.3677,22.5554,22.7739,23.0035,23.277,23.5216,23.892,24.2285,24.6242,25.3267,26.0498,68.2179,68.8897,69.928,71.7397,72.0764,72.8363,72.8747,75.661,76.0746,79.1643,80.4182,81.3313,81.3498,82.4932,83.4387,84.6405,85.0444,85.1274,90.8659,95.5697,99.5259,101.325,106.952,107.258,108.49,117.222,135.31,139.884,144.843,152.424,169.817,187.706,1270.29,1672.71,2065.99,2150.79,2494.2,3936.6,150,299790
-38.3595,0.985196,0.276278,4,15,0,39.9781,0.28079,68.9296,0.124689,-1.18127,68.9296,0.28079,0.124689,-1.18127,0.0141488,0.0196853,0.0269269,0.0337165,0.0407801,0.0491931,0.0583461,0.0670556,0.0759668,0.0859767,0.0947436,0.107479,0.115526,0.129943,0.139709,0.15375,0.168579,0.182743,0.200439,0.216496,0.23698,0.256216,0.280995,0.301359,0.328926,0.357788,0.391783,0.425683,0.462649,0.513089,0.559299,0.618349,0.687139,0.779125,0.87178,1.0334,1.20611,1.44639,1.99684,2.78302,14.5723,15.2894,15.9697,16.4579,16.871,17.2783,17.6488,17.9509,18.2219,18.4906,18.7015,18.9754,19.1321,19.3875,19.5449,19.7528,19.9527,20.1279,20.3286,20.496,20.6923,20.8618,21.0622,21.2142,21.4042,21.5869,21.784,21.9642,22.145,22.3697,22.557,22.7749,23.004,23.2768,23.5208,23.8901,24.2257,24.6202,25.3204,26.0413,71.3236,72.0472,73.1653,75.115,75.4773,76.2946,76.3359,79.3311,79.7754,83.0935,84.4392,85.419,85.4387,86.6653,87.6793,88.9679,89.4008,89.4898,95.6375,100.672,104.903,106.827,112.84,113.167,114.484,123.806,143.098,147.973,153.257,161.333,179.853,198.892,1250.11,1644.5,2029.16,2112,2447.15,3849.65,150,299790
-37.0266,0.98995,0.276278,5,31,0,39.331,0.277784,67.1897,0.0274744,-1.1971,67.1897,0.277784,0.0274744,-1.1971,0.0141533,0.0196939,0.0269429,0.0337414,0.0408162,0.0492452,0.0584187,0.0671506,0.0760875,0.0861297,0.0949276,0.107713,0.115794,0.130278,0.140092,0.154207,0.169121,0.183372,0.201183,0.217352,0.237987,0.257374,0.282359,0.302902,0.330724,0.359868,0.394213,0.428479,0.465865,0.516907,0.563695,0.623518,0.69325,0.786556,0.8806,1.04476,1.22028,1.46462,2.02463,2.82451,14.5572,15.2746,15.9551,16.4437,16.8571,17.2647,17.6357,17.9382,18.2095,18.4787,18.6899,18.9642,19.1213,19.3773,19.535,19.7434,19.9439,20.1196,20.3209,20.4887,20.6857,20.8557,21.0569,21.2094,21.4002,21.5836,21.7816,21.9626,22.1442,22.37,22.5581,22.7772,23.0074,23.2816,23.5268,23.898,24.2352,24.6315,25.3346,26.0576,69.3111,69.9568,70.9579,72.7132,73.0406,73.7804,73.8179,76.5434,76.9495,79.9937,81.2338,82.1386,82.1569,83.2915,84.2312,85.4273,85.8296,85.9123,91.6488,96.3731,100.359,102.175,107.865,108.175,109.423,118.285,136.711,141.38,146.447,154.199,172.006,190.345,1272.63,1677.64,2073.76,2159.19,2505.04,3951.78,150,299790
-35.9105,0.760038,0.276278,4,23,0,39.4682,0.319762,72.5178,-0.165123,-1.20045,72.5178,0.319762,-0.165123,-1.20045,0.014156,0.019699,0.0269524,0.0337559,0.0408372,0.0492751,0.05846,0.0672041,0.0761548,0.0862141,0.0950282,0.107839,0.115937,0.130453,0.14029,0.15444,0.169393,0.183682,0.201543,0.217758,0.238453,0.257898,0.282958,0.303563,0.331467,0.360696,0.395138,0.429497,0.466976,0.518133,0.565012,0.624926,0.694725,0.788055,0.88204,1.04588,1.22078,1.46375,2.01863,2.8073,14.5543,15.2718,15.9525,16.4413,16.8548,17.2627,17.6338,17.9365,18.208,18.4774,18.6888,18.9634,19.1207,19.3768,19.5347,19.7434,19.944,20.1199,20.3214,20.4894,20.6866,20.8568,21.0582,21.2108,21.4018,21.5853,21.7833,21.9644,22.146,22.3718,22.5598,22.7787,23.0086,23.2823,23.527,23.897,24.2327,24.6269,25.3248,26.041,74.6856,75.3546,76.3993,78.2498,78.5973,79.3852,79.4251,82.3547,82.7943,86.1122,87.4736,88.4699,88.49,89.743,90.7833,92.1108,92.558,92.65,99.0645,104.387,108.9,110.961,117.437,117.791,119.215,129.349,150.517,155.894,161.734,170.674,191.237,212.436,1273.37,1677.81,2071.71,2156.37,2497.87,3897.43,150,299790
-37.4963,0.951473,0.276278,3,7,0,37.67,0.32655,72.2851,-0.195332,-1.20342,72.2851,0.32655,-0.195332,-1.20342,0.0141566,0.0197002,0.0269545,0.0337593,0.040842,0.0492821,0.0584696,0.0672165,0.0761706,0.0862339,0.0950519,0.107869,0.115971,0.130495,0.140338,0.154497,0.169459,0.183758,0.201632,0.217859,0.23857,0.258029,0.28311,0.303732,0.33166,0.360914,0.395386,0.429775,0.467286,0.518486,0.565402,0.625361,0.695209,0.788595,0.882623,1.04652,1.22142,1.46433,2.01875,2.80615,14.5514,15.2689,15.9497,16.4385,16.8521,17.26,17.6312,17.934,18.2055,18.475,18.6864,18.9611,19.1183,19.3745,19.5325,19.7412,19.9419,20.1178,20.3194,20.4875,20.6847,20.8549,21.0564,21.209,21.4,21.5836,21.7817,21.9628,22.1445,22.3703,22.5584,22.7772,23.0072,23.2808,23.5255,23.8953,24.2309,24.6248,25.322,26.0371,74.4172,75.077,76.1088,77.94,78.2844,79.0656,79.1053,82.0154,82.4527,85.7573,87.1151,88.1094,88.1295,89.3806,90.4198,91.7465,92.1937,92.2857,98.7055,104.041,108.567,110.636,117.138,117.494,118.924,129.11,150.401,155.812,161.69,170.689,191.391,212.739,1283.13,1690.67,2087.37,2172.58,2516.13,3919.4,150,299790
-39.3011,0.950059,0.276278,3,7,0,40.1776,0.299773,74.174,-0.153054,-1.20589,74.174,0.299773,-0.153054,-1.20589,0.014158,0.0197028,0.0269594,0.0337669,0.0408532,0.0492984,0.0584927,0.0672471,0.0762099,0.0862843,0.0951132,0.107948,0.116062,0.130611,0.140472,0.15466,0.169656,0.183989,0.201911,0.218185,0.238961,0.258488,0.283662,0.304367,0.332417,0.36181,0.39646,0.431041,0.46878,0.520318,0.567572,0.628001,0.698447,0.792714,0.887719,1.05351,1.2307,1.47714,2.04097,2.84396,14.5491,15.2667,15.9477,16.4366,16.8502,17.2583,17.6296,17.9325,18.2042,18.4738,18.6853,18.9602,19.1176,19.374,19.5321,19.741,19.942,20.1181,20.3199,20.4882,20.6857,20.8563,21.0581,21.2111,21.4025,21.5865,21.7851,21.9667,22.149,22.3755,22.5642,22.7839,23.0148,23.2897,23.5355,23.9073,24.2449,24.6412,25.3433,26.0637,76.2824,76.9331,77.9492,79.7493,80.0874,80.854,80.8929,83.7446,84.1727,87.4049,88.7319,89.7034,89.723,90.945,91.9599,93.2553,93.6918,93.7816,100.047,105.254,109.671,111.69,118.038,118.385,119.781,129.73,150.543,155.836,161.587,170.396,190.67,211.589,1244.47,1642.53,2031.69,2115.53,2454.41,3854.46,150,299790
