# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = total_model
# start_datetime = 2023-07-19 10:46:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/3together.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpziw3_g8o/cocgm0ci.json
# random
#   seed = 7026
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/together/total-20230719114654.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.441475
# Diagonal elements of inverse mass matrix:
# 0.000296797, 2.14315, 0.00134295
-10458.8,0.999748,0.441475,4,15,0,10459.3,0.360153,69.061,-0.197172,0.360153,69.061,-0.197172,3.24966e+07,1.3678e+06,57571.6,23.7962,23.7337,23.756,23.7525,23.7515,23.7397,23.7078,23.738,23.7326,23.8381,23.7719,23.834,23.8091,23.7508,23.7766,23.8301,23.7545,23.6977,23.7701,23.7674,23.7504,23.7555,23.7446,23.7437,23.7125,23.7445,23.7809,23.7535,23.7486,23.7608,23.7516,23.7734,23.7489,23.7767,23.7376,23.7347,23.7812,23.7893,23.7654,23.6836,69.5316,70.0591,70.9502,72.6459,72.9753,73.7311,73.7697,76.6595,77.1006,80.4681,81.8639,82.889,82.9097,84.2024,85.278,86.653,87.1169,87.2123,93.883,99.4296,104.131,106.278,113.017,113.385,114.865,125.384,147.267,152.809,158.821,168.014,189.106,210.795,0.133448,0.165639,0.197648,0.204714,0.234215,0.388113,150,299790
-10460.2,0.846469,0.441475,3,15,0,10460.7,0.351568,72.1211,-0.156752,0.351568,72.1211,-0.156752,3.25345e+07,1.3686e+06,57571.6,23.8008,23.7391,23.7622,23.7594,23.759,23.7479,23.7166,23.7474,23.7424,23.8484,23.7826,23.8453,23.8208,23.763,23.7891,23.843,23.7678,23.7114,23.7842,23.7819,23.7652,23.7706,23.7601,23.7596,23.7287,23.7609,23.7976,23.7705,23.7658,23.7782,23.7692,23.7911,23.7667,23.7945,23.7553,23.7522,23.7983,23.8057,23.7802,23.6962,73.0823,73.6856,74.6802,76.5306,76.8862,77.699,77.7404,80.8183,81.2852,84.8329,86.2969,87.3702,87.3919,88.7433,89.8665,91.3006,91.784,91.8835,98.8187,104.569,109.436,111.657,118.623,119.003,120.532,131.393,153.969,159.684,165.884,175.362,197.11,219.473,0.133022,0.16504,0.196855,0.203876,0.233179,0.386012,150,299790
-10459.4,0.998856,0.441475,2,7,0,10460.9,0.331513,70.2573,-0.17105,0.331513,70.2573,-0.17105,3.25055e+07,1.36799e+06,57571.6,23.7999,23.7379,23.7607,23.7576,23.7569,23.7454,23.7137,23.7442,23.7389,23.8445,23.7784,23.8406,23.8158,23.7575,23.7833,23.8367,23.7611,23.7042,23.7765,23.7737,23.7565,23.7613,23.7501,23.749,23.7174,23.7489,23.7848,23.7568,23.7514,23.7626,23.7527,23.7735,23.7478,23.7741,23.7335,23.7282,23.7722,23.7772,23.7475,23.6594,70.9843,71.5178,72.4049,74.0699,74.3912,75.1271,75.1646,77.9644,78.3905,81.6376,82.9815,83.9681,83.9881,85.2317,86.2664,87.5889,88.035,88.1268,94.5424,99.8797,104.407,106.475,112.972,113.326,114.754,124.91,146.078,151.446,157.272,166.185,186.656,207.728,0.128286,0.159177,0.189886,0.196665,0.22497,0.372903,150,299790
-10458.9,0.995329,0.441475,3,11,0,10459.6,0.362116,69.8228,-0.18271,0.362116,69.8228,-0.18271,3.25137e+07,1.36816e+06,57571.6,23.7977,23.7355,23.7581,23.7549,23.7541,23.7426,23.7109,23.7414,23.7362,23.8419,23.7758,23.8382,23.8135,23.7555,23.7814,23.8351,23.7597,23.7032,23.7758,23.7733,23.7566,23.7618,23.7512,23.7506,23.7196,23.7518,23.7885,23.7613,23.7567,23.7691,23.7602,23.7823,23.7581,23.7862,23.7474,23.7449,23.7917,23.8001,23.7767,23.6951,70.4733,71.0328,71.9692,73.7356,74.0772,74.86,74.9,77.8813,78.3352,81.7936,83.2243,84.2742,84.2954,85.6184,86.7187,88.1244,88.5984,88.696,95.5047,101.157,105.945,108.13,114.985,115.359,116.864,127.555,149.779,155.404,161.506,170.835,192.235,214.235,0.134109,0.166436,0.198571,0.205663,0.235269,0.389637,150,299790
-10458.4,0.998721,0.441475,2,7,0,10459.1,0.354596,69.9191,-0.18099,0.354596,69.9191,-0.18099,3.25107e+07,1.3681e+06,57571.6,23.7982,23.736,23.7586,23.7554,23.7546,23.7431,23.7114,23.7419,23.7366,23.8423,23.7762,23.8385,23.8138,23.7557,23.7816,23.8352,23.7597,23.7031,23.7756,23.773,23.7562,23.7613,23.7505,23.7498,23.7186,23.7506,23.7871,23.7598,23.7549,23.7671,23.7578,23.7797,23.755,23.7827,23.7434,23.7403,23.7864,23.794,23.7691,23.6859,70.5771,71.1286,72.0509,73.7894,74.1256,74.8958,74.9352,77.8689,78.3156,81.7196,83.1282,84.162,84.1829,85.4858,86.5695,87.9543,88.4213,88.5173,95.2277,100.802,105.525,107.681,114.448,114.817,116.303,126.863,148.828,154.391,160.426,169.653,190.826,212.601,0.132703,0.164684,0.196477,0.203494,0.232789,0.385627,150,299790
-10458.4,0.994522,0.441475,3,11,0,10458.6,0.34131,69.7717,-0.162709,0.34131,69.7717,-0.162709,3.25209e+07,1.36831e+06,57571.6,23.8005,23.7386,23.7616,23.7587,23.7581,23.7468,23.7153,23.746,23.7409,23.8467,23.7808,23.8432,23.8185,23.7605,23.7865,23.8402,23.7647,23.7081,23.7807,23.7781,23.7612,23.7663,23.7555,23.7546,23.7234,23.7553,23.7916,23.7641,23.759,23.7708,23.7614,23.7828,23.7577,23.7848,23.7449,23.7407,23.7857,23.7919,23.7643,23.6782,70.6081,71.166,72.089,73.8126,74.1444,74.9035,74.9423,77.8228,78.2604,81.5897,82.9655,83.9747,83.9951,85.2665,86.3237,87.6741,88.1295,88.2232,94.7635,100.195,104.797,106.898,113.492,113.852,115.301,125.595,147.022,152.451,158.342,167.35,188.03,209.306,0.129949,0.161233,0.192325,0.199187,0.227834,0.377397,150,299790
