lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.454253
# Diagonal elements of inverse mass matrix:
# 0.000351776, 3.07299, 0.00138352
-10458.9,0.55209,0.454253,2,7,0,10465,0.337769,70.9354,-0.137028,0.337769,70.9354,-0.137028,3.25446e+07,1.36881e+06,57571.6,23.8032,23.7418,23.7653,23.7627,23.7626,23.7517,23.7206,23.7515,23.7468,23.8529,23.7872,23.85,23.8255,23.7678,23.794,23.8479,23.7728,23.7164,23.7893,23.7869,23.7703,23.7756,23.765,23.7644,23.7334,23.7655,23.8021,23.7747,23.7698,23.7819,23.7725,23.7941,23.7692,23.7964,23.7565,23.7524,23.7973,23.8033,23.7751,23.688,72.0649,72.6654,73.6454,75.4523,75.798,76.587,76.6272,79.6037,80.0541,83.4716,84.8798,85.9117,85.9325,87.2313,88.3103,89.6876,90.1518,90.2473,96.9039,102.421,107.091,109.222,115.906,116.271,117.738,128.165,149.849,155.341,161.3,170.412,191.327,212.843,0.129662,0.160837,0.191807,0.19864,0.227164,0.376031,150,299790
-10459.2,0.975884,0.454253,3,11,0,10459.4,0.362141,69.2012,-0.174332,0.362141,69.2012,-0.174332,3.25229e+07,1.36835e+06,57571.6,23.7987,23.7366,23.7594,23.7563,23.7557,23.7443,23.7127,23.7433,23.7382,23.8441,23.7781,23.8407,23.816,23.7581,23.7841,23.838,23.7627,23.7062,23.779,23.7766,23.76,23.7653,23.7548,23.7543,23.7234,23.7557,23.7926,23.7655,23.761,23.7735,23.7647,23.7869,23.7628,23.7911,23.7523,23.75,23.7969,23.8054,23.782,23.7002,69.9445,70.5126,71.4582,73.2335,73.576,74.3603,74.4003,77.381,77.8342,81.2833,82.7087,83.7542,83.7754,85.0925,86.1875,87.5861,88.0576,88.1546,94.9234,100.539,105.292,107.461,114.265,114.636,116.129,126.736,148.776,154.354,160.405,169.653,190.868,212.677,0.133761,0.165989,0.198021,0.20509,0.234596,0.388413,150,299790
-10458.5,0.996901,0.454253,3,15,0,10459.4,0.33623,69.4241,-0.152108,0.33623,69.4241,-0.152108,3.25281e+07,1.36846e+06,57571.6,23.8017,23.74,23.7632,23.7604,23.76,23.7489,23.7175,23.7483,23.7433,23.8492,23.7833,23.8459,23.8213,23.7633,23.7893,23.8431,23.7677,23.7111,23.7838,23.7812,23.7643,23.7695,23.7586,23.7578,23.7266,23.7585,23.7948,23.7672,23.7621,23.7739,23.7643,23.7856,23.7604,23.7873,23.7472,23.7426,23.7873,23.793,23.7644,23.6771,70.36,70.9227,71.8484,73.568,73.8983,74.653,74.6915,77.5491,77.9826,81.2776,82.6378,83.6353,83.6555,84.9117,85.9561,87.2898,87.7395,87.832,94.288,99.647,104.187,106.259,112.764,113.118,114.547,124.702,145.838,151.194,157.006,165.894,186.3,207.296,0.128733,0.159705,0.190484,0.197276,0.225633,0.3737,150,299790
-10458.9,0.877319,0.454253,2,5,0,10459.7,0.324075,70.7693,-0.136745,0.324075,70.7693,-0.136745,3.25341e+07,1.36859e+06,57571.6,23.8034,23.742,23.7655,23.7629,23.7627,23.7517,23.7205,23.7513,23.7464,23.8525,23.7866,23.8492,23.8247,23.7668,23.7928,23.8466,23.7712,23.7146,23.7872,23.7846,23.7677,23.7728,23.7619,23.7609,23.7296,23.7613,23.7974,23.7696,23.7643,23.7758,23.7659,23.7868,23.7611,23.7874,23.7467,23.7411,23.7848,23.7892,23.758,23.668,71.8539,72.4296,73.3693,75.103,75.4348,76.1923,76.2309,79.091,79.5242,82.8126,84.1688,85.1629,85.183,86.4347,87.4751,88.8035,89.2513,89.3435,95.7714,101.107,105.627,107.69,114.169,114.522,115.946,126.064,147.138,152.481,158.28,167.151,187.523,208.494,0.126861,0.157357,0.187657,0.194344,0.222259,0.368117,150,299790
-10460.2,0.931244,0.454253,3,15,0,10460.6,0.384684,69.2393,-0.225858,0.384684,69.2393,-0.225858,3.24777e+07,1.3674e+06,57571.6,23.792,23.7289,23.7505,23.7465,23.745,23.7328,23.7004,23.7304,23.7247,23.8299,23.7634,23.8253,23.8003,23.7418,23.7675,23.8209,23.7452,23.6884,23.7608,23.7581,23.7411,23.7462,23.7354,23.7347,23.7037,23.7359,23.7727,23.7456,23.7411,23.7538,23.7452,23.7677,23.744,23.773,23.735,23.7341,23.7825,23.7931,23.774,23.6973,69.3824,69.8977,70.7866,72.5081,72.8452,73.6208,73.6605,76.6456,77.103,80.6041,82.0587,83.1278,83.1495,84.4984,85.6214,87.0576,87.5422,87.6419,94.6148,100.414,105.33,107.573,114.615,114.999,116.545,127.528,150.348,156.122,162.384,171.954,193.899,216.449,0.138348,0.171787,0.205051,0.212394,0.243051,0.402758,150,299790
-10458.6,0.988659,0.454253,4,15,0,10461,0.353512,70.7002,-0.173264,0.353512,70.7002,-0.173264,3.25183e+07,1.36826e+06,57571.6,23.799,23.737,23.7598,23.7567,23.7561,23.7446,23.713,23.7436,23.7385,23.8443,23.7783,23.8407,23.816,23.758,23.784,23.8377,23.7623,23.7057,23.7784,23.7759,23.7591,23.7643,23.7536,23.7529,23.7218,23.7539,23.7905,23.7632,23.7584,23.7706,23.7614,23.7833,23.7587,23.7864,23.7472,23.744,23.7901,23.7977,23.7725,23.6891,71.4541,72.0225,72.9684,74.7438,75.0864,75.8708,75.9109,78.8928,79.3463,82.7989,84.2263,85.2736,85.2947,86.6142,87.7114,89.113,89.5857,89.6829,96.4708,102.106,106.879,109.058,115.894,116.267,117.768,128.434,150.615,156.231,162.325,171.641,193.018,215.001,0.132823,0.16482,0.196625,0.203643,0.232945,0.385803,150,299790
-10459.4,0.970623,0.454253,4,15,0,10460.7,0.330542,68.3058,-0.119391,0.330542,68.3058,-0.119391,3.25564e+07,1.36906e+06,57571.6,23.805,23.7439,23.7678,23.7655,23.7655,23.7549,23.724,23.7551,23.7505,23.8568,23.7912,23.8542,23.8298,23.7723,23.7985,23.8526,23.7775,23.7212,23.7942,23.7919,23.7753,23.7807,23.7702,23.7696,23.7386,23.7707,23.8073,23.7799,23.775,23.7869,23.7775,23.799,23.7739,23.8008,23.7607,23.7561,23.8005,23.8058,23.7761,23.6874,69.5561,70.1474,71.1044,72.8551,73.1888,73.9492,73.9879,76.8469,77.2787,80.5487,81.894,82.8793,82.8992,84.1387,85.168,86.4815,86.924,87.0151,93.3567,98.609,103.053,105.08,111.439,111.786,113.182,123.099,143.725,148.95,154.619,163.288,183.189,203.664,0.12692,0.157409,0.187691,0.194371,0.222256,0.367814,150,299790
-10459,1,0.454253,3,7,0,10459.5,0.323433,69.33,-0.124955,0.323433,69.33,-0.124955,3.25451e+07,1.36882e+06,57571.6,23.8046,23.7434,23.767,23.7647,23.7646,23.7538,23.7227,23.7538,23.749,23.8552,23.7895,23.8522,23.8278,23.77,23.7961,23.85,23.7748,23.7183,23.7911,23.7886,23.7718,23.777,23.7662,23.7654,23.7342,23.766,23.8023,23.7746,23.7694,23.781,23.7712,23.7922,23.7667,23.793,23.7524,23.747,23.7907,23.7951,23.7638,23.6736,70.5139,71.0935,72.0343,73.7604,74.0898,74.8412,74.8794,77.709,78.1368,81.3803,82.7162,83.695,83.7147,84.9466,85.97,87.2763,87.7166,87.8071,94.1217,99.3578,103.791,105.815,112.165,112.512,113.907,123.821,144.461,149.692,155.37,164.054,183.997,204.523,0.126016,0.156293,0.186369,0.193006,0.220708,0.365424,150,299790
-10459,0.546956,0.454253,2,7,0,10464,0.323433,69.33,-0.124955,0.323433,69.33,-0.124955,3.25451e+07,1.36882e+06,57571.6,23.8046,23.7434,23.767,23.7647,23.7646,23.7538,23.7227,23.7538,23.749,23.8552,23.7895,23.8522,23.8278,23.77,23.7961,23.85,23.7748,23.7183,23.7911,23.7886,23.7718,23.777,23.7662,23.7654,23.7342,23.766,23.8023,23.7746,23.7694,23.781,23.7712,23.7922,23.7667,23.793,23.7524,23.747,23.7907,23.7951,23.7638,23.6736,70.5139,71.0935,72.0343,73.7604,74.0898,74.8412,74.8794,77.709,78.1368,81.3803,82.7162,83.695,83.7147,84.9466,85.97,87.2763,87.7166,87.8071,94.1217,99.3578,103.791,105.815,112.165,112.512,113.907,123.821,144.461,149.692,155.37,164.054,183.997,204.523,0.126016,0.156293,0.186369,0.193006,0.220708,0.365424,150,299790
-10458.8,0.983624,0.454253,2,3,0,10459.1,0.328115,69.6477,-0.121607,0.328115,69.6477,-0.121607,3.25522e+07,1.36897e+06,57571.6,23.8048,23.7437,23.7675,23.7651,23.7652,23.7544,23.7235,23.7546,23.7499,23.8562,23.7905,23.8534,23.829,23.7714,23.7976,23.8516,23.7765,23.7201,23.793,23.7906,23.774,23.7793,23.7687,23.768,23.7369,23.769,23.8054,23.7779,23.7729,23.7847,23.7752,23.7965,23.7712,23.798,23.7577,23.7528,23.797,23.802,23.7718,23.6825,70.8897,71.4851,72.4498,74.2166,74.5535,75.3215,75.3606,78.2501,78.6867,81.9942,83.3556,84.3528,84.3729,85.6276,86.6697,87.9995,88.4477,88.5398,94.9635,100.286,104.791,106.846,113.294,113.646,115.061,125.121,146.051,151.354,157.108,165.908,186.112,206.902,0.127078,0.157607,0.187931,0.194621,0.222547,0.368358,150,299790
