lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,A
# Adaptation terminated
# Step size = 0.448492
# Diagonal elements of inverse mass matrix:
# 0.00082284, 0.0130433
-12.1633,1,0.448492,1,3,0,13.8324,66.5246,0.328012,66.5246,0.328012,68.9362,69.6692,70.8049,72.7932,73.1636,74.0003,74.0426,77.1193,77.5769,81.0021,82.3947,83.4096,83.4301,84.7017,85.754,87.092,87.5418,87.6343,94.0322,99.2823,103.7,105.71,111.994,112.336,113.713,123.464,143.652,148.752,154.283,162.733,182.108,202.02,15.207
-11.5809,0.952753,0.448492,2,7,0,13.4359,68.3096,0.325635,68.3096,0.325635,70.7683,71.5157,72.6738,74.7017,75.0796,75.9331,75.9762,79.1151,79.5821,83.0774,84.4987,85.5347,85.5556,86.8536,87.9278,89.2938,89.753,89.8475,96.3804,101.743,106.255,108.308,114.729,115.079,116.485,126.451,147.086,152.3,157.954,166.594,186.406,206.769,14.6501
-11.6947,0.998391,0.448492,3,7,0,12.0474,66.8416,0.340964,66.8416,0.340964,69.3586,70.123,71.3067,73.3776,73.7632,74.6339,74.678,77.8772,78.3527,81.9094,83.3543,84.4069,84.4282,85.7467,86.8372,88.2237,88.6896,88.7854,95.4074,100.835,105.398,107.472,113.957,114.309,115.729,125.779,146.558,151.804,157.49,166.175,186.079,206.524,14.7371
-11.9089,0.996528,0.448492,2,3,0,11.9232,66.5204,0.356243,66.5204,0.356243,69.1354,69.9288,71.1567,73.3029,73.7023,74.6039,74.6495,77.9589,78.4504,82.1237,83.6145,84.7002,84.7221,86.0815,87.2054,88.6338,89.1136,89.2123,96.026,101.603,106.287,108.415,115.064,115.425,116.88,127.171,148.419,153.778,159.586,168.454,188.764,209.614,14.9161
-11.8323,0.996445,0.448492,4,15,0,12.2227,66.8312,0.352353,66.8312,0.352353,69.4303,70.219,71.4399,73.5744,73.9717,74.8686,74.9139,78.2068,78.6959,82.3523,83.8367,84.9178,84.9396,86.2933,87.4127,88.8353,89.3133,89.4116,96.2003,101.759,106.428,108.55,115.18,115.541,116.992,127.257,148.46,153.81,159.607,168.459,188.737,209.557,14.8543
-12.4395,0.772215,0.448492,3,11,0,14.6626,67.0382,0.310852,67.0382,0.310852,69.3433,70.0448,71.1323,73.0381,73.3935,74.1964,74.237,77.1927,77.6327,80.9294,82.2711,83.2495,83.2693,84.4958,85.5111,86.8028,87.2371,87.3264,93.5118,98.5961,102.879,104.829,110.932,111.264,112.602,122.086,141.755,146.73,152.127,160.376,179.305,198.775,15.4704
-11.5504,1,0.448492,1,3,0,12.2391,67.6256,0.323211,67.6256,0.323211,70.0418,70.7764,71.9149,73.9085,74.28,75.1193,75.1617,78.2486,78.7079,82.1462,83.5446,84.5639,84.5844,85.8617,86.9187,88.2631,88.715,88.8079,95.2384,100.518,104.961,106.983,113.307,113.652,115.037,124.854,145.187,150.326,155.899,164.414,183.944,204.019,14.608
-11.9317,0.997603,0.448492,3,11,0,11.9568,69.7472,0.285367,69.7472,0.285367,71.9519,72.6239,73.6668,75.4973,75.8389,76.6113,76.6504,79.4987,79.9234,83.1095,84.4084,85.3564,85.3755,86.5647,87.5498,88.804,89.2259,89.3127,95.3324,100.294,104.482,106.39,112.371,112.697,114.01,123.329,142.713,147.625,152.957,161.114,179.853,199.152,14.9119
-11.7468,0.998486,0.448492,4,15,0,12.2813,67.0434,0.347665,67.0434,0.347665,69.6167,70.3978,71.6072,73.7221,74.1158,75.0047,75.0497,78.3142,78.7992,82.426,83.8987,84.9714,84.9931,86.3365,87.4475,88.8597,89.3342,89.4317,96.1731,101.695,106.335,108.444,115.035,115.394,116.836,127.045,148.14,153.463,159.233,168.044,188.232,208.962,14.782
-11.5487,0.999805,0.448492,3,11,0,11.8533,67.5488,0.325696,67.5488,0.325696,69.9806,70.7198,71.8652,73.8708,74.2445,75.0887,75.1314,78.2358,78.6977,82.1546,83.5603,84.5849,84.6056,85.8894,86.9517,88.3028,88.7569,88.8503,95.3114,100.615,105.078,107.108,113.458,113.804,115.195,125.051,145.458,150.616,156.207,164.752,184.345,204.483,14.6068
