# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = Chrono_model
# start_datetime = 2023-07-22 21:00:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Cosmic_Chronometers/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpb89sai7z/l6tont0x.json
# random
#   seed = 87191
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/cc/Chrono-20230722220012.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,A
# Adaptation terminated
# Step size = 0.363863
# Diagonal elements of inverse mass matrix:
# 0.0011187, 0.0159249
-12.4236,0.829933,0.363863,2,3,0,12.6459,69.867,0.314802,69.867,0.314802,72.2995,73.0394,74.1865,76.1963,76.571,77.4175,77.4603,80.5755,81.0393,84.5124,85.9256,86.956,86.9768,88.2684,89.3374,90.6973,91.1545,91.2485,97.7583,103.107,107.612,109.662,116.078,116.428,117.834,127.801,148.464,153.689,159.356,168.018,187.89,208.326,15.5035
-11.899,1,0.363863,2,3,0,12.3347,68.7624,0.292987,68.7624,0.292987,70.9932,71.6727,72.7271,74.5768,74.9219,75.7021,75.7416,78.6169,79.0454,82.2589,83.5684,84.5238,84.5431,85.7413,86.7337,87.9969,88.4218,88.5092,94.5679,99.5572,103.766,105.683,111.69,112.018,113.335,122.687,142.12,147.043,152.384,160.553,179.313,198.627,14.8996
-11.8156,1,0.363863,2,3,0,11.9283,69.6747,0.301914,69.6747,0.301914,72.0028,72.7116,73.811,75.7386,76.0981,76.9106,76.9517,79.9446,80.3904,83.7319,85.0927,86.0853,86.1054,87.3499,88.3804,89.6918,90.1328,90.2235,96.5081,101.679,106.037,108.022,114.238,114.576,115.939,125.607,145.676,150.756,156.268,164.694,184.038,203.943,14.8617
-12.0544,0.984091,0.363863,3,11,0,12.5802,66.191,0.341899,66.191,0.341899,68.6902,69.4491,70.6244,72.6803,73.0631,73.9275,73.9712,77.147,77.619,81.1493,82.5833,83.6281,83.6491,84.9577,86.04,87.416,87.8784,87.9734,94.5447,99.9299,104.457,106.516,112.949,113.299,114.707,124.677,145.289,150.492,156.132,164.746,184.488,204.765,15.0859
-11.928,0.998179,0.363863,2,3,0,12.186,66.3002,0.35549,66.3002,0.35549,68.9012,69.6903,70.9117,73.0467,73.444,74.3409,74.3862,77.6785,78.1675,81.8221,83.3054,84.3857,84.4075,85.76,86.8784,88.2996,88.7771,88.8753,95.6556,101.205,105.867,107.985,114.602,114.962,116.41,126.653,147.803,153.138,158.919,167.746,187.965,208.722,14.934
-11.899,0.983829,0.363863,2,7,0,13.7883,69.9405,0.288998,69.9405,0.288998,72.179,72.8612,73.9196,75.7771,76.1237,76.9073,76.9469,79.8358,80.2664,83.4965,84.813,85.7737,85.7931,86.9982,87.9963,89.2669,89.6944,89.7823,95.8789,100.902,105.14,107.071,113.123,113.452,114.78,124.205,143.799,148.764,154.152,162.393,181.323,200.816,14.8992
-12.1017,0.970805,0.363863,3,9,0,12.2708,66.7378,0.361546,66.7378,0.361546,69.3997,70.2069,71.4562,73.639,74.0451,74.9618,75.0082,78.3718,78.8712,82.6027,84.1166,85.2191,85.2413,86.6213,87.7623,89.212,89.699,89.7991,96.712,102.367,107.116,109.273,116.01,116.377,117.85,128.274,149.787,155.212,161.089,170.062,190.612,211.702,15.0957
-12.0533,0.681056,0.363863,2,3,0,14.4622,66.4142,0.334306,66.4142,0.334306,68.8672,69.6125,70.7669,72.7872,73.1635,74.0134,74.0563,77.1801,77.6446,81.1199,82.5322,83.5614,83.5822,84.8715,85.9381,87.2943,87.7501,87.8438,94.325,99.6402,104.111,106.144,112.501,112.847,114.238,124.096,144.49,149.641,155.225,163.756,183.311,203.402,15.0947
-12.2818,0.967046,0.363863,2,7,0,13.7563,70.4165,0.296769,70.4165,0.296769,72.7299,73.4345,74.5275,76.4446,76.8022,77.6106,77.6515,80.6301,81.0739,84.4013,85.7568,86.7458,86.7657,88.0058,89.0328,90.3399,90.7795,90.8699,97.1368,102.296,106.646,108.628,114.834,115.173,116.534,126.193,146.257,151.337,156.849,165.279,184.635,204.557,15.3209
-11.9058,0.891926,0.363863,3,11,0,13.3609,67.9208,0.304602,67.9208,0.304602,70.2102,70.9071,71.9878,73.8825,74.2358,75.0344,75.0748,78.0155,78.4535,81.7358,83.0723,84.047,84.0667,85.2888,86.3006,87.5882,88.0212,88.1102,94.279,99.3528,103.629,105.576,111.673,112.005,113.342,122.822,142.496,147.475,152.876,161.134,180.088,199.589,14.9343
-12.0691,0.929777,0.363863,2,3,0,12.8231,69.8662,0.306608,69.8662,0.306608,72.2364,72.9578,74.0764,76.0374,76.403,77.2294,77.2712,80.314,80.7671,84.1625,85.5449,86.553,86.5734,87.8372,88.8836,90.2151,90.6628,90.7548,97.1328,102.378,106.797,108.81,115.109,115.453,116.834,126.628,146.95,152.092,157.67,166.198,185.769,205.903,15.1313
-12.0097,0.998387,0.363863,3,11,0,12.7606,66.6409,0.329141,66.6409,0.329141,69.0649,69.8016,70.943,72.9411,73.3134,74.1542,74.1967,77.2881,77.748,81.1892,82.5881,83.6077,83.6283,84.9058,85.9627,87.3068,87.7586,87.8515,94.2776,99.5501,103.987,106.004,112.315,112.659,114.04,123.831,144.097,149.218,154.769,163.251,182.698,202.683,15.0553
