# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = Chrono_model
# start_datetime = 2023-07-22 21:00:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Cosmic_Chronometers/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpb89sai7z/l6tont0x.json
# random
#   seed = 87191
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/cc/Chrono-20230722220012.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,A
# Adaptation terminated
# Step size = 0.437229
# Diagonal elements of inverse mass matrix:
# 0.000713612, 0.0110277
-13.71,1,0.437229,1,1,0,14.4892,66.2276,0.393641,66.2276,0.393641,69.0988,69.9677,71.3107,73.6533,74.0885,75.0704,75.12,78.7158,79.2488,83.225,84.8353,86.0069,86.0305,87.496,88.7067,90.2439,90.76,90.8661,98.1787,104.145,109.146,111.415,118.493,118.878,120.424,131.35,153.839,159.5,165.631,174.985,196.383,218.32,16.5324
-12.4708,1,0.437229,2,3,0,13.7226,66.3732,0.3732,66.3732,0.3732,69.1042,69.9318,71.2119,73.4473,73.863,74.8011,74.8485,78.2882,78.7986,82.6099,84.1552,85.2801,85.3028,86.7106,87.8741,89.3522,89.8486,89.9506,96.9923,102.747,107.576,109.769,116.614,116.986,118.483,129.064,150.881,156.378,162.334,171.424,192.233,213.58,15.4125
-12.3097,0.960097,0.437229,2,3,0,12.872,65.5382,0.361037,65.5382,0.361037,68.1487,68.9403,70.1655,72.3063,72.7046,73.6037,73.6492,76.9482,77.4381,81.0981,82.5832,83.6646,83.6864,85.0401,86.1592,87.5813,88.0591,88.1573,94.9387,100.487,105.145,107.262,113.871,114.231,115.677,125.904,147.012,152.334,158.101,166.906,187.07,207.765,15.2873
-12.7424,0.945928,0.437229,2,3,0,12.8008,65.2796,0.351609,65.2796,0.351609,67.8131,68.582,69.7722,71.853,72.2403,73.1147,73.1589,76.3694,76.8463,80.4114,81.8588,82.913,82.9342,84.2542,85.3458,86.7331,87.1992,87.2951,93.9156,99.3364,103.891,105.961,112.427,112.779,114.194,124.208,144.892,150.11,155.765,164.401,184.185,204.497,15.7426
-12.0858,0.998984,0.437229,2,7,0,13.0506,68.3938,0.338297,68.3938,0.338297,70.9495,71.7257,72.928,75.0316,75.4233,76.308,76.3527,79.6036,80.0869,83.702,85.1708,86.241,86.2626,87.6032,88.7121,90.1219,90.5958,90.6932,97.4284,102.95,107.593,109.704,116.303,116.663,118.107,128.338,149.496,154.838,160.629,169.476,189.751,210.579,15.1539
-13.4395,0.926742,0.437229,2,7,0,18.4427,70.9862,0.251534,70.9862,0.251534,72.9677,73.573,74.5137,76.1681,76.4774,77.1771,77.2125,79.7989,80.1852,83.0899,84.277,85.1443,85.1618,86.2509,87.154,88.305,88.6925,88.7722,94.3152,98.9016,102.784,104.556,110.121,110.425,111.648,120.353,138.539,143.162,148.185,155.877,173.584,191.859,16.2044
