# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = Chrono_model
# start_datetime = 2023-07-22 21:00:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Cosmic_Chronometers/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpb89sai7z/l6tont0x.json
# random
#   seed = 87191
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/cc/Chrono-20230722220012.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,A
# Adaptation terminated
# Step size = 0.350192
# Diagonal elements of inverse mass matrix:
# 0.000829946, 0.0140092
-11.5107,0.997248,0.350192,2,7,0,12.8571,67.7517,0.325906,67.7517,0.325906,70.1922,70.9341,72.0837,74.0966,74.4716,75.3188,75.3616,78.4772,78.9407,82.4099,83.8205,84.8488,84.8695,86.1578,87.2239,88.5797,89.0355,89.1292,95.6129,100.934,105.413,107.45,113.823,114.17,115.565,125.455,145.932,151.107,156.717,165.29,184.95,205.156,14.5718
-11.5845,0.992944,0.350192,3,9,0,11.7088,67.3667,0.327961,67.3667,0.327961,69.8085,70.5506,71.7005,73.7136,74.0887,74.9359,74.9787,78.0939,78.5573,82.0254,83.4354,84.463,84.4838,85.7714,86.8368,88.1916,88.6471,88.7407,95.2188,100.535,105.008,107.043,113.406,113.753,115.146,125.02,145.461,150.626,156.226,164.782,184.4,204.563,14.6407
-13.5447,0.964025,0.350192,3,11,0,15.0644,72.1512,0.25342,72.1512,0.25342,74.1801,74.7999,75.7628,77.4563,77.7729,78.489,78.5253,81.1719,81.5673,84.5391,85.7534,86.6405,86.6584,87.7724,88.6961,89.8732,90.2694,90.3509,96.0187,100.707,104.675,106.486,112.173,112.484,113.734,122.626,141.202,145.922,151.051,158.905,176.983,195.638,16.3423
-11.7946,0.980089,0.350192,3,15,0,13.8689,69.6485,0.292087,69.6485,0.292087,71.9011,72.5874,73.6522,75.5204,75.869,76.6569,76.6968,79.6012,80.034,83.2803,84.6032,85.5684,85.5879,86.7985,87.8012,89.0775,89.5068,89.5951,95.717,100.759,105.013,106.95,113.021,113.352,114.684,124.137,143.782,148.758,154.158,162.418,181.386,200.914,14.8042
-11.873,0.998009,0.350192,1,3,0,11.9061,69.7799,0.28822,69.7799,0.28822,72.0074,72.6862,73.7395,75.588,75.933,76.7128,76.7523,79.6275,80.0562,83.2713,84.5818,85.5382,85.5575,86.7571,87.7507,89.0157,89.4412,89.5287,95.5985,100.6,104.82,106.743,112.769,113.097,114.419,123.806,143.322,148.267,153.633,161.843,180.7,200.118,14.8673
-11.528,0.998935,0.350192,3,15,0,11.9388,68.2383,0.323644,68.2383,0.323644,70.6797,71.4219,72.5721,74.5864,74.9617,75.8096,75.8525,78.971,79.435,82.9085,84.3211,85.3507,85.3715,86.6618,87.7295,89.0875,89.544,89.6378,96.1333,101.466,105.954,107.996,114.383,114.731,116.13,126.045,146.58,151.77,157.397,165.997,185.718,205.99,14.5949
