# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-19 12:53:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmphi28_2lo/b4zv8afz.json
# random
#   seed = 12120
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230719135352.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40
# Adaptation terminated
# Step size = 0.119605
# Diagonal elements of inverse mass matrix:
# 0.00778911, 0.0196264, 0.00381998, 0.000299605
-27.4252,0.991593,0.119605,4,15,0,33.1544,0.40806,67.9646,-0.268215,23.7312,0.40806,67.9646,-0.268215,23.7312,0.0143504,0.020012,0.0274418,0.0344284,0.0417147,0.050413,0.0598974,0.0689395,0.0782061,0.0886308,0.0977726,0.111069,0.11948,0.134562,0.144787,0.159497,0.175043,0.189899,0.208467,0.225318,0.246816,0.267003,0.293001,0.314358,0.343252,0.373477,0.409039,0.444455,0.483015,0.535525,0.583519,0.644686,0.715709,0.81029,0.905113,1.06949,1.24379,1.48424,2.02764,2.7908,14.5155,15.2376,15.9233,16.4158,16.8326,17.2439,17.6182,17.9235,18.1974,18.4691,18.6823,18.9592,19.1177,19.3758,19.5348,19.745,19.9469,20.1238,20.3264,20.4952,20.6931,20.8638,21.0655,21.2183,21.4093,21.5925,21.79,21.9703,22.151,22.3751,22.5615,22.7779,23.0049,23.2744,23.5147,23.8771,24.2049,24.5887,25.2662,25.9598
-27.1617,1,0.119605,5,31,0,28.9905,0.380657,55.6098,-0.250594,23.7397,0.380657,55.6098,-0.250594,23.7397,0.0143264,0.0199737,0.0273826,0.0343478,0.0416107,0.0502798,0.0597314,0.0687416,0.0779751,0.0883626,0.097472,0.110722,0.119103,0.134135,0.144327,0.158991,0.174492,0.189307,0.207828,0.22464,0.246095,0.266248,0.292211,0.313547,0.342424,0.372647,0.408225,0.443676,0.482297,0.534927,0.583067,0.644468,0.715828,0.810958,0.906439,1.07219,1.24822,1.49145,2.04239,2.81809,14.5204,15.242,15.927,16.4192,16.8357,17.2466,17.6207,17.9258,18.1994,18.471,18.6841,18.9608,19.1193,19.3774,19.5364,19.7465,19.9485,20.1255,20.3282,20.4971,20.6952,20.8661,21.0682,21.2212,21.4125,21.5962,21.7942,21.975,22.1562,22.3811,22.5683,22.7857,23.0137,23.2847,23.5264,23.891,24.2211,24.6077,25.2904,25.9894
-28.4132,0.909145,0.119605,4,15,0,28.9715,0.38799,50.2809,-0.231655,23.7454,0.38799,50.2809,-0.231655,23.7454,0.0143142,0.0199533,0.0273493,0.0343005,0.0415468,0.0501939,0.059619,0.0686016,0.0778046,0.0881553,0.0972303,0.110427,0.118773,0.133738,0.143881,0.158474,0.173894,0.188629,0.207045,0.223759,0.245081,0.265105,0.290895,0.312083,0.340753,0.37075,0.406052,0.441219,0.47952,0.531699,0.579412,0.640253,0.71094,0.805145,0.89967,1.06371,1.23788,1.47847,2.02332,2.79038,14.5242,15.2454,15.9301,16.4219,16.8381,17.2486,17.6223,17.927,18.2004,18.4716,18.6844,18.9607,19.119,19.3766,19.5354,19.7452,19.9468,20.1234,20.3257,20.4943,20.6919,20.8625,21.064,21.2167,21.4076,21.5908,21.7883,21.9686,22.1494,22.3737,22.5603,22.7771,23.0045,23.2747,23.5158,23.8795,24.2088,24.5944,25.2757,25.9737
-26.0561,0.998104,0.119605,5,31,0,29.7576,0.365213,66.1734,-0.219327,23.7456,0.365213,66.1734,-0.219327,23.7456,0.0142982,0.019928,0.0273106,0.0342483,0.0414801,0.0501094,0.0595148,0.0684787,0.0776628,0.0879927,0.09705,0.110222,0.118553,0.133493,0.143621,0.158194,0.173596,0.188316,0.206717,0.223422,0.244739,0.264763,0.290561,0.311764,0.340463,0.370505,0.405875,0.441126,0.479539,0.531902,0.579813,0.640948,0.712031,0.806848,0.902078,1.06753,1.24343,1.48674,2.03881,2.81764,14.522,15.2429,15.9273,16.4188,16.8348,17.2452,17.6187,17.9234,18.1967,18.4679,18.6806,18.957,19.1152,19.3729,19.5317,19.7416,19.9433,20.1201,20.3225,20.4913,20.6891,20.8599,21.0618,21.2148,21.406,21.5896,21.7876,21.9684,22.1497,22.3748,22.5621,22.7797,23.0081,23.2796,23.5218,23.8875,24.2187,24.6068,25.2925,25.995
-26.9129,0.932668,0.119605,4,23,0,27.5708,0.385264,71.0304,-0.19807,23.7585,0.385264,71.0304,-0.19807,23.7585,0.0142876,0.0199096,0.0272795,0.0342029,0.0414174,0.0500231,0.0593992,0.068332,0.0774811,0.0877678,0.0967842,0.109892,0.118179,0.133036,0.143103,0.157582,0.17288,0.187494,0.205755,0.222324,0.243458,0.263302,0.288854,0.309844,0.338241,0.367949,0.402906,0.437725,0.475645,0.5273,0.574533,0.634761,0.704738,0.798003,0.891598,1.05406,1.22661,1.46507,2.0055,2.7671,14.5333,15.2538,15.9376,16.4288,16.8444,17.2543,17.6274,17.9316,18.2044,18.4751,18.6875,18.9633,19.1212,19.3783,19.5367,19.746,19.9472,20.1234,20.3252,20.4934,20.6906,20.8607,21.0619,21.2142,21.4046,21.5874,21.7845,21.9645,22.1449,22.3688,22.555,22.7715,22.9986,23.2685,23.5093,23.8728,24.202,24.5877,25.2696,25.9686
-28.0543,0.801226,0.119605,5,63,0,31.9582,0.313336,59.6835,-0.0439178,23.7982,0.313336,59.6835,-0.0439178,23.7982,0.0141757,0.0197293,0.0269972,0.0338147,0.0409102,0.0493647,0.0585666,0.0673258,0.0762907,0.086364,0.0951889,0.108012,0.116117,0.130641,0.14048,0.154631,0.169579,0.183859,0.201703,0.217897,0.238557,0.257962,0.28296,0.303505,0.331317,0.360435,0.39473,0.428926,0.466209,0.517071,0.563655,0.62316,0.692446,0.785036,0.878224,1.04059,1.21383,1.45442,2.00385,2.78522,14.5559,15.2737,15.9548,16.4437,16.8573,17.2653,17.6364,17.9391,18.2105,18.4798,18.6911,18.9655,19.1227,19.3786,19.5363,19.7447,19.945,20.1206,20.3217,20.4894,20.6861,20.856,21.0568,21.209,21.3994,21.5823,21.7797,21.9601,22.1411,22.3659,22.5532,22.7712,23.0001,23.2726,23.5162,23.8846,24.219,24.6116,25.3075,26.0225
-28.4391,0.991172,0.119605,5,63,0,31.7165,0.390881,76.2515,-0.287432,23.7198,0.390881,76.2515,-0.287432,23.7198,0.014359,0.0200269,0.0274671,0.0344656,0.0417663,0.0504843,0.0599933,0.0690617,0.078358,0.0888193,0.097996,0.111348,0.119796,0.13495,0.145227,0.160017,0.175654,0.190603,0.209292,0.226261,0.247918,0.268263,0.294475,0.316018,0.345176,0.375693,0.411617,0.447411,0.486403,0.539533,0.588121,0.650081,0.72207,0.818002,0.914245,1.08121,1.2584,1.503,2.05628,2.83389,14.5054,15.2279,15.9139,16.4067,16.8239,17.2356,17.6103,17.916,18.1902,18.4623,18.6758,18.9532,19.112,19.3707,19.53,19.7406,19.9431,20.1204,20.3236,20.4928,20.6913,20.8626,21.065,21.2184,21.41,21.594,21.7923,21.9733,22.1548,22.3799,22.5671,22.7846,23.0127,23.2836,23.5251,23.8894,24.2189,24.6046,25.2852,25.9817
-28.1444,0.980118,0.119605,5,31,0,29.3704,0.41759,81.4268,-0.269018,23.7413,0.41759,81.4268,-0.269018,23.7413,0.0143548,0.0200187,0.0274518,0.0344415,0.0417311,0.0504331,0.0599213,0.0689667,0.0782362,0.0886637,0.0978075,0.111106,0.119517,0.1346,0.144823,0.159531,0.175073,0.189924,0.208482,0.225323,0.246804,0.266974,0.292944,0.314274,0.343127,0.373305,0.408803,0.444146,0.48262,0.534998,0.582859,0.643839,0.714622,0.80885,0.903282,1.06691,1.24033,1.47945,2.01949,2.77741,14.5263,15.2485,15.9342,16.4268,16.8436,17.2549,17.6292,17.9345,18.2084,18.4801,18.6932,18.97,19.1285,19.3866,19.5455,19.7556,19.9574,20.1342,20.3367,20.5054,20.7031,20.8737,21.0753,21.2279,21.4186,21.6017,21.7989,21.979,22.1594,22.3831,22.5692,22.7852,23.0117,23.2807,23.5205,23.882,24.209,24.5918,25.2676,25.9595
-27.5219,0.990495,0.119605,4,23,0,32.5835,0.351539,67.3254,-0.243258,23.7391,0.351539,67.3254,-0.243258,23.7391,0.0143111,0.0199499,0.0273468,0.0343003,0.0415509,0.0502054,0.0596417,0.0686379,0.0778582,0.088232,0.0973306,0.110567,0.118942,0.133965,0.144152,0.158814,0.174318,0.18914,0.207675,0.224507,0.245995,0.266188,0.292215,0.313614,0.342592,0.372938,0.408683,0.444326,0.483183,0.536177,0.584693,0.64663,0.718686,0.81486,0.91151,1.07954,1.25831,1.50574,2.06757,2.86064,14.5175,15.2388,15.9237,16.4156,16.832,17.2429,17.6169,17.9219,18.1956,18.4673,18.6804,18.9573,19.1158,19.3741,19.5332,19.7436,19.9458,20.123,20.326,20.4953,20.6938,20.8651,21.0676,21.2211,21.413,21.5973,21.7961,21.9776,22.1597,22.3857,22.5738,22.7924,23.0218,23.2945,23.5379,23.9053,24.2381,24.6279,25.3164,26.0214
-25.8489,0.99202,0.119605,3,15,0,31.6372,0.382558,71.9544,-0.227022,23.7468,0.382558,71.9544,-0.227022,23.7468,0.014309,0.0199449,0.0273364,0.0342828,0.041524,0.0501646,0.0595823,0.0685578,0.0777534,0.0880956,0.0971632,0.110349,0.118688,0.133641,0.143777,0.158358,0.173767,0.188492,0.206896,0.223599,0.244909,0.264923,0.290701,0.311881,0.340542,0.370533,0.405831,0.440998,0.479303,0.531494,0.579226,0.640099,0.710836,0.805127,0.89976,1.06403,1.2385,1.47959,2.02583,2.79524,14.5248,15.246,15.9305,16.4222,16.8383,17.2488,17.6224,17.9271,18.2004,18.4716,18.6843,18.9606,19.1188,19.3765,19.5352,19.745,19.9466,20.1233,20.3255,20.4941,20.6918,20.8624,21.064,21.2167,21.4076,21.5909,21.7885,21.969,22.1498,22.3743,22.561,22.778,23.0056,23.2761,23.5174,23.8816,24.2113,24.5975,25.2798,25.9789
-26.2632,0.99728,0.119605,4,15,0,26.7935,0.379158,68.8569,-0.257773,23.7365,0.379158,68.8569,-0.257773,23.7365,0.0143314,0.0199819,0.0273959,0.0343666,0.0416359,0.0503134,0.0597751,0.0687958,0.0780408,0.0884421,0.0975642,0.110834,0.119228,0.134285,0.144494,0.159184,0.174714,0.189558,0.208115,0.224963,0.246464,0.266663,0.292686,0.314073,0.343022,0.373322,0.408993,0.444539,0.483268,0.536048,0.584328,0.645914,0.717492,0.81292,0.908705,1.07499,1.2516,1.49564,2.0484,2.8266,14.518,15.2397,15.925,16.4172,16.8339,17.245,17.6191,17.9243,18.1981,18.4698,18.683,18.9599,19.1184,19.3767,19.5358,19.746,19.9482,20.1252,20.3281,20.4971,20.6953,20.8663,21.0685,21.2217,21.4131,21.597,21.7951,21.9761,22.1575,22.3826,22.5698,22.7874,23.0156,23.2868,23.5287,23.8936,24.2239,24.6107,25.2936,25.9929
-26.2476,0.963202,0.119605,3,15,0,28.4361,0.393405,69.1977,-0.226043,23.7502,0.393405,69.1977,-0.226043,23.7502,0.0143115,0.0199485,0.0273412,0.0342886,0.0415304,0.0501714,0.0595887,0.0685631,0.0777569,0.0880961,0.0971603,0.11034,0.118674,0.133617,0.143744,0.158312,0.173704,0.188411,0.206789,0.223467,0.244741,0.264716,0.29044,0.311572,0.340161,0.370069,0.405261,0.440312,0.478482,0.530472,0.578005,0.638604,0.708997,0.802789,0.89688,1.06013,1.23341,1.47272,2.01453,2.7771,14.5286,15.2497,15.9343,16.4259,16.842,17.2525,17.626,17.9306,18.2039,18.475,18.6876,18.9639,19.122,19.3795,19.5381,19.7478,19.9492,20.1257,20.3278,20.4963,20.6937,20.8641,21.0655,21.218,21.4086,21.5916,21.7889,21.969,22.1495,22.3735,22.5598,22.7763,23.0034,23.2732,23.5139,23.877,24.2057,24.5908,25.2711,25.9681
-25.3801,0.97946,0.119605,3,11,0,26.6234,0.371539,69.8396,-0.224955,23.7506,0.371539,69.8396,-0.224955,23.7506,0.0143042,0.0199375,0.0273253,0.0342684,0.0415061,0.0501427,0.0595565,0.0685285,0.077721,0.0880605,0.0971262,0.110311,0.118649,0.133603,0.14374,0.158324,0.173739,0.188471,0.206886,0.223602,0.244932,0.264967,0.290778,0.311989,0.340698,0.370745,0.406118,0.441369,0.479775,0.532121,0.580009,0.641102,0.712123,0.806832,0.901928,1.06709,1.24262,1.48532,2.03569,2.81161,14.5279,15.2489,15.9334,16.425,16.8411,17.2516,17.6252,17.9299,18.2033,18.4745,18.6873,18.9637,19.1219,19.3796,19.5385,19.7483,19.9501,20.1268,20.3292,20.4979,20.6958,20.8665,21.0684,21.2213,21.4124,21.5959,21.7938,21.9746,22.1558,22.3806,22.5677,22.7852,23.0133,23.2845,23.5264,23.8916,24.2223,24.6097,25.2941,25.9953
-27.0337,0.989671,0.119605,5,31,0,27.6815,0.363197,84.08,-0.232797,23.7406,0.363197,84.08,-0.232797,23.7406,0.0143074,0.0199432,0.0273351,0.0342829,0.0415264,0.050171,0.0595947,0.0685775,0.0777822,0.0881368,0.0972169,0.110424,0.118779,0.133762,0.143921,0.15854,0.173993,0.188764,0.20723,0.223996,0.245394,0.265498,0.291401,0.312693,0.341516,0.371691,0.407223,0.44264,0.481238,0.533859,0.582013,0.643462,0.714919,0.810245,0.905993,1.07236,1.24924,1.49391,2.04904,2.83206,14.5184,15.2395,15.9242,16.416,16.8322,17.2428,17.6166,17.9215,18.195,18.4663,18.6793,18.9559,19.1143,19.3722,19.5312,19.7413,19.9432,20.1202,20.3228,20.4918,20.6899,20.8609,21.063,21.2162,21.4076,21.5915,21.7897,21.9708,22.1524,22.3777,22.5652,22.7832,23.0118,23.2836,23.5262,23.8923,24.2238,24.6122,25.2983,26.0011
-27.6225,0.996027,0.119605,3,7,0,28.0909,0.364014,87.9201,-0.232679,23.7405,0.364014,87.9201,-0.232679,23.7405,0.0143076,0.0199434,0.0273354,0.0342833,0.0415267,0.0501714,0.059595,0.0685777,0.0777823,0.0881365,0.0972164,0.110423,0.118777,0.13376,0.143918,0.158535,0.173987,0.188757,0.207221,0.223985,0.24538,0.265481,0.29138,0.312667,0.341485,0.371654,0.407177,0.442585,0.481172,0.533777,0.581914,0.643342,0.714771,0.810057,0.905761,1.07204,1.24883,1.49336,2.04812,2.83058,14.5183,15.2395,15.9241,16.4159,16.8321,17.2428,17.6165,17.9214,18.1949,18.4663,18.6792,18.9558,19.1141,19.3721,19.5311,19.7411,19.9431,20.12,20.3226,20.4916,20.6897,20.8606,21.0628,21.2159,21.4073,21.5912,21.7894,21.9705,22.152,22.3773,22.5648,22.7827,23.0113,23.2831,23.5255,23.8915,24.223,24.6113,25.2973,25.9999
-27.0954,0.930996,0.119605,5,31,0,29.5628,0.402213,75.0214,-0.27499,23.736,0.402213,75.0214,-0.27499,23.736,0.0143537,0.0200176,0.0274513,0.0344423,0.0417339,0.0504395,0.0599329,0.0689846,0.078262,0.0886999,0.0978544,0.111171,0.119595,0.134703,0.144947,0.159685,0.175264,0.190153,0.208764,0.225657,0.247211,0.267454,0.293528,0.31495,0.343937,0.374265,0.409954,0.445502,0.484213,0.536939,0.58514,0.646583,0.71794,0.812989,0.908301,1.07357,1.24886,1.49073,2.0375,2.80557,14.5208,15.243,15.9288,16.4214,16.8384,17.2498,17.6243,17.9297,18.2037,18.4756,18.6889,18.9659,19.1245,19.3829,19.542,19.7523,19.9544,20.1315,20.3343,20.5032,20.7013,20.8722,21.0742,21.2272,21.4184,21.6019,21.7996,21.9802,22.1612,22.3856,22.5723,22.7891,23.0164,23.2864,23.5271,23.8901,24.2185,24.603,25.2815,25.9761
