lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.371859
# Diagonal elements of inverse mass matrix:
# 0.00288607, 0.0152672, 0.001437
-42.7342,0.931043,0.371859,3,7,0,44.7054,0.371221,72.3529,-0.188977,0.371221,72.3529,-0.188977,3.25126e+07,1.36814e+06,57571.6,23.7968,23.7344,23.7569,23.7536,23.7527,23.7411,23.7093,23.7398,23.7345,23.8403,23.7742,23.8366,23.8119,23.7538,23.7798,23.8335,23.7582,23.7016,23.7744,23.7719,23.7553,23.7606,23.7501,23.7496,23.7188,23.7511,23.788,23.761,23.7566,23.7693,23.7607,23.7831,23.7592,23.7879,23.7495,23.7479,23.7954,23.8048,23.7831,23.7033
-42.2534,0.99495,0.371859,2,7,0,43.8176,0.360727,63.135,-0.197729,0.360727,63.135,-0.197729,3.24963e+07,1.36779e+06,57571.6,23.7962,23.7336,23.7559,23.7524,23.7514,23.7396,23.7076,23.7379,23.7324,23.8379,23.7717,23.8338,23.809,23.7507,23.7764,23.8299,23.7543,23.6975,23.77,23.7673,23.7503,23.7553,23.7444,23.7436,23.7124,23.7443,23.7808,23.7534,23.7485,23.7607,23.7515,23.7734,23.7488,23.7767,23.7376,23.7348,23.7813,23.7895,23.7658,23.684
-42.2982,0.946886,0.371859,3,11,0,42.9787,0.341246,76.9351,-0.142902,0.341246,76.9351,-0.142902,3.25413e+07,1.36874e+06,57571.6,23.8025,23.741,23.7644,23.7618,23.7616,23.7506,23.7194,23.7503,23.7455,23.8516,23.7859,23.8486,23.8241,23.7664,23.7925,23.8465,23.7713,23.7149,23.7877,23.7854,23.7687,23.774,23.7635,23.7629,23.7319,23.764,23.8006,23.7733,23.7685,23.7806,23.7713,23.793,23.7682,23.7955,23.7558,23.7519,23.7971,23.8035,23.776,23.6897
-41.942,0.991915,0.371859,2,7,0,43.3145,0.339595,71.6926,-0.148922,0.339595,71.6926,-0.148922,3.25339e+07,1.36858e+06,57571.6,23.8019,23.7403,23.7636,23.7609,23.7605,23.7495,23.7182,23.749,23.7441,23.8501,23.7842,23.8469,23.8223,23.7645,23.7905,23.8444,23.7691,23.7126,23.7854,23.7829,23.7661,23.7714,23.7607,23.76,23.7289,23.7609,23.7973,23.7699,23.765,23.7769,23.7675,23.789,23.764,23.7912,23.7513,23.7471,23.7922,23.7983,23.7704,23.6838
-44.4117,0.969189,0.371859,3,15,0,45.1308,0.384044,54.2953,-0.226711,0.384044,54.2953,-0.226711,3.24764e+07,1.36737e+06,57571.6,23.7919,23.7288,23.7504,23.7464,23.7449,23.7327,23.7003,23.7302,23.7244,23.8297,23.7632,23.8251,23.8001,23.7415,23.7672,23.8205,23.7448,23.688,23.7604,23.7576,23.7407,23.7457,23.735,23.7342,23.7032,23.7353,23.7721,23.7449,23.7405,23.7531,23.7444,23.7669,23.7432,23.7721,23.7341,23.7331,23.7814,23.7919,23.7728,23.6959
-44.4516,1,0.371859,2,3,0,44.6568,0.379179,53.2265,-0.232254,0.379179,53.2265,-0.232254,3.24674e+07,1.36718e+06,57571.6,23.7915,23.7283,23.7497,23.7456,23.7441,23.7317,23.6992,23.729,23.7231,23.8282,23.7617,23.8234,23.7983,23.7396,23.7652,23.8184,23.7426,23.6856,23.7578,23.7549,23.7378,23.7427,23.7317,23.7308,23.6996,23.7315,23.768,23.7407,23.736,23.7484,23.7394,23.7617,23.7376,23.7661,23.7277,23.7262,23.774,23.784,23.7639,23.6863
-44.0738,0.988687,0.371859,3,11,0,45.9637,0.33331,91.1536,-0.138147,0.33331,91.1536,-0.138147,3.254e+07,1.36871e+06,57571.6,23.8031,23.7417,23.7652,23.7626,23.7624,23.7515,23.7203,23.7512,23.7464,23.8525,23.7867,23.8494,23.8249,23.7671,23.7932,23.8471,23.7719,23.7154,23.7882,23.7857,23.769,23.7742,23.7635,23.7628,23.7316,23.7636,23.8,23.7725,23.7675,23.7793,23.7698,23.7911,23.7659,23.7928,23.7527,23.748,23.7926,23.7981,23.7689,23.6809
-42.8272,1,0.371859,3,15,0,44.1867,0.345693,57.153,-0.166678,0.345693,57.153,-0.166678,3.25199e+07,1.36829e+06,57571.6,23.7999,23.738,23.7609,23.7579,23.7574,23.746,23.7145,23.7451,23.74,23.8458,23.7798,23.8423,23.8176,23.7596,23.7855,23.8392,23.7638,23.7072,23.7798,23.7773,23.7604,23.7655,23.7548,23.754,23.7228,23.7548,23.7912,23.7637,23.7588,23.7707,23.7613,23.7829,23.758,23.7853,23.7457,23.7418,23.7873,23.794,23.7672,23.6821
-43.7845,0.979801,0.371859,4,15,0,43.9513,0.343704,51.9002,-0.169829,0.343704,51.9002,-0.169829,3.25152e+07,1.36819e+06,57571.6,23.7997,23.7377,23.7605,23.7575,23.7569,23.7455,23.7139,23.7444,23.7392,23.845,23.779,23.8413,23.8166,23.7585,23.7844,23.8381,23.7626,23.7059,23.7784,23.7758,23.7589,23.7639,23.7531,23.7522,23.7209,23.7528,23.7891,23.7615,23.7565,23.7683,23.7588,23.7803,23.7552,23.7823,23.7425,23.7384,23.7836,23.7901,23.763,23.6775
-44.6939,0.990366,0.371859,2,7,0,46.0085,0.342865,47.7227,-0.163775,0.342865,47.7227,-0.163775,3.25209e+07,1.36831e+06,57571.6,23.8003,23.7384,23.7614,23.7585,23.7579,23.7466,23.7151,23.7458,23.7407,23.8465,23.7805,23.843,23.8183,23.7603,23.7862,23.8399,23.7645,23.7079,23.7805,23.7779,23.761,23.7662,23.7554,23.7546,23.7233,23.7553,23.7916,23.7641,23.7591,23.771,23.7615,23.783,23.758,23.7851,23.7453,23.7413,23.7865,23.7929,23.7656,23.6798
