# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-19 09:58:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpvemhtge4/l7m1rgs5.json
# random
#   seed = 99854
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230719105841.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.439548
# Diagonal elements of inverse mass matrix:
# 0.00427333, 0.0266889, 0.00207866
-42.4815,0.983077,0.439548,4,15,0,44.8463,0.375246,69.8187,-0.22321,0.375246,69.8187,-0.22321,3.24759e+07,1.36736e+06,57571.6,23.7927,23.7297,23.7514,23.7474,23.746,23.7338,23.7014,23.7314,23.7256,23.8309,23.7644,23.8262,23.8012,23.7427,23.7683,23.8216,23.7458,23.6889,23.7612,23.7584,23.7413,23.7463,23.7354,23.7345,23.7033,23.7353,23.7718,23.7445,23.7397,23.7521,23.7431,23.7653,23.7412,23.7696,23.7311,23.7293,23.7769,23.7865,23.7656,23.6871
-42.1919,0.965434,0.439548,3,11,0,43.194,0.335071,69.0376,-0.13516,0.335071,69.0376,-0.13516,3.25444e+07,1.3688e+06,57571.6,23.8034,23.742,23.7656,23.763,23.7629,23.752,23.7209,23.7519,23.7471,23.8533,23.7875,23.8503,23.8259,23.7681,23.7943,23.8482,23.7731,23.7167,23.7895,23.7871,23.7704,23.7757,23.7651,23.7644,23.7334,23.7654,23.802,23.7745,23.7696,23.7815,23.7721,23.7936,23.7685,23.7956,23.7556,23.7512,23.7959,23.8016,23.7728,23.6852
-43.2486,0.845224,0.439548,2,7,0,43.8557,0.343737,63.6849,-0.131097,0.343737,63.6849,-0.131097,3.25553e+07,1.36904e+06,57571.6,23.8037,23.7424,23.766,23.7636,23.7636,23.7528,23.7219,23.753,23.7483,23.8546,23.789,23.852,23.8276,23.7701,23.7963,23.8505,23.7755,23.7193,23.7923,23.7901,23.7737,23.7792,23.7688,23.7684,23.7376,23.77,23.8068,23.7797,23.7751,23.7875,23.7785,23.8004,23.7758,23.8035,23.7641,23.7606,23.8062,23.813,23.786,23.7001
-43.0158,0.99137,0.439548,3,7,0,43.5426,0.336796,78.0103,-0.122267,0.336796,78.0103,-0.122267,3.25587e+07,1.36911e+06,57571.6,23.8047,23.7435,23.7673,23.765,23.7651,23.7544,23.7235,23.7547,23.7501,23.8564,23.7909,23.8539,23.8295,23.772,23.7983,23.8524,23.7775,23.7212,23.7943,23.792,23.7756,23.781,23.7706,23.7701,23.7393,23.7716,23.8083,23.7811,23.7763,23.7885,23.7793,23.8011,23.7762,23.8036,23.7639,23.7598,23.8048,23.8108,23.7824,23.695
-42.5075,0.908736,0.439548,4,15,0,47.1086,0.335904,63.3942,-0.135306,0.335904,63.3942,-0.135306,3.25449e+07,1.36882e+06,57571.6,23.8034,23.742,23.7655,23.763,23.7629,23.752,23.7209,23.7519,23.7471,23.8533,23.7875,23.8503,23.8259,23.7682,23.7943,23.8483,23.7731,23.7167,23.7896,23.7872,23.7705,23.7759,23.7653,23.7646,23.7336,23.7656,23.8022,23.7748,23.7699,23.7819,23.7725,23.794,23.769,23.796,23.7561,23.7518,23.7966,23.8024,23.7738,23.6863
-42.1399,0.984143,0.439548,3,7,0,42.8249,0.361571,73.5664,-0.18105,0.361571,73.5664,-0.18105,3.25152e+07,1.36819e+06,57571.6,23.7979,23.7357,23.7584,23.7552,23.7545,23.7429,23.7113,23.7418,23.7366,23.8423,23.7763,23.8387,23.814,23.756,23.7819,23.8356,23.7603,23.7037,23.7764,23.7739,23.7572,23.7624,23.7518,23.7512,23.7202,23.7524,23.7892,23.762,23.7574,23.7698,23.7608,23.783,23.7587,23.7868,23.748,23.7455,23.7923,23.8007,23.7771,23.6954
-42.1815,0.584935,0.439548,2,7,0,44.569,0.345188,80.033,-0.163997,0.345188,80.033,-0.163997,3.25223e+07,1.36834e+06,57571.6,23.8002,23.7384,23.7613,23.7584,23.7579,23.7466,23.7151,23.7457,23.7406,23.8465,23.7805,23.843,23.8184,23.7604,23.7863,23.8401,23.7647,23.7081,23.7807,23.7782,23.7613,23.7665,23.7558,23.755,23.7238,23.7558,23.7923,23.7648,23.7599,23.7718,23.7625,23.7841,23.7592,23.7865,23.7468,23.743,23.7884,23.795,23.7682,23.683
-42.5475,0.828078,0.439548,2,7,0,43.2005,0.341434,75.0225,-0.185167,0.341434,75.0225,-0.185167,3.24976e+07,1.36782e+06,57571.6,23.7982,23.7359,23.7584,23.7551,23.7543,23.7426,23.7107,23.741,23.7356,23.8412,23.775,23.8371,23.8122,23.7538,23.7795,23.833,23.7573,23.7004,23.7727,23.7698,23.7526,23.7575,23.7463,23.7453,23.7137,23.7453,23.7814,23.7535,23.7482,23.7597,23.75,23.7711,23.7457,23.7725,23.7323,23.7278,23.7726,23.7787,23.751,23.6652
-42.8871,1,0.439548,2,5,0,43.8938,0.334074,68.4962,-0.11734,0.334074,68.4962,-0.11734,3.25614e+07,1.36916e+06,57571.6,23.8052,23.7441,23.768,23.7658,23.7659,23.7553,23.7245,23.7557,23.7511,23.8575,23.7919,23.855,23.8307,23.7732,23.7995,23.8536,23.7787,23.7224,23.7955,23.7933,23.7768,23.7823,23.7719,23.7714,23.7405,23.7728,23.8095,23.7822,23.7775,23.7896,23.7803,23.802,23.7771,23.8043,23.7645,23.7602,23.805,23.8108,23.7818,23.6938
-42.3758,0.927894,0.439548,3,7,0,43.5077,0.342816,60.9702,-0.162197,0.342816,60.9702,-0.162197,3.25225e+07,1.36835e+06,57571.6,23.8005,23.7386,23.7616,23.7587,23.7582,23.7469,23.7154,23.7461,23.741,23.8469,23.7809,23.8434,23.8188,23.7608,23.7867,23.8404,23.7651,23.7085,23.7811,23.7785,23.7616,23.7668,23.756,23.7552,23.724,23.7559,23.7923,23.7648,23.7598,23.7717,23.7623,23.7838,23.7588,23.786,23.7462,23.7421,23.7873,23.7937,23.7665,23.6807
-43.7409,0.864506,0.439548,2,7,0,44.8243,0.327953,56.4935,-0.154148,0.327953,56.4935,-0.154148,3.25199e+07,1.36829e+06,57571.6,23.8016,23.7399,23.7631,23.7602,23.7598,23.7485,23.7171,23.7478,23.7427,23.8485,23.7825,23.8449,23.8202,23.7622,23.788,23.8417,23.7662,23.7094,23.7819,23.7792,23.7621,23.7671,23.756,23.755,23.7235,23.7551,23.7912,23.7633,23.7579,23.7693,23.7593,23.7802,23.7546,23.7808,23.7402,23.7348,23.7786,23.7833,23.7529,23.6639
-42.9617,0.996947,0.439548,3,7,0,44.2034,0.357233,79.2241,-0.214558,0.357233,79.2241,-0.214558,3.24757e+07,1.36736e+06,57571.6,23.7945,23.7316,23.7535,23.7498,23.7485,23.7363,23.7041,23.7341,23.7283,23.8336,23.7671,23.8289,23.8039,23.7452,23.7708,23.824,23.7481,23.6911,23.7632,23.7603,23.743,23.7478,23.7366,23.7355,23.7039,23.7356,23.7717,23.744,23.7388,23.7505,23.741,23.7625,23.7375,23.7649,23.7254,23.722,23.768,23.7757,23.7512,23.669
-43.4524,0.883627,0.439548,2,3,0,44.7914,0.371918,80.392,-0.235989,0.371918,80.392,-0.235989,3.24594e+07,1.36702e+06,57571.6,23.7914,23.7281,23.7495,23.7454,23.7437,23.7313,23.6987,23.7284,23.7225,23.8274,23.7608,23.8224,23.7972,23.7384,23.7639,23.8169,23.7409,23.6838,23.7559,23.7529,23.7355,23.7403,23.7291,23.728,23.6965,23.7282,23.7645,23.7369,23.7319,23.7439,23.7347,23.7565,23.732,23.76,23.7212,23.7189,23.766,23.7752,23.7537,23.6747
-44.4128,0.923981,0.439548,3,7,0,46.3862,0.39479,70.2876,-0.264282,0.39479,70.2876,-0.264282,3.2436e+07,1.36652e+06,57571.6,23.7869,23.7229,23.7436,23.7389,23.7367,23.7238,23.6907,23.72,23.7137,23.8184,23.7515,23.8128,23.7874,23.7283,23.7536,23.8065,23.7304,23.6732,23.7451,23.742,23.7246,23.7294,23.7182,23.7172,23.6859,23.7177,23.7542,23.7269,23.7222,23.7347,23.7259,23.7483,23.7246,23.7536,23.7158,23.7152,23.7642,23.7756,23.7585,23.6843
-41.8979,0.979107,0.439548,3,7,0,45.3202,0.358749,73.6692,-0.18533,0.358749,73.6692,-0.18533,3.25087e+07,1.36805e+06,57571.6,23.7976,23.7353,23.7578,23.7546,23.7537,23.7421,23.7104,23.7408,23.7355,23.8412,23.7751,23.8374,23.8126,23.7545,23.7804,23.834,23.7585,23.7019,23.7745,23.7719,23.755,23.7602,23.7494,23.7487,23.7176,23.7497,23.7863,23.759,23.7542,23.7664,23.7573,23.7793,23.7548,23.7827,23.7436,23.7408,23.7873,23.7953,23.7712,23.6889
-41.9502,0.822979,0.439548,2,7,0,42.685,0.353244,65.6802,-0.179292,0.353244,65.6802,-0.179292,3.25116e+07,1.36812e+06,57571.6,23.7984,23.7362,23.7589,23.7557,23.755,23.7435,23.7118,23.7423,23.737,23.8427,23.7767,23.839,23.8143,23.7561,23.782,23.8357,23.7602,23.7035,23.7761,23.7735,23.7566,23.7618,23.751,23.7502,23.7191,23.7511,23.7876,23.7602,23.7553,23.7674,23.7582,23.7799,23.7552,23.7829,23.7435,23.7403,23.7863,23.7937,23.7685,23.6851
-43.5116,0.493581,0.439548,2,7,0,45.1971,0.353481,57.5648,-0.207336,0.353481,57.5648,-0.207336,3.24815e+07,1.36748e+06,57571.6,23.7954,23.7327,23.7548,23.7511,23.7499,23.7379,23.7058,23.7358,23.7302,23.8355,23.7691,23.831,23.806,23.7474,23.773,23.8263,23.7505,23.6935,23.7657,23.7627,23.7455,23.7503,23.7391,23.738,23.7065,23.7381,23.7742,23.7465,23.7413,23.753,23.7434,23.7648,23.7397,23.767,23.7273,23.7237,23.7694,23.7767,23.7515,23.6684
-45.2178,0.425232,0.439548,3,7,0,49.5214,0.354172,58.4002,-0.133605,0.354172,58.4002,-0.133605,3.25609e+07,1.36915e+06,57571.6,23.8032,23.7419,23.7656,23.7632,23.7631,23.7524,23.7215,23.7526,23.748,23.8544,23.7889,23.8519,23.8276,23.7702,23.7966,23.8508,23.776,23.7199,23.7931,23.791,23.7748,23.7805,23.7703,23.7701,23.7396,23.7722,23.8093,23.7825,23.7782,23.791,23.7823,23.8047,23.7807,23.809,23.7703,23.7677,23.8143,23.8222,23.7973,23.7135
