lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.33054
# Diagonal elements of inverse mass matrix:
# 0.00472399, 0.0216376, 0.00248055
-43.3399,0.961482,0.33054,3,7,0,44.1238,0.377846,65.8631,-0.241888,0.377846,65.8631,-0.241888,3.24554e+07,1.36693e+06,57571.6,23.7905,23.727,23.7483,23.744,23.7423,23.7297,23.697,23.7267,23.7207,23.8256,23.7589,23.8204,23.7953,23.7364,23.7618,23.8149,23.7389,23.6818,23.7538,23.7508,23.7335,23.7383,23.7271,23.7261,23.6946,23.7264,23.7627,23.7352,23.7304,23.7425,23.7334,23.7554,23.7312,23.7594,23.7209,23.7191,23.7667,23.7765,23.7561,23.6784
-42.2777,0.995478,0.33054,2,7,0,43.9419,0.368194,69.5909,-0.193321,0.368194,69.5909,-0.193321,3.25058e+07,1.36799e+06,57571.6,23.7964,23.7339,23.7563,23.7529,23.752,23.7403,23.7084,23.7388,23.7335,23.8391,23.773,23.8352,23.8105,23.7523,23.7782,23.8318,23.7564,23.6998,23.7724,23.7698,23.7531,23.7583,23.7477,23.747,23.7161,23.7483,23.785,23.7579,23.7533,23.7658,23.757,23.7793,23.7552,23.7836,23.745,23.743,23.7902,23.7992,23.777,23.6967
-44.3539,0.774826,0.33054,2,7,0,44.8104,0.348462,64.1788,-0.218634,0.348462,64.1788,-0.218634,3.24663e+07,1.36716e+06,57571.6,23.7944,23.7315,23.7533,23.7495,23.7481,23.7359,23.7035,23.7334,23.7276,23.8327,23.7661,23.8278,23.8026,23.7438,23.7693,23.8223,23.7463,23.6891,23.761,23.7579,23.7404,23.745,23.7335,23.7322,23.7004,23.7317,23.7675,23.7395,23.734,23.7453,23.7354,23.7564,23.7309,23.7577,23.7176,23.7132,23.7584,23.765,23.7387,23.6547
-44.8571,0.875808,0.33054,2,3,0,46.8092,0.384052,57.3745,-0.20121,0.384052,57.3745,-0.20121,3.25063e+07,1.36801e+06,57571.6,23.7949,23.7323,23.7545,23.751,23.7499,23.7382,23.7062,23.7366,23.7312,23.8368,23.7707,23.833,23.8083,23.7502,23.7761,23.8299,23.7545,23.698,23.7708,23.7684,23.7518,23.7572,23.7468,23.7464,23.7157,23.7482,23.7853,23.7585,23.7544,23.7674,23.7591,23.7819,23.7585,23.7878,23.7501,23.7494,23.798,23.8087,23.7895,23.7123
-42.8374,0.806898,0.33054,2,3,0,45.9166,0.3714,60.6361,-0.20547,0.3714,60.6361,-0.20547,3.2494e+07,1.36775e+06,57571.6,23.7949,23.7322,23.7543,23.7507,23.7496,23.7377,23.7056,23.7358,23.7303,23.8358,23.7695,23.8316,23.8068,23.7485,23.7742,23.8277,23.7522,23.6954,23.7679,23.7653,23.7484,23.7535,23.7428,23.7421,23.711,23.7431,23.7798,23.7526,23.748,23.7605,23.7516,23.7738,23.7498,23.7782,23.7396,23.7377,23.7852,23.7945,23.7728,23.6933
-43.0974,0.603846,0.33054,3,7,0,45.6821,0.366519,57.2245,-0.20766,0.366519,57.2245,-0.20766,3.24887e+07,1.36763e+06,57571.6,23.7948,23.7321,23.7542,23.7505,23.7494,23.7374,23.7053,23.7354,23.7299,23.8353,23.7689,23.8309,23.806,23.7476,23.7733,23.8268,23.7511,23.6943,23.7667,23.7639,23.7469,23.7519,23.741,23.7402,23.709,23.741,23.7775,23.7501,23.7453,23.7575,23.7484,23.7704,23.7461,23.7741,23.7353,23.7329,23.7798,23.7886,23.766,23.6855
-42.8568,0.997681,0.33054,3,7,0,43.4948,0.37126,60.2745,-0.212538,0.37126,60.2745,-0.212538,3.24859e+07,1.36758e+06,57571.6,23.7941,23.7313,23.7532,23.7495,23.7482,23.7362,23.704,23.7341,23.7285,23.8339,23.7675,23.8295,23.8046,23.7461,23.7718,23.8252,23.7496,23.6927,23.7651,23.7624,23.7454,23.7505,23.7396,23.7388,23.7076,23.7397,23.7762,23.7489,23.7442,23.7566,23.7476,23.7698,23.7456,23.7739,23.7352,23.7332,23.7806,23.7898,23.7682,23.6887
-42.9632,0.835613,0.33054,2,7,0,44.3209,0.358376,67.2415,-0.219459,0.358376,67.2415,-0.219459,3.24709e+07,1.36726e+06,57571.6,23.7939,23.7309,23.7527,23.7489,23.7475,23.7353,23.703,23.7329,23.7271,23.8323,23.7657,23.8275,23.8024,23.7437,23.7692,23.8224,23.7465,23.6894,23.7615,23.7585,23.7411,23.7458,23.7346,23.7335,23.7019,23.7335,23.7696,23.7418,23.7366,23.7483,23.7388,23.7602,23.7353,23.7627,23.7232,23.7198,23.7659,23.7736,23.7494,23.6675
-42.615,0.903602,0.33054,4,15,0,44.2488,0.340559,67.6179,-0.132641,0.340559,67.6179,-0.132641,3.25512e+07,1.36895e+06,57571.6,23.8036,23.7422,23.7658,23.7634,23.7633,23.7525,23.7215,23.7526,23.7478,23.8541,23.7884,23.8513,23.8269,23.7693,23.7956,23.8496,23.7746,23.7183,23.7912,23.789,23.7724,23.7779,23.7674,23.7669,23.736,23.7683,23.805,23.7778,23.7731,23.7853,23.7761,23.7979,23.7731,23.8006,23.761,23.7571,23.8024,23.8088,23.7811,23.6946
-43.0138,0.996331,0.33054,2,7,0,44.6475,0.314736,73.3386,-0.110103,0.314736,73.3386,-0.110103,3.2552e+07,1.36896e+06,57571.6,23.8061,23.7451,23.769,23.7668,23.7669,23.7563,23.7254,23.7565,23.7518,23.8581,23.7925,23.8553,23.8309,23.7732,23.7994,23.8533,23.7781,23.7217,23.7944,23.792,23.7752,23.7803,23.7695,23.7687,23.7374,23.7691,23.8053,23.7775,23.7722,23.7835,23.7736,23.7944,23.7685,23.7945,23.7535,23.7473,23.7903,23.7938,23.7608,23.6685
