# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-27 14:52:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprao0mfyc/zvkp49al.json
# random
#   seed = 8918
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230727155215.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,zeta,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.139447
# Diagonal elements of inverse mass matrix:
# 0.01731, 0.0140057
-47.3719,0.999967,0.139447,3,7,0,47.4051,0.405365,-0.451093,0.405365,-0.451093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25844e+07,1.36965e+06,57571.6,23.8143,23.7544,23.7793,23.7778,23.7784,23.7683,23.7378,23.7692,23.7648,23.8713,23.8057,23.8687,23.8443,23.7866,23.8127,23.8666,23.7913,23.7347,23.8073,23.8046,23.7875,23.7925,23.7814,23.7803,23.7487,23.7802,23.816,23.7879,23.7824,23.7935,23.7834,23.8041,23.7783,23.8045,23.764,23.7591,23.8038,23.8102,23.7846,23.703
-47.5045,0.748954,0.139447,3,7,0,50.9202,0.395496,-0.40059,0.395496,-0.40059,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25965e+07,1.3699e+06,57571.6,23.8146,23.7548,23.7799,23.7785,23.7793,23.7694,23.7391,23.7707,23.7664,23.8731,23.8077,23.8709,23.8466,23.7892,23.8155,23.8696,23.7945,23.7381,23.8109,23.8085,23.7917,23.7969,23.7861,23.7852,23.7539,23.7856,23.8218,23.794,23.7887,23.8002,23.7903,23.8114,23.7858,23.8124,23.7721,23.7675,23.8124,23.8188,23.7927,23.71
-47.9848,0.91941,0.139447,2,7,0,48.8765,0.387294,-0.3616,0.387294,-0.3616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.26046e+07,1.37007e+06,57571.6,23.8149,23.7551,23.7803,23.779,23.78,23.7701,23.74,23.7717,23.7676,23.8743,23.8091,23.8724,23.8482,23.791,23.8174,23.8716,23.7967,23.7404,23.8134,23.8111,23.7945,23.7999,23.7893,23.7886,23.7574,23.7894,23.8257,23.7981,23.793,23.8047,23.795,23.8162,23.7909,23.8176,23.7775,23.773,23.8179,23.8242,23.7976,23.7139
-47.6751,1,0.139447,2,3,0,47.9645,0.384498,-0.372945,0.384498,-0.372945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25981e+07,1.36993e+06,57571.6,23.8147,23.7549,23.7801,23.7787,23.7796,23.7697,23.7394,23.7711,23.7668,23.8735,23.8082,23.8714,23.8472,23.7898,23.8161,23.8703,23.7952,23.7389,23.8117,23.8093,23.7926,23.7978,23.787,23.7862,23.7549,23.7866,23.8228,23.795,23.7897,23.8011,23.7912,23.8122,23.7866,23.813,23.7725,23.7675,23.812,23.8178,23.7904,23.7061
-47.9495,0.998771,0.139447,3,15,0,48.1276,0.368227,-0.341238,0.368227,-0.341238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25961e+07,1.36989e+06,57571.6,23.8148,23.755,23.7801,23.7788,23.7797,23.7697,23.7395,23.7712,23.7669,23.8736,23.8083,23.8715,23.8473,23.7899,23.8162,23.8703,23.7953,23.7389,23.8117,23.8093,23.7925,23.7977,23.7868,23.7859,23.7545,23.7862,23.8222,23.7943,23.7889,23.8001,23.79,23.8107,23.7848,23.8108,23.7699,23.7641,23.8078,23.8125,23.7829,23.696
-48.7407,0.87507,0.139447,2,7,0,49.9559,0.393868,-0.356399,0.393868,-0.356399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.26119e+07,1.37023e+06,57571.6,23.815,23.7553,23.7806,23.7794,23.7804,23.7706,23.7405,23.7724,23.7683,23.8752,23.81,23.8734,23.8493,23.7922,23.8187,23.873,23.7982,23.7421,23.8153,23.8131,23.7967,23.8021,23.7917,23.7912,23.7602,23.7924,23.8289,23.8016,23.7967,23.8087,23.7993,23.8208,23.7959,23.8231,23.7834,23.7795,23.825,23.8321,23.8068,23.7243
-47.8905,0.99106,0.139447,4,31,0,50.1724,0.486497,-0.63235,0.486497,-0.63235,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25588e+07,1.36911e+06,57571.6,23.8133,23.753,23.7775,23.7755,23.7757,23.7651,23.7341,23.7651,23.7601,23.8661,23.8001,23.8625,23.8377,23.7794,23.8051,23.8584,23.7825,23.7254,23.7974,23.7943,23.7767,23.7811,23.7694,23.7679,23.7358,23.7669,23.8023,23.7739,23.768,23.7789,23.7688,23.7895,23.764,23.7908,23.7512,23.7481,23.7952,23.8052,23.788,23.7171
-47.0594,0.979807,0.139447,3,11,0,48.364,0.46551,-0.554254,0.46551,-0.554254,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25824e+07,1.36961e+06,57571.6,23.814,23.7539,23.7787,23.777,23.7775,23.7673,23.7366,23.7679,23.7633,23.8697,23.804,23.8668,23.8423,23.7845,23.8105,23.8643,23.7889,23.7322,23.8047,23.802,23.7849,23.7898,23.7787,23.7776,23.7461,23.7777,23.8137,23.7859,23.7805,23.7921,23.7824,23.8038,23.7788,23.8062,23.767,23.7643,23.8116,23.8214,23.803,23.7298
-47.7329,0.957152,0.139447,4,23,0,48.0316,0.426107,-0.450555,0.426107,-0.450555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.26e+07,1.36997e+06,57571.6,23.8146,23.7547,23.7798,23.7784,23.7792,23.7692,23.7389,23.7705,23.7662,23.8729,23.8075,23.8707,23.8464,23.789,23.8153,23.8694,23.7943,23.738,23.8109,23.8085,23.7918,23.797,23.7863,23.7856,23.7544,23.7863,23.8227,23.7952,23.7901,23.802,23.7925,23.814,23.7891,23.8164,23.7769,23.7737,23.8201,23.8284,23.8063,23.7281
-47.3905,0.993562,0.139447,3,15,0,48.4333,0.400279,-0.434213,0.400279,-0.434213,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25872e+07,1.36971e+06,57571.6,23.8144,23.7545,23.7794,23.778,23.7787,23.7686,23.7381,23.7696,23.7652,23.8717,23.8063,23.8693,23.8449,23.7873,23.8134,23.8674,23.7921,23.7356,23.8082,23.8056,23.7886,23.7936,23.7826,23.7815,23.75,23.7815,23.8174,23.7894,23.7839,23.795,23.785,23.8057,23.7799,23.8062,23.7657,23.7607,23.8054,23.8116,23.7855,23.7032
