lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40
# Adaptation terminated
# Step size = 0.159276
# Diagonal elements of inverse mass matrix:
# 0.0200853, 0.0228183, 0.0149055, 9.05236e-05
-22.1693,0.634235,0.159276,4,15,0,25.6135,0.53386,84.1579,-0.69146,-1.22557,84.1579,0.53386,-0.69146,-1.22557,0.0141709,0.0197276,0.027005,0.0338373,0.0409546,0.0494432,0.0586921,0.0675054,0.0765349,0.0866914,0.095598,0.108554,0.116751,0.131454,0.141426,0.155779,0.170957,0.185471,0.203625,0.220113,0.241167,0.260957,0.286468,0.307447,0.335858,0.365613,0.400662,0.435607,0.473694,0.525617,0.573122,0.633717,0.704125,0.797932,0.891987,1.05495,1.22753,1.46503,1.999,2.7428,14.5314,15.2498,15.9317,16.4214,16.8359,17.245,17.6173,17.9211,18.1937,18.4643,18.6767,18.9527,19.1107,19.3683,19.5271,19.737,19.9389,20.1158,20.3186,20.4877,20.686,20.8573,21.0598,21.2133,21.4052,21.5895,21.7883,21.9699,22.1519,22.3778,22.5657,22.7839,23.0127,23.2843,23.5262,23.8906,24.2196,24.6037,25.2785,25.9654
-22.7409,0.97178,0.159276,4,15,0,25.2688,0.584551,78.4065,-0.71367,-1.20904,78.4065,0.584551,-0.71367,-1.20904,0.0141705,0.0197267,0.0270032,0.0338345,0.0409502,0.0494364,0.0586822,0.0674917,0.0765166,0.086667,0.0955673,0.108513,0.116701,0.131389,0.141348,0.155682,0.170836,0.185323,0.203439,0.21989,0.24089,0.260621,0.28605,0.306952,0.335248,0.364868,0.399739,0.434485,0.472332,0.52389,0.571023,0.63109,0.700813,0.793594,0.886499,1.04721,1.21707,1.45039,1.97355,2.70015,14.5479,15.2662,15.948,16.4378,16.8522,17.2612,17.6335,17.9372,18.2097,18.4802,18.6925,18.9684,19.1263,19.3838,19.5424,19.7521,19.9538,20.1306,20.3331,20.502,20.7,20.871,21.0732,21.2263,21.4178,21.6016,21.7998,21.9808,22.1622,22.3872,22.5742,22.7914,23.019,23.2889,23.5293,23.8911,24.2175,24.5984,25.2672,25.9479
-21.5251,0.999365,0.159276,3,7,0,23.201,0.545615,82.433,-0.667261,-1.21631,82.433,0.545615,-0.667261,-1.21631,0.0141684,0.0197227,0.026996,0.0338233,0.040934,0.0494134,0.0586504,0.0674506,0.0764649,0.0866022,0.0954902,0.108416,0.116592,0.131255,0.141197,0.155504,0.170629,0.185089,0.203168,0.219586,0.240542,0.260233,0.285609,0.30647,0.334711,0.364277,0.39909,0.433784,0.471583,0.523091,0.570195,0.630251,0.699999,0.792879,0.885957,1.04714,1.21774,1.45242,1.97983,2.71435,14.5403,15.2585,15.9402,16.4298,16.8441,17.2529,17.625,17.9286,18.201,18.4713,18.6835,18.9592,19.117,19.3743,19.5328,19.7424,19.944,20.1206,20.323,20.4917,20.6896,20.8605,21.0625,21.2156,21.407,21.5908,21.789,21.9701,22.1515,22.3766,22.5638,22.7813,23.0092,23.2797,23.5208,23.8837,24.2115,24.5941,25.2668,25.952
-21.5467,1,0.159276,4,31,0,22.7045,0.587977,74.5139,-0.716245,-1.21801,74.5139,0.587977,-0.716245,-1.21801,0.0141705,0.0197268,0.0270035,0.0338348,0.0409507,0.0494372,0.0586832,0.0674931,0.0765183,0.086669,0.0955696,0.108516,0.116705,0.131393,0.141353,0.155686,0.170841,0.185329,0.203445,0.219896,0.240896,0.260627,0.286055,0.306956,0.335251,0.364869,0.399736,0.434478,0.47232,0.523868,0.570989,0.631039,0.700739,0.793481,0.886341,1.04696,1.2167,1.44982,1.97244,2.69815,14.5389,15.2573,15.9391,16.4288,16.8433,17.2523,17.6246,17.9283,18.2008,18.4713,18.6836,18.9594,19.1174,19.3748,19.5335,19.7432,19.9449,20.1217,20.3242,20.4931,20.6911,20.8621,21.0642,21.2174,21.4088,21.5927,21.7909,21.9718,22.1532,22.3781,22.5651,22.7823,23.0098,23.2797,23.52,23.8816,24.2079,24.5886,25.257,25.9373
-20.8389,0.864856,0.159276,4,15,0,22.1687,0.551022,67.6846,-0.706833,-1.21838,67.6846,0.551022,-0.706833,-1.21838,0.0141714,0.0197284,0.0270066,0.0338397,0.040958,0.049448,0.0586986,0.0675138,0.0765452,0.0867042,0.0956129,0.108572,0.116771,0.131479,0.141453,0.15581,0.170992,0.185509,0.203666,0.220158,0.241215,0.261006,0.286519,0.307497,0.335905,0.365654,0.400692,0.435621,0.473685,0.525567,0.573025,0.633545,0.703845,0.797475,0.891315,1.05382,1.2258,1.46232,1.99354,2.73265,14.5387,15.2571,15.939,16.4288,16.8433,17.2524,17.6248,17.9286,18.2012,18.4718,18.6842,18.9602,19.1183,19.3759,19.5347,19.7446,19.9465,20.1234,20.3262,20.4953,20.6936,20.8649,21.0674,21.2208,21.4127,21.597,21.7957,21.9772,22.1591,22.3848,22.5725,22.7905,23.019,23.2902,23.5318,23.8955,24.2237,24.6068,25.2797,25.9645
-22.5631,0.89766,0.159276,4,15,0,22.9178,0.621467,77.9584,-0.74277,-1.21777,77.9584,0.621467,-0.74277,-1.21777,0.0141715,0.0197287,0.027007,0.0338402,0.0409583,0.049448,0.0586979,0.0675119,0.0765417,0.086698,0.0956037,0.108557,0.116752,0.131449,0.141415,0.155758,0.170922,0.185419,0.203546,0.220006,0.241015,0.260755,0.28619,0.307095,0.335391,0.365005,0.399861,0.434582,0.472391,0.523877,0.570924,0.630852,0.700373,0.792818,0.88531,1.04514,1.21385,1.44529,1.96319,2.6809,14.5393,15.2577,15.9396,16.4294,16.8439,17.253,17.6253,17.9291,18.2017,18.4723,18.6846,18.9605,19.1185,19.376,19.5347,19.7445,19.9462,20.123,20.3255,20.4944,20.6925,20.8634,21.0655,21.2186,21.41,21.5937,21.7918,21.9726,22.1537,22.3784,22.5651,22.7819,23.0089,23.2781,23.5177,23.8781,24.2031,24.582,25.247,25.9236
-20.8827,0.999944,0.159276,5,31,0,23.3714,0.404381,65.6314,-0.477914,-1.21291,65.6314,0.404381,-0.477914,-1.21291,0.0141642,0.0197147,0.0269813,0.0338007,0.0409019,0.049368,0.0585885,0.0673713,0.0763662,0.0864803,0.0953467,0.10824,0.116394,0.131018,0.140933,0.155201,0.170286,0.184708,0.202744,0.219124,0.240038,0.259695,0.285039,0.305883,0.334118,0.3637,0.398561,0.43334,0.471275,0.523043,0.570466,0.631044,0.701565,0.79575,0.890456,1.05519,1.2305,1.47311,2.02347,2.79852,14.5431,15.261,15.9424,16.4317,16.8458,17.2543,17.6262,17.9295,18.2016,18.4717,18.6836,18.959,19.1168,19.3738,19.5322,19.7416,19.943,20.1195,20.3218,20.4905,20.6885,20.8594,21.0616,21.2149,21.4066,21.5908,21.7896,21.9712,22.1535,22.3798,22.5682,22.7874,23.0174,23.291,23.5352,23.9037,24.2375,24.6283,25.3176,26.0217
-20.5434,0.999778,0.159276,4,15,0,21.0313,0.442099,76.8292,-0.524622,-1.20786,76.8292,0.442099,-0.524622,-1.20786,0.0141643,0.0197148,0.0269815,0.033801,0.0409022,0.0493681,0.0585882,0.0673705,0.0763645,0.0864773,0.0953421,0.108233,0.116385,0.131003,0.140914,0.155175,0.170251,0.184662,0.202682,0.219045,0.239935,0.259566,0.284869,0.305675,0.333852,0.363362,0.398127,0.432797,0.470597,0.522154,0.569356,0.629614,0.699709,0.79324,0.88719,1.05039,1.22379,1.46335,2.00533,2.76617,14.5481,15.2661,15.9475,16.4368,16.8509,17.2594,17.6312,17.9345,18.2066,18.4766,18.6886,18.9639,19.1216,19.3785,19.5369,19.7462,19.9476,20.124,20.3262,20.4948,20.6926,20.8634,21.0654,21.2184,21.4099,21.5938,21.7922,21.9736,22.1554,22.3811,22.5691,22.7875,23.0167,23.2892,23.5322,23.8989,24.2307,24.6189,25.3031,26.0015
-21.5407,0.981412,0.159276,4,15,0,21.7669,0.441214,78.3897,-0.537045,-1.21962,78.3897,0.441214,-0.537045,-1.21962,0.0141652,0.0197165,0.0269847,0.0338059,0.0409093,0.0493783,0.0586026,0.0673892,0.0763885,0.0865076,0.0953787,0.108279,0.116438,0.13107,0.140991,0.155267,0.17036,0.184789,0.202833,0.219219,0.24014,0.259802,0.285148,0.305991,0.33422,0.363789,0.398628,0.433374,0.471261,0.522944,0.570266,0.630684,0.700973,0.794774,0.889006,1.05272,1.22667,1.46701,2.01076,2.77404,14.5365,15.2545,15.936,16.4253,16.8395,17.2481,17.62,17.9233,18.1955,18.4656,18.6776,18.9531,19.1109,19.3679,19.5263,19.7358,19.9372,20.1138,20.3161,20.4848,20.6827,20.8536,21.0557,21.2089,21.4005,21.5846,21.7832,21.9647,22.1467,22.3727,22.5608,22.7794,23.0089,23.2816,23.5249,23.8919,24.224,24.6125,25.2972,25.9959
-22.8511,0.911975,0.159276,4,31,0,24.806,0.37162,72.4142,-0.315379,-1.19254,72.4142,0.37162,-0.315379,-1.19254,0.0141578,0.0197024,0.0269586,0.0337655,0.0408509,0.0492946,0.0584865,0.0672381,0.0761974,0.0862668,0.0950904,0.107916,0.116023,0.130557,0.140407,0.154575,0.169547,0.183854,0.201737,0.217972,0.23869,0.258155,0.283238,0.303859,0.33178,0.361019,0.395463,0.429813,0.467267,0.518364,0.56516,0.624929,0.694501,0.787427,0.880887,1.04354,1.21679,1.45688,2.00291,2.77486,14.5624,15.2801,15.9609,16.4498,16.8635,17.2715,17.6427,17.9455,18.2172,18.4867,18.6981,18.9729,19.1302,19.3865,19.5444,19.7532,19.9539,20.1298,20.3314,20.4995,20.6966,20.8669,21.0682,21.2208,21.4117,21.5951,21.793,21.9739,22.1553,22.3806,22.5683,22.7866,23.0158,23.2885,23.5321,23.9,24.2335,24.6246,25.3158,26.0237
