# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-27 14:52:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprao0mfyc/zvkp49al.json
# random
#   seed = 8918
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230727155215.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,zeta,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.144665
# Diagonal elements of inverse mass matrix:
# 0.0214992, 0.0247252
-47.1017,0.99864,0.144665,3,15,0,47.511,0.445641,-0.539398,0.445641,-0.539398,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25761e+07,1.36947e+06,57571.6,23.8139,23.7538,23.7786,23.7769,23.7774,23.767,23.7364,23.7676,23.763,23.8693,23.8036,23.8663,23.8418,23.7838,23.8098,23.8635,23.788,23.7312,23.8036,23.8008,23.7835,23.7883,23.777,23.7758,23.7441,23.7755,23.8112,23.7831,23.7775,23.7887,23.7787,23.7996,23.774,23.8008,23.7608,23.7571,23.8032,23.8116,23.7905,23.7144
-47.563,0.853094,0.144665,1,3,0,48.0216,0.454514,-0.512317,0.454514,-0.512317,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25939e+07,1.36985e+06,57571.6,23.8143,23.7544,23.7793,23.7778,23.7784,23.7683,23.7379,23.7693,23.7649,23.8714,23.8059,23.8689,23.8446,23.787,23.8132,23.8671,23.792,23.7355,23.8082,23.8057,23.7889,23.794,23.7832,23.7824,23.7511,23.7829,23.8192,23.7916,23.7866,23.7984,23.789,23.8107,23.7859,23.8136,23.7745,23.7721,23.8193,23.8291,23.81,23.7356
-47.4087,0.806633,0.144665,2,3,0,49.4884,0.455565,-0.57102,0.455565,-0.57102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25686e+07,1.36931e+06,57571.6,23.8137,23.7535,23.7781,23.7764,23.7768,23.7663,23.7355,23.7666,23.7619,23.8681,23.8022,23.8648,23.8402,23.7821,23.808,23.8615,23.7859,23.729,23.8012,23.7982,23.7808,23.7854,23.774,23.7726,23.7407,23.7719,23.8075,23.7792,23.7735,23.7845,23.7743,23.7951,23.7694,23.796,23.756,23.7523,23.7985,23.8071,23.7868,23.7118
-47.2846,0.952355,0.144665,2,7,0,47.9868,0.478611,-0.568637,0.478611,-0.568637,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25841e+07,1.36964e+06,57571.6,23.814,23.7539,23.7786,23.777,23.7775,23.7672,23.7366,23.7678,23.7633,23.8696,23.8039,23.8667,23.8423,23.7844,23.8105,23.8642,23.7889,23.7322,23.8047,23.802,23.785,23.7899,23.7789,23.7779,23.7464,23.7781,23.8142,23.7865,23.7813,23.793,23.7835,23.8051,23.7803,23.8081,23.7692,23.7672,23.815,23.8257,23.8089,23.7374
-47.0854,0.967627,0.144665,2,3,0,47.5151,0.477668,-0.579012,0.477668,-0.579012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25787e+07,1.36953e+06,57571.6,23.8138,23.7537,23.7784,23.7767,23.7772,23.7668,23.7361,23.7673,23.7627,23.8689,23.8032,23.8659,23.8413,23.7834,23.8094,23.8631,23.7876,23.7308,23.8032,23.8005,23.7833,23.7881,23.777,23.7758,23.7442,23.7758,23.8117,23.7838,23.7785,23.79,23.7803,23.8017,23.7768,23.8043,23.7651,23.7628,23.8104,23.8208,23.8036,23.7319
-47.3785,0.99992,0.144665,4,23,0,47.7305,0.39867,-0.423102,0.39867,-0.423102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25903e+07,1.36977e+06,57571.6,23.8145,23.7546,23.7796,23.7781,23.7789,23.7688,23.7385,23.77,23.7656,23.8722,23.8067,23.8698,23.8455,23.7879,23.8141,23.8681,23.7929,23.7364,23.8091,23.8065,23.7896,23.7947,23.7837,23.7827,23.7513,23.7829,23.8189,23.7909,23.7855,23.7967,23.7868,23.8076,23.7819,23.8083,23.7678,23.763,23.8077,23.814,23.7879,23.7054
