# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-27 14:52:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprao0mfyc/zvkp49al.json
# random
#   seed = 8918
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230727155215.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,zeta,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.15157
# Diagonal elements of inverse mass matrix:
# 0.0254824, 0.021512
-48.3876,0.976139,0.15157,2,3,0,48.6272,0.386858,-0.433486,0.386858,-0.433486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25772e+07,1.3695e+06,57571.6,23.8142,23.7543,23.7791,23.7776,23.7782,23.768,23.7375,23.7688,23.7643,23.8707,23.8051,23.868,23.8435,23.7858,23.8118,23.8656,23.7902,23.7335,23.8059,23.8031,23.7859,23.7907,23.7794,23.7782,23.7463,23.7776,23.8131,23.7848,23.7789,23.7896,23.7791,23.7994,23.773,23.7985,23.7573,23.7513,23.7948,23.7998,23.7713,23.6866
-48.6448,1,0.15157,2,7,0,48.9706,0.389005,-0.347018,0.389005,-0.347018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.26114e+07,1.37021e+06,57571.6,23.815,23.7554,23.7806,23.7794,23.7804,23.7706,23.7406,23.7724,23.7683,23.8752,23.81,23.8735,23.8494,23.7922,23.8187,23.8731,23.7983,23.7421,23.8153,23.8131,23.7967,23.8021,23.7917,23.7911,23.7602,23.7923,23.8288,23.8014,23.7965,23.8084,23.799,23.8205,23.7954,23.8225,23.7826,23.7786,23.8238,23.8306,23.8046,23.7215
-48.9905,0.987702,0.15157,2,7,0,49.6326,0.357515,-0.351501,0.357515,-0.351501,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25834e+07,1.36963e+06,57571.6,23.8145,23.7546,23.7796,23.7782,23.779,23.7689,23.7385,23.77,23.7657,23.8722,23.8067,23.8698,23.8454,23.7878,23.8139,23.8679,23.7926,23.736,23.8086,23.8059,23.7889,23.7938,23.7826,23.7814,23.7497,23.781,23.8167,23.7884,23.7825,23.7932,23.7826,23.8027,23.7762,23.8014,23.7597,23.7528,23.7953,23.7988,23.7669,23.6778
-47.7183,0.964775,0.15157,4,23,0,49.5062,0.463032,-0.525188,0.463032,-0.525188,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25939e+07,1.36985e+06,57571.6,23.8143,23.7543,23.7792,23.7777,23.7783,23.7682,23.7377,23.7692,23.7647,23.8712,23.8057,23.8687,23.8444,23.7868,23.8129,23.8669,23.7917,23.7352,23.8079,23.8054,23.7886,23.7937,23.7829,23.7821,23.7508,23.7827,23.819,23.7915,23.7865,23.7984,23.7891,23.8108,23.7862,23.8141,23.7752,23.773,23.8207,23.8309,23.8128,23.7395
-48.815,0.999997,0.15157,4,19,0,49.9504,0.349857,-0.315102,0.349857,-0.315102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25893e+07,1.36975e+06,57571.6,23.8147,23.7549,23.78,23.7786,23.7794,23.7695,23.7392,23.7708,23.7665,23.8732,23.8078,23.8709,23.8466,23.7891,23.8154,23.8694,23.7943,23.7378,23.8105,23.8079,23.791,23.796,23.785,23.784,23.7524,23.7838,23.8196,23.7914,23.7857,23.7965,23.7861,23.8063,23.7798,23.8051,23.7635,23.7566,23.7991,23.8024,23.7699,23.6798
-47.4914,0.826035,0.15157,3,15,0,54.608,0.422915,-0.451434,0.422915,-0.451434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25973e+07,1.36992e+06,57571.6,23.8145,23.7547,23.7797,23.7783,23.7791,23.769,23.7387,23.7703,23.766,23.8726,23.8072,23.8703,23.846,23.7886,23.8148,23.8689,23.7938,23.7374,23.8102,23.8078,23.791,23.7962,23.7855,23.7847,23.7534,23.7853,23.8215,23.7939,23.7888,23.8005,23.7909,23.8123,23.7872,23.8144,23.7747,23.7712,23.8173,23.8254,23.8027,23.724
