# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-19 09:58:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpvemhtge4/l7m1rgs5.json
# random
#   seed = 99854
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230719105841.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.255099
# Diagonal elements of inverse mass matrix:
# 0.00591073, 0.0198183, 0.00296802
-42.8827,0.999953,0.255099,4,15,0,44.7572,0.344426,60.259,-0.186382,0.344426,60.259,-0.186382,3.24983e+07,1.36784e+06,57571.6,23.7979,23.7356,23.7581,23.7548,23.754,23.7423,23.7104,23.7407,23.7353,23.8409,23.7747,23.8368,23.8119,23.7536,23.7793,23.8328,23.7571,23.7002,23.7725,23.7697,23.7526,23.7575,23.7464,23.7453,23.7139,23.7455,23.7817,23.7539,23.7487,23.7603,23.7506,23.7719,23.7467,23.7736,23.7336,23.7294,23.7745,23.7809,23.7538,23.6687
-42.3191,0.994054,0.255099,4,15,0,44.1501,0.346219,80.1372,-0.18075,0.346219,80.1372,-0.18075,3.25054e+07,1.36799e+06,57571.6,23.7985,23.7363,23.7589,23.7557,23.7549,23.7433,23.7116,23.742,23.7367,23.8423,23.7762,23.8384,23.8136,23.7554,23.7812,23.8347,23.7591,23.7024,23.7748,23.7721,23.755,23.76,23.749,23.7481,23.7168,23.7486,23.7848,23.7572,23.7521,23.7638,23.7543,23.7757,23.7507,23.7778,23.738,23.734,23.7794,23.786,23.7594,23.6745
-44.2346,0.882136,0.255099,4,15,0,44.8898,0.323753,64.75,-0.0843704,0.323753,64.75,-0.0843704,3.25845e+07,1.36965e+06,57571.6,23.8085,23.748,23.7724,23.7707,23.7712,23.761,23.7306,23.7621,23.7578,23.8645,23.7993,23.8626,23.8385,23.7813,23.8078,23.8622,23.7874,23.7314,23.8046,23.8026,23.7863,23.7919,23.7817,23.7813,23.7505,23.7828,23.8196,23.7924,23.7877,23.7998,23.7905,23.812,23.787,23.8139,23.7738,23.7689,23.8131,23.8179,23.7869,23.6965
-41.9948,0.997213,0.255099,3,11,0,44.812,0.364509,72.5564,-0.196317,0.364509,72.5564,-0.196317,3.25002e+07,1.36788e+06,57571.6,23.7962,23.7337,23.756,23.7525,23.7515,23.7398,23.7079,23.7382,23.7327,23.8383,23.7721,23.8343,23.8095,23.7512,23.777,23.8306,23.7551,23.6983,23.7709,23.7682,23.7513,23.7565,23.7457,23.745,23.7139,23.7459,23.7825,23.7553,23.7505,23.7629,23.7538,23.7759,23.7516,23.7797,23.7408,23.7384,23.7853,23.7939,23.7709,23.6899
-41.8796,0.991173,0.255099,3,7,0,42.1001,0.359898,70.4273,-0.194825,0.359898,70.4273,-0.194825,3.2499e+07,1.36785e+06,57571.6,23.7965,23.734,23.7564,23.7529,23.752,23.7402,23.7083,23.7386,23.7332,23.8387,23.7725,23.8347,23.8098,23.7515,23.7773,23.8309,23.7553,23.6985,23.771,23.7683,23.7513,23.7564,23.7456,23.7447,23.7136,23.7455,23.782,23.7546,23.7498,23.7619,23.7527,23.7746,23.7501,23.7779,23.7388,23.7359,23.7824,23.7905,23.7666,23.6847
-43.8723,0.733118,0.255099,2,7,0,46.7643,0.355547,75.2313,-0.226568,0.355547,75.2313,-0.226568,3.24615e+07,1.36706e+06,57571.6,23.7932,23.7302,23.7518,23.7478,23.7463,23.734,23.7015,23.7313,23.7254,23.8305,23.7638,23.8254,23.8003,23.7414,23.7669,23.8199,23.7438,23.6866,23.7586,23.7554,23.7379,23.7425,23.7311,23.7298,23.6981,23.7295,23.7654,23.7375,23.7321,23.7436,23.7338,23.7551,23.7299,23.7569,23.7172,23.7135,23.7592,23.7666,23.7417,23.6593
