# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-19 12:50:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpb1__lxuo/bjmm3b8a.json
# random
#   seed = 91110
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230719135016.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.358449
# Diagonal elements of inverse mass matrix:
# 0.0035504, 0.0192652, 0.00194262
-43.0731,0.970971,0.358449,1,1,0,43.3024,0.361906,65.6064,-0.165677,0.361906,65.6064,-0.165677,3.25322e+07,1.36855e+06,57571.6,23.7996,23.7377,23.7607,23.7578,23.7573,23.746,23.7146,23.7454,23.7404,23.8464,23.7805,23.8432,23.8186,23.7608,23.7869,23.8409,23.7657,23.7093,23.7823,23.78,23.7634,23.7689,23.7585,23.7581,23.7273,23.7597,23.7967,23.7697,23.7653,23.778,23.7692,23.7916,23.7675,23.7959,23.7572,23.755,23.8019,23.8105,23.787,23.7051
-43.0863,0.778671,0.358449,1,3,0,45.8513,0.348156,63.2377,-0.202229,0.348156,63.2377,-0.202229,3.24838e+07,1.36753e+06,57571.6,23.7961,23.7335,23.7557,23.7522,23.751,23.7391,23.707,23.7371,23.7315,23.8369,23.7705,23.8324,23.8074,23.7489,23.7745,23.8278,23.7519,23.6949,23.7671,23.7642,23.7469,23.7516,23.7404,23.7393,23.7077,23.7392,23.7753,23.7474,23.7421,23.7536,23.7439,23.7651,23.7399,23.7668,23.7269,23.7228,23.7681,23.7748,23.7485,23.6643
-43.9565,0.832665,0.358449,1,1,0,44.0971,0.344115,62.2036,-0.205288,0.344115,62.2036,-0.205288,3.24781e+07,1.36741e+06,57571.6,23.796,23.7333,23.7555,23.7518,23.7506,23.7387,23.7065,23.7365,23.7309,23.8361,23.7697,23.8315,23.8065,23.7479,23.7734,23.8266,23.7506,23.6936,23.7656,23.7626,23.7451,23.7498,23.7384,23.7372,23.7055,23.7369,23.7727,23.7447,23.7392,23.7506,23.7407,23.7617,23.7362,23.7628,23.7226,23.718,23.7629,23.7691,23.742,23.6569
-42.4836,0.998534,0.358449,2,7,0,44.5353,0.357105,71.8853,-0.163021,0.357105,71.8853,-0.163021,3.25318e+07,1.36854e+06,57571.6,23.8,23.7382,23.7612,23.7583,23.7578,23.7466,23.7152,23.746,23.741,23.847,23.7811,23.8437,23.8192,23.7614,23.7875,23.8414,23.7662,23.7098,23.7826,23.7803,23.7637,23.7691,23.7587,23.7581,23.7273,23.7596,23.7965,23.7694,23.7648,23.7773,23.7684,23.7906,23.7663,23.7944,23.7555,23.7529,23.7994,23.8074,23.783,23.7001
-42.3768,0.877239,0.358449,3,11,0,44.0126,0.335522,78.745,-0.138029,0.335522,78.745,-0.138029,3.25418e+07,1.36875e+06,57571.6,23.8031,23.7417,23.7652,23.7626,23.7624,23.7515,23.7203,23.7513,23.7465,23.8526,23.7868,23.8496,23.8251,23.7674,23.7935,23.8474,23.7722,23.7158,23.7886,23.7861,23.7694,23.7747,23.7641,23.7634,23.7323,23.7644,23.8008,23.7734,23.7684,23.7804,23.7709,23.7924,23.7673,23.7943,23.7544,23.7499,23.7947,23.8004,23.7717,23.6842
-43.6299,0.752765,0.358449,4,15,0,46.613,0.312533,61.6548,-0.102979,0.312533,61.6548,-0.102979,3.25567e+07,1.36907e+06,57571.6,23.8068,23.7459,23.77,23.7678,23.768,23.7574,23.7266,23.7578,23.7532,23.8596,23.794,23.8569,23.8325,23.7749,23.8011,23.8551,23.78,23.7235,23.7963,23.7939,23.7771,23.7823,23.7715,23.7707,23.7394,23.7712,23.8074,23.7796,23.7743,23.7857,23.7757,23.7965,23.7706,23.7965,23.7554,23.7491,23.792,23.7953,23.7617,23.6689
-44.9169,0.98338,0.358449,3,15,0,45.8631,0.299008,70.3846,-0.0429451,0.299008,70.3846,-0.0429451,3.25982e+07,1.36994e+06,57571.6,23.8122,23.7523,23.7773,23.7759,23.7768,23.7669,23.7368,23.7686,23.7646,23.8715,23.8063,23.8698,23.8458,23.7887,23.8152,23.8697,23.795,23.7389,23.8121,23.81,23.7936,23.7991,23.7887,23.7881,23.7572,23.7892,23.8256,23.798,23.7929,23.8044,23.7945,23.8153,23.7893,23.8151,23.7738,23.7669,23.809,23.8111,23.7749,23.6787
-45.6844,0.802699,0.358449,3,7,0,48.1489,0.289438,64.9774,-0.0590998,0.289438,64.9774,-0.0590998,3.25742e+07,1.36943e+06,57571.6,23.8107,23.7505,23.7751,23.7734,23.774,23.7639,23.7334,23.7649,23.7606,23.8672,23.8018,23.8649,23.8406,23.7832,23.8095,23.8636,23.7885,23.7322,23.805,23.8025,23.7857,23.7909,23.78,23.7791,23.7476,23.7792,23.8151,23.787,23.7813,23.7922,23.7817,23.8018,23.7751,23.8,23.7578,23.7497,23.7906,23.7914,23.7529,23.6545
-44.0028,0.852756,0.358449,2,3,0,47.3274,0.305125,73.5288,-0.068269,0.305125,73.5288,-0.068269,3.25818e+07,1.36959e+06,57571.6,23.81,23.7497,23.7743,23.7726,23.7732,23.7631,23.7327,23.7642,23.76,23.8666,23.8013,23.8646,23.8404,23.7831,23.8095,23.8638,23.7889,23.7327,23.8058,23.8035,23.787,23.7924,23.7819,23.7812,23.7501,23.7821,23.8184,23.7908,23.7855,23.797,23.7871,23.8079,23.782,23.8079,23.7667,23.7601,23.8026,23.8053,23.7703,23.6756
-44.0911,0.967018,0.358449,3,7,0,44.3722,0.310421,73.502,-0.0671659,0.310421,73.502,-0.0671659,3.2588e+07,1.36972e+06,57571.6,23.8101,23.7498,23.7745,23.7729,23.7735,23.7635,23.7331,23.7648,23.7606,23.8673,23.8021,23.8655,23.8413,23.7842,23.8106,23.865,23.7902,23.7341,23.8073,23.8052,23.7888,23.7943,23.7839,23.7834,23.7525,23.7846,23.8211,23.7937,23.7886,23.8004,23.7907,23.8118,23.7862,23.8125,23.7717,23.7657,23.8087,23.812,23.7782,23.6847
