# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-19 09:58:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpvemhtge4/l7m1rgs5.json
# random
#   seed = 99854
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230719105841.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.322244
# Diagonal elements of inverse mass matrix:
# 0.00372646, 0.022098, 0.00215917
-42.9417,0.966992,0.322244,2,3,0,42.9564,0.347037,58.337,-0.15374,0.347037,58.337,-0.15374,3.25344e+07,1.3686e+06,57571.6,23.8013,23.7396,23.7628,23.76,23.7596,23.7485,23.7172,23.748,23.7431,23.8491,23.7833,23.8459,23.8214,23.7636,23.7896,23.8435,23.7683,23.7119,23.7847,23.7823,23.7656,23.7709,23.7604,23.7598,23.7288,23.7609,23.7976,23.7703,23.7656,23.7778,23.7686,23.7904,23.7657,23.7933,23.7539,23.7504,23.796,23.803,23.7766,23.6916
-46.4905,0.992345,0.322244,3,7,0,46.6103,0.301104,89.0976,-0.0440412,0.301104,89.0976,-0.0440412,3.25994e+07,1.36996e+06,57571.6,23.8122,23.7522,23.7772,23.7758,23.7767,23.7669,23.7368,23.7686,23.7645,23.8714,23.8063,23.8698,23.8458,23.7888,23.8153,23.8698,23.7951,23.7391,23.8123,23.8102,23.7939,23.7994,23.789,23.7885,23.7576,23.7897,23.8261,23.7986,23.7935,23.8051,23.7953,23.8162,23.7904,23.8162,23.775,23.7684,23.8107,23.8131,23.7774,23.6816
-46.063,0.907057,0.322244,2,3,0,48.223,0.299758,89.6224,-0.0595924,0.299758,89.6224,-0.0595924,3.25842e+07,1.36964e+06,57571.6,23.8108,23.7505,23.7752,23.7737,23.7743,23.7643,23.7339,23.7655,23.7613,23.868,23.8027,23.866,23.8419,23.7846,23.811,23.8653,23.7904,23.7342,23.8072,23.805,23.7884,23.7938,23.7832,23.7825,23.7513,23.7832,23.8195,23.7917,23.7864,23.7978,23.7877,23.8084,23.7823,23.8079,23.7664,23.7594,23.8014,23.8035,23.7674,23.6714
-43.3178,0.886924,0.322244,3,7,0,48.5516,0.321524,82.7894,-0.131844,0.321524,82.7894,-0.131844,3.25368e+07,1.36865e+06,57571.6,23.8039,23.7426,23.7662,23.7636,23.7635,23.7525,23.7214,23.7523,23.7474,23.8535,23.7877,23.8503,23.8258,23.7679,23.794,23.8478,23.7724,23.7158,23.7885,23.7859,23.769,23.774,23.7631,23.7622,23.7308,23.7625,23.7986,23.7708,23.7655,23.7769,23.7669,23.7878,23.762,23.7882,23.7474,23.7416,23.7851,23.7892,23.7575,23.6669
-42.3493,0.89174,0.322244,3,15,0,45.6297,0.353227,81.0557,-0.190323,0.353227,81.0557,-0.190323,3.24998e+07,1.36787e+06,57571.6,23.7972,23.7348,23.7573,23.7539,23.753,23.7413,23.7094,23.7397,23.7343,23.8399,23.7737,23.8358,23.811,23.7527,23.7785,23.832,23.7564,23.6996,23.772,23.7693,23.7522,23.7572,23.7463,23.7454,23.7141,23.746,23.7823,23.7548,23.7498,23.7617,23.7523,23.7739,23.7491,23.7766,23.7371,23.7337,23.7796,23.787,23.7617,23.6784
-45.1454,0.675012,0.322244,2,7,0,48.1351,0.351456,65.9523,-0.23135,0.351456,65.9523,-0.23135,3.24541e+07,1.36691e+06,57571.6,23.7929,23.7298,23.7513,23.7473,23.7457,23.7333,23.7007,23.7304,23.7244,23.8293,23.7626,23.8241,23.7989,23.7399,23.7653,23.8182,23.742,23.6847,23.7565,23.7532,23.7356,23.74,23.7285,23.7271,23.6952,23.7264,23.7621,23.734,23.7284,23.7396,23.7297,23.7507,23.7252,23.7519,23.7119,23.7077,23.753,23.7598,23.7341,23.6509
