lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,zeta,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.133502
# Diagonal elements of inverse mass matrix:
-47.332,0.996162,0.133502,3,15,0,47.7042,0.41415,-0.441718,0.41415,-0.441718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25947e+07,1.36986e+06,57571.6,23.8145,23.7546,23.7796,23.7782,23.779,23.769,23.7386,23.7702,23.7658,23.8724,23.807,23.8701,23.8458,23.7883,23.8145,23.8686,23.7935,23.737,23.8098,23.8073,23.7905,23.7957,23.7848,23.7839,23.7526,23.7844,23.8205,23.7928,23.7875,23.7991,23.7894,23.8106,23.7852,23.8121,23.7722,23.7682,23.8138,23.8212,23.7974,23.7173
-48.1047,0.96134,0.133502,4,25,0,49.5516,0.369613,-0.364654,0.369613,-0.364654,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25889e+07,1.36974e+06,57571.6,23.8146,23.7547,23.7798,23.7784,23.7792,23.7692,23.7388,23.7704,23.7661,23.8727,23.8072,23.8703,23.846,23.7885,23.8147,23.8687,23.7935,23.737,23.8097,23.8071,23.7902,23.7952,23.7842,23.7831,23.7516,23.7831,23.8189,23.7908,23.7851,23.7961,23.7858,23.8063,23.7801,23.8058,23.7646,23.7585,23.8019,23.8064,23.7765,23.6895
-49.0231,0.925391,0.133502,2,7,0,49.6086,0.357174,-0.351143,0.357174,-0.351143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25832e+07,1.36962e+06,57571.6,23.8145,23.7546,23.7796,23.7782,23.779,23.7689,23.7385,23.77,23.7657,23.8722,23.8067,23.8697,23.8454,23.7878,23.8139,23.8678,23.7926,23.736,23.8086,23.8059,23.7888,23.7937,23.7826,23.7814,23.7497,23.781,23.8166,23.7883,23.7824,23.7931,23.7825,23.8026,23.7761,23.8012,23.7596,23.7526,23.7951,23.7985,23.7666,23.6774
-47.8632,0.962874,0.133502,2,7,0,50.2226,0.372395,-0.346878,0.372395,-0.346878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25976e+07,1.36992e+06,57571.6,23.8148,23.755,23.7801,23.7788,23.7797,23.7698,23.7396,23.7712,23.767,23.8737,23.8084,23.8717,23.8474,23.7901,23.8164,23.8705,23.7955,23.7391,23.812,23.8096,23.7928,23.798,23.7872,23.7864,23.755,23.7867,23.8228,23.795,23.7896,23.8009,23.7909,23.8117,23.7859,23.812,23.7713,23.7658,23.8097,23.8147,23.7858,23.6996
-47.8532,0.999962,0.133502,2,3,0,47.8652,0.372786,-0.348402,0.372786,-0.348402,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25974e+07,1.36992e+06,57571.6,23.8148,23.755,23.7801,23.7788,23.7797,23.7698,23.7395,23.7712,23.767,23.8737,23.8084,23.8716,23.8474,23.79,23.8163,23.8705,23.7954,23.7391,23.8119,23.8095,23.7928,23.7979,23.7871,23.7863,23.7549,23.7866,23.8227,23.7949,23.7895,23.8008,23.7908,23.8116,23.7858,23.8119,23.7711,23.7656,23.8096,23.8146,23.7857,23.6996
-47.7368,0.983923,0.133502,2,7,0,48.1048,0.379022,-0.37695,0.379022,-0.37695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25921e+07,1.36981e+06,57571.6,23.8146,23.7548,23.7798,23.7785,23.7793,23.7693,23.739,23.7705,23.7663,23.8729,23.8075,23.8706,23.8463,23.7888,23.8151,23.8691,23.794,23.7375,23.8103,23.8078,23.7909,23.796,23.785,23.7841,23.7526,23.7842,23.8202,23.7922,23.7867,23.7979,23.7878,23.8084,23.7825,23.8086,23.7677,23.7622,23.8061,23.8113,23.7829,23.6975
-47.0241,0.990957,0.133502,4,25,0,48.2558,0.436158,-0.50512,0.436158,-0.50512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25844e+07,1.36965e+06,57571.6,23.8142,23.7542,23.779,23.7774,23.778,23.7678,23.7373,23.7687,23.7642,23.8706,23.805,23.8679,23.8434,23.7857,23.8118,23.8656,23.7903,23.7337,23.8062,23.8035,23.7865,23.7914,23.7804,23.7793,23.7478,23.7793,23.8153,23.7874,23.7819,23.7933,23.7835,23.8046,23.7792,23.8061,23.7663,23.7626,23.8087,23.8169,23.7951,23.7179
-47.0361,0.999702,0.133502,4,23,0,47.0869,0.434475,-0.500077,0.434475,-0.500077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25854e+07,1.36967e+06,57571.6,23.8142,23.7542,23.7791,23.7775,23.7781,23.7679,23.7374,23.7688,23.7643,23.8707,23.8052,23.8681,23.8437,23.7859,23.812,23.8659,23.7906,23.734,23.8065,23.8039,23.7869,23.7918,23.7808,23.7797,23.7482,23.7798,23.8158,23.7879,23.7825,23.7939,23.784,23.8051,23.7798,23.8067,23.7668,23.7631,23.8092,23.8174,23.7954,23.718
-47.1954,0.9244,0.133502,3,11,0,47.8089,0.427004,-0.47243,0.427004,-0.47243,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25916e+07,1.3698e+06,57571.6,23.8144,23.7545,23.7794,23.7779,23.7786,23.7685,23.7381,23.7696,23.7652,23.8717,23.8063,23.8693,23.8449,23.7874,23.8135,23.8675,23.7923,23.7358,23.8085,23.806,23.7891,23.7942,23.7833,23.7824,23.751,23.7827,23.8188,23.7911,23.7858,23.7973,23.7876,23.8089,23.7836,23.8107,23.7709,23.7672,23.8133,23.8213,23.7988,23.7205
-48.0588,0.995308,0.133502,4,27,0,48.4655,0.374942,-0.333856,0.374942,-0.333856,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.26044e+07,1.37007e+06,57571.6,23.8149,23.7552,23.7804,23.7792,23.7801,23.7703,23.7402,23.7719,23.7678,23.8746,23.8093,23.8727,23.8485,23.7913,23.8177,23.872,23.797,23.7408,23.8138,23.8115,23.7949,23.8002,23.7896,23.7889,23.7577,23.7896,23.8259,23.7983,23.7931,23.8046,23.7949,23.8159,23.7904,23.8169,23.7765,23.7715,23.8158,23.8214,23.7932,23.7077
