lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40
# Adaptation terminated
# Step size = 0.11322
# Diagonal elements of inverse mass matrix:
# 0.008341, 0.0167772, 0.00440684, 0.000387792
-26.5481,0.998933,0.11322,4,31,0,27.0098,0.331972,69.8751,-0.088828,23.7922,0.331972,69.8751,-0.088828,23.7922,0.0142035,0.019774,0.027067,0.0339105,0.0410351,0.0495266,0.058771,0.0675724,0.0765821,0.0867072,0.0955784,0.108471,0.116619,0.131223,0.141118,0.155347,0.170379,0.184739,0.202683,0.218967,0.23974,0.259249,0.284378,0.305028,0.332979,0.362236,0.396686,0.431027,0.468457,0.519501,0.566232,0.625897,0.695332,0.788056,0.881309,1.04363,1.21661,1.45653,2.0033,2.77897,14.5542,15.2727,15.9544,16.4439,16.858,17.2664,17.638,17.941,18.2128,18.4825,18.694,18.9687,19.126,19.3822,19.5401,19.7487,19.9493,20.125,20.3263,20.4941,20.6909,20.8608,21.0617,21.2139,21.4043,21.5871,21.7844,21.9647,22.1455,22.3701,22.5572,22.7747,23.0031,23.275,23.5178,23.8849,24.2179,24.6088,25.3009,26.0116
-25.8072,0.986978,0.11322,4,15,0,26.7784,0.3128,72.2742,-0.0961248,23.7812,0.3128,72.2742,-0.0961248,23.7812,0.0142075,0.0197814,0.0270804,0.0339309,0.0410643,0.0495682,0.0588284,0.0676471,0.0766766,0.0868266,0.0957218,0.108652,0.116827,0.131483,0.141415,0.155703,0.170801,0.185229,0.203265,0.219637,0.240531,0.260162,0.285458,0.306255,0.334415,0.363906,0.398649,0.4333,0.471089,0.522654,0.56989,0.630241,0.700524,0.794458,0.889008,1.05375,1.22952,1.47357,2.03063,2.82216,14.5438,15.2625,15.9445,16.4342,16.8485,17.2572,17.6291,17.9324,18.2045,18.4744,18.6862,18.9614,19.1189,19.3755,19.5337,19.7427,19.9436,20.1197,20.3215,20.4897,20.687,20.8574,21.0589,21.2116,21.4026,21.5861,21.7841,21.9651,22.1467,22.3723,22.5601,22.7787,23.0083,23.2815,23.5257,23.8949,24.2299,24.623,25.3193,26.0341
-25.7739,0.981536,0.11322,4,15,0,26.092,0.315361,71.9773,-0.109434,23.7812,0.315361,71.9773,-0.109434,23.7812,0.0142158,0.0197949,0.0271017,0.0339604,0.0411033,0.0496193,0.0588936,0.0677266,0.0767714,0.0869395,0.0958511,0.108806,0.116998,0.131683,0.141636,0.155954,0.171085,0.185546,0.203622,0.220032,0.240976,0.260653,0.28601,0.306857,0.335085,0.364649,0.399477,0.434213,0.472094,0.523784,0.571133,0.631625,0.702069,0.796211,0.89096,1.05603,1.23211,1.47654,2.03426,2.82636,14.545,15.2639,15.9462,16.436,16.8506,17.2594,17.6315,17.935,18.2072,18.4773,18.6892,18.9644,19.1221,19.3788,19.537,19.7462,19.9472,20.1234,20.3253,20.4936,20.691,20.8615,21.0631,21.2159,21.407,21.5905,21.7886,21.9697,22.1513,22.3769,22.5649,22.7835,23.0131,23.2863,23.5305,23.8996,24.2344,24.6274,25.3232,26.0373
-25.4835,0.989145,0.11322,5,31,0,26.1172,0.330535,75.2758,-0.122094,23.7805,0.330535,75.2758,-0.122094,23.7805,0.014225,0.0198092,0.0271234,0.0339894,0.04114,0.0496653,0.0589498,0.0677922,0.0768464,0.0870245,0.0959444,0.108911,0.117108,0.131804,0.141763,0.156088,0.171225,0.185688,0.203766,0.220174,0.241112,0.260779,0.286119,0.306946,0.335141,0.364661,0.399428,0.434091,0.47188,0.523422,0.570616,0.630883,0.701026,0.794709,0.888935,1.05296,1.22775,1.47017,2.02247,2.80559,14.5458,15.2649,15.9473,16.4373,16.8519,17.2608,17.633,17.9364,18.2087,18.4788,18.6906,18.9659,19.1235,19.3802,19.5384,19.7474,19.9484,20.1245,20.3262,20.4944,20.6916,20.8619,21.0633,21.2159,21.4067,21.59,21.7877,21.9685,22.1497,22.3748,22.5623,22.7803,23.0092,23.2816,23.5249,23.8926,24.2261,24.6174,25.31,26.0207
-26.5383,0.986186,0.11322,5,31,0,27.3803,0.301744,67.6868,-0.053403,23.7941,0.301744,67.6868,-0.053403,23.7941,0.014182,0.0197401,0.0270154,0.033841,0.0409465,0.0494144,0.0586328,0.0674094,0.076394,0.0864914,0.095339,0.108198,0.116327,0.130897,0.14077,0.154972,0.169977,0.184316,0.202237,0.218505,0.239266,0.258769,0.283903,0.304564,0.332543,0.361845,0.396368,0.430803,0.46836,0.519616,0.566579,0.626595,0.696507,0.789982,0.884111,1.04822,1.22344,1.46696,2.02357,2.81592,14.5528,15.2709,15.9522,16.4414,16.8552,17.2634,17.6348,17.9377,18.2094,18.479,18.6905,18.9652,19.1225,19.3788,19.5367,19.7454,19.9461,20.122,20.3235,20.4915,20.6885,20.8587,21.06,21.2125,21.4034,21.5868,21.7846,21.9655,22.147,22.3726,22.5604,22.7791,23.0088,23.2822,23.5267,23.8964,24.2321,24.6262,25.3247,26.0422
-28.1585,0.994889,0.11322,4,31,0,30.4032,0.280518,61.2459,-0.0026569,23.8015,0.280518,61.2459,-0.0026569,23.8015,0.0141555,0.0196976,0.0269492,0.0337506,0.0408289,0.0492626,0.0584419,0.06718,0.0761238,0.0861745,0.0949804,0.107778,0.115868,0.130367,0.140193,0.154325,0.169259,0.183529,0.201367,0.21756,0.238227,0.257646,0.282675,0.303255,0.331128,0.360328,0.394742,0.429079,0.466544,0.517697,0.564591,0.62455,0.694444,0.787971,0.882238,1.04678,1.22272,1.4676,2.02872,2.82986,14.5561,15.2736,15.9542,16.4429,16.8563,17.2641,17.6351,17.9377,18.2091,18.4784,18.6897,18.9642,19.1213,19.3773,19.5351,19.7437,19.9443,20.12,20.3214,20.4894,20.6865,20.8566,21.0579,21.2105,21.4015,21.585,21.7831,21.9642,22.146,22.3719,22.5602,22.7793,23.0097,23.2841,23.5294,23.9008,24.2381,24.6345,25.3376,26.0603
-25.3327,0.978018,0.11322,5,31,0,29.0643,0.348409,66.6437,-0.16362,23.7661,0.348409,66.6437,-0.16362,23.7661,0.014255,0.0198577,0.0271994,0.0340942,0.0412771,0.0498436,0.0591757,0.0680657,0.0771705,0.0874073,0.0963802,0.109425,0.117674,0.132462,0.142484,0.156902,0.172137,0.186695,0.204891,0.221406,0.24248,0.262274,0.287774,0.308731,0.337099,0.366794,0.401759,0.436612,0.474597,0.526389,0.573793,0.634301,0.704688,0.798633,0.893053,1.05725,1.23203,1.47411,2.02457,2.80318,14.5359,15.2558,15.9389,16.4295,16.8447,17.2542,17.6268,17.9307,18.2034,18.4738,18.686,18.9617,19.1195,19.3766,19.5349,19.7442,19.9455,20.1218,20.3237,20.4921,20.6895,20.8599,21.0614,21.214,21.4049,21.5882,21.7859,21.9666,22.1477,22.3726,22.5599,22.7776,23.0061,23.2778,23.5205,23.887,24.2192,24.6088,25.2978,26.0044
-25.7734,1,0.11322,4,23,0,26.6252,0.321058,76.2776,-0.106746,23.7837,0.321058,76.2776,-0.106746,23.7837,0.0142145,0.0197925,0.0270974,0.0339539,0.0410939,0.049606,0.0588754,0.0677029,0.0767416,0.0869018,0.095806,0.108749,0.116932,0.131601,0.141543,0.155843,0.170954,0.185393,0.203441,0.219824,0.24073,0.260369,0.285675,0.306476,0.33464,0.364131,0.398869,0.43351,0.47128,0.522809,0.570002,0.630283,0.700465,0.794234,0.888584,1.05291,1.22813,1.47129,2.02585,2.81306,14.5474,15.2662,15.9484,16.4382,16.8526,17.2614,17.6334,17.9368,18.2089,18.4789,18.6907,18.9659,19.1234,19.3801,19.5382,19.7472,19.9481,20.1242,20.3259,20.4941,20.6914,20.8617,21.0631,21.2157,21.4066,21.59,21.7879,21.9687,22.1501,22.3755,22.5631,22.7814,23.0107,23.2835,23.5272,23.8957,24.23,24.6222,25.3168,26.0296
-28.3469,0.97472,0.11322,5,63,0,28.9565,0.408347,61.4115,-0.28961,23.7218,0.408347,61.4115,-0.28961,23.7218,0.0143682,0.0200413,0.0274888,0.0344944,0.0418026,0.0505295,0.0600479,0.0691248,0.0784292,0.0888988,0.0980821,0.111442,0.119894,0.135054,0.145333,0.160125,0.17576,0.190704,0.209384,0.226341,0.247977,0.268297,0.29447,0.315974,0.34507,0.375512,0.411333,0.44701,0.485858,0.538766,0.587127,0.648764,0.720334,0.815644,0.911192,1.07681,1.2524,1.49457,2.04162,2.80944,14.5088,15.2314,15.9176,16.4106,16.8278,17.2395,17.6143,17.92,18.1942,18.4663,18.6798,18.9571,19.1158,19.3744,19.5336,19.7441,19.9464,20.1236,20.3265,20.4956,20.6939,20.8649,21.067,21.2201,21.4114,21.5949,21.7928,21.9734,22.1544,22.3788,22.5655,22.7823,23.0095,23.2793,23.5199,23.8825,24.2105,24.5944,25.2717,25.9649
-29.6187,0.999285,0.11322,3,7,0,29.7852,0.408299,58.7748,-0.306139,23.7141,0.408299,58.7748,-0.306139,23.7141,0.0143819,0.0200638,0.0275251,0.0345453,0.0418705,0.0506197,0.0601645,0.0692684,0.0786023,0.0891071,0.0983227,0.111732,0.120217,0.135438,0.14576,0.160615,0.17632,0.191333,0.210103,0.227142,0.248887,0.269313,0.295625,0.317245,0.346503,0.377116,0.413143,0.449029,0.488108,0.541333,0.589988,0.652002,0.724012,0.819907,0.91604,1.08266,1.2593,1.50286,2.05289,2.82453,14.5032,15.2261,15.9127,16.406,16.8236,17.2357,17.6108,17.9168,18.1913,18.4636,18.6774,18.955,19.1139,19.3728,19.5323,19.743,19.9456,20.123,20.3262,20.4956,20.6941,20.8654,21.0678,21.2211,21.4126,21.5965,21.7946,21.9755,22.1567,22.3814,22.5683,22.7853,23.0128,23.2829,23.5237,23.8865,24.2147,24.5987,25.2759,25.9688
