lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,M,theta.1,theta.2,theta.3,theta.4,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40
# Adaptation terminated
# Step size = 0.106994
# Diagonal elements of inverse mass matrix:
# 0.00810984, 0.0261203, 0.00444472, 0.000324123
-21.1828,0.997213,0.106994,3,15,0,22.8836,0.326654,66.4661,-0.0949512,-1.21637,0.326654,66.4661,-0.0949512,-1.21637,0.0142073,0.0197804,0.0270777,0.0339259,0.0410562,0.0495552,0.0588089,0.0676201,0.0766406,0.086779,0.0956628,0.108575,0.116736,0.131365,0.141278,0.155535,0.170598,0.184989,0.202974,0.219297,0.240123,0.259684,0.284885,0.305596,0.333633,0.362985,0.397552,0.432016,0.469587,0.520831,0.567754,0.627676,0.697424,0.790588,0.884305,1.04748,1.22142,1.46274,2.0129,2.79366,14.5462,15.2648,15.9467,16.4363,16.8505,17.2591,17.6308,17.934,18.2059,18.4757,18.6873,18.9623,19.1197,19.376,19.534,19.7428,19.9435,20.1194,20.3208,20.4888,20.6858,20.8559,21.057,21.2094,21.4,21.5831,21.7806,21.9611,22.1422,22.3671,22.5544,22.7723,23.0011,23.2734,23.5166,23.8844,24.218,24.6095,25.3027,26.0145
-22.0872,0.904995,0.106994,3,11,0,23.0581,0.312583,70.2783,-0.0989001,-1.22596,0.312583,70.2783,-0.0989001,-1.22596,0.0142092,0.0197842,0.0270848,0.0339371,0.0410726,0.0495792,0.0588426,0.0676646,0.0766977,0.0868519,0.095751,0.108688,0.116867,0.131529,0.141467,0.155762,0.170869,0.185306,0.203352,0.219735,0.240643,0.260286,0.2856,0.306411,0.334591,0.364104,0.398874,0.433553,0.471372,0.522979,0.570255,0.630657,0.701001,0.795018,0.889653,1.05455,1.23047,1.47475,2.03232,2.82455,14.5369,15.2556,15.9377,16.4274,16.8418,17.2505,17.6225,17.9258,18.1979,18.4679,18.6798,18.9549,19.1125,19.3691,19.5273,19.7363,19.9374,20.1135,20.3153,20.4835,20.6809,20.8513,21.0528,21.2056,21.3966,21.5802,21.7782,21.9592,22.1409,22.3665,22.5544,22.773,23.0026,23.2759,23.5201,23.8894,24.2244,24.6176,25.314,26.0288
-21.913,0.997036,0.106994,4,19,0,22.5494,0.335578,74.5319,-0.104705,-1.21921,0.335578,74.5319,-0.104705,-1.21921,0.014214,0.019791,0.0270939,0.0339477,0.0410841,0.0495907,0.0588527,0.0676719,0.0767007,0.0868481,0.0957397,0.108662,0.116831,0.131471,0.141391,0.155658,0.17073,0.18513,0.203123,0.219453,0.240285,0.25985,0.285053,0.305763,0.333795,0.363138,0.397688,0.432129,0.469667,0.520856,0.567717,0.627544,0.697161,0.790118,0.883592,1.04626,1.21958,1.45989,2.00729,2.78337,14.5444,15.2631,15.9451,16.4348,16.8492,17.2578,17.6296,17.9328,18.2048,18.4746,18.6863,18.9612,19.1186,19.3749,19.5329,19.7417,19.9423,20.1182,20.3196,20.4875,20.6844,20.8544,21.0554,21.2077,21.3982,21.5811,21.7785,21.9589,22.1397,22.3644,22.5514,22.769,22.9975,23.2693,23.5121,23.879,24.2118,24.6024,25.2938,26.0036
-22.4811,1,0.106994,5,31,0,23.3822,0.29537,74.9881,-0.0886307,-1.21503,0.29537,74.9881,-0.0886307,-1.21503,0.0142026,0.0197741,0.02707,0.0339179,0.0410491,0.0495509,0.0588097,0.067628,0.076658,0.0868099,0.0957079,0.108644,0.116824,0.131491,0.141433,0.155736,0.170855,0.185305,0.203373,0.219778,0.24072,0.260401,0.28577,0.306633,0.334892,0.364498,0.39939,0.434206,0.47219,0.524048,0.571579,0.63234,0.703146,0.797852,0.893255,1.05965,1.23737,1.48443,2.0493,2.85344,14.5468,15.2655,15.9474,16.4371,16.8515,17.2602,17.6322,17.9356,18.2078,18.4778,18.6897,18.965,19.1226,19.3795,19.5377,19.7469,19.9481,20.1244,20.3264,20.4949,20.6925,20.8632,21.0651,21.2181,21.4095,21.5934,21.792,21.9735,22.1556,22.3818,22.5704,22.7897,23.0202,23.2946,23.5398,23.9108,24.2475,24.6428,25.343,26.0618
-21.4024,0.995958,0.106994,5,31,0,23.0909,0.304417,66.7515,-0.0481579,-1.20315,0.304417,66.7515,-0.0481579,-1.20315,0.0141788,0.0197348,0.0270066,0.0338285,0.0409295,0.0493916,0.058603,0.0673723,0.0763488,0.0864364,0.0952749,0.10812,0.116239,0.130791,0.140652,0.154834,0.169818,0.184135,0.202028,0.218269,0.238993,0.258461,0.283547,0.304168,0.332089,0.361328,0.395773,0.430128,0.467593,0.518719,0.565558,0.625409,0.695121,0.788316,0.882151,1.04573,1.22035,1.46299,2.0175,2.80672,14.555,15.273,15.9542,16.4433,16.857,17.2651,17.6364,17.9393,18.2109,18.4803,18.6917,18.9664,19.1236,19.3797,19.5376,19.7462,19.9468,20.1225,20.3239,20.4918,20.6888,20.8588,21.06,21.2124,21.4031,21.5864,21.7841,21.9648,22.1462,22.3715,22.5592,22.7777,23.0072,23.2804,23.5246,23.8939,24.2293,24.6231,25.3209,26.0378
-22.6843,0.832854,0.106994,3,7,0,23.601,0.312609,71.2232,-0.056003,-1.21075,0.312609,71.2232,-0.056003,-1.21075,0.0141831,0.0197414,0.0270166,0.0338418,0.0409462,0.0494123,0.0586279,0.0674011,0.0763813,0.0864728,0.0953143,0.108163,0.116284,0.13084,0.140701,0.154884,0.169869,0.184184,0.202075,0.218312,0.239028,0.258487,0.283558,0.304164,0.332061,0.361271,0.395676,0.429984,0.467392,0.518428,0.565174,0.624891,0.694427,0.787356,0.880891,1.04387,1.21776,1.45926,2.01073,2.79489,14.5481,15.2661,15.9474,16.4365,16.8503,17.2584,17.6298,17.9326,18.2042,18.4736,18.685,18.9596,19.1169,19.3729,19.5307,19.7393,19.9398,20.1155,20.3168,20.4846,20.6815,20.8514,21.0525,21.2048,21.3953,21.5784,21.7759,21.9565,22.1377,22.3627,22.5502,22.7683,22.9974,23.2701,23.5139,23.8825,24.2171,24.6099,25.306,26.0211
-23.0668,1,0.106994,3,11,0,23.2943,0.307775,69.8918,-0.0673753,-1.20061,0.307775,69.8918,-0.0673753,-1.20061,0.0141901,0.0197531,0.0270356,0.0338687,0.0409825,0.0494609,0.0586914,0.0674801,0.0764773,0.0865893,0.09545,0.108328,0.116469,0.131062,0.140951,0.155174,0.170202,0.184563,0.202511,0.218804,0.239594,0.259125,0.284293,0.304982,0.332996,0.362333,0.396894,0.431364,0.468955,0.520252,0.567245,0.627289,0.697222,0.790704,0.884816,1.04884,1.2239,1.46709,2.02257,2.81266,14.5593,15.2776,15.9591,16.4484,16.8624,17.2707,17.6423,17.9453,18.2171,18.4867,18.6983,18.9731,19.1304,19.3868,19.5447,19.7535,19.9542,20.1301,20.3316,20.4997,20.6968,20.8669,21.0682,21.2208,21.4116,21.5949,21.7928,21.9736,22.155,22.3805,22.5682,22.7867,23.0162,23.2895,23.5337,23.9029,24.2381,24.6317,25.3289,26.045
-22.9007,0.908918,0.106994,2,3,0,24.952,0.306139,71.47,-0.066017,-1.20111,0.306139,71.47,-0.066017,-1.20111,0.0141893,0.0197519,0.0270338,0.0338664,0.0409795,0.0494573,0.0586871,0.0674751,0.0764718,0.0865832,0.0954434,0.108321,0.116462,0.131054,0.140943,0.155166,0.170195,0.184556,0.202506,0.218799,0.239592,0.259126,0.284297,0.30499,0.33301,0.362354,0.396924,0.431405,0.469009,0.520325,0.567339,0.627413,0.697384,0.790922,0.885099,1.04925,1.22447,1.46789,2.02402,2.81515,14.5587,15.2769,15.9584,16.4477,16.8617,17.27,17.6416,17.9446,18.2164,18.4861,18.6976,18.9725,19.1298,19.3862,19.5441,19.7529,19.9536,20.1295,20.3311,20.4991,20.6963,20.8664,21.0678,21.2203,21.4112,21.5946,21.7924,21.9733,22.1548,22.3803,22.5681,22.7867,23.0163,23.2896,23.5339,23.9033,24.2386,24.6324,25.33,26.0464
-22.3033,0.956052,0.106994,5,45,0,24.5463,0.360922,73.5417,-0.211063,-1.23807,0.360922,73.5417,-0.211063,-1.23807,0.0142911,0.0199164,0.0272924,0.0342232,0.0414472,0.0500666,0.0594605,0.0684129,0.0775848,0.0879004,0.0969449,0.110098,0.118417,0.133334,0.143447,0.157997,0.173375,0.188073,0.206445,0.223124,0.244407,0.264401,0.29016,0.311332,0.33999,0.369989,0.405311,0.440518,0.478884,0.531188,0.57905,0.640129,0.711156,0.805914,0.901101,1.06652,1.24243,1.48584,2.03837,2.81828,14.5373,15.258,15.9421,16.4335,16.8494,17.2597,17.6331,17.9376,18.2108,18.4819,18.6946,18.9708,19.129,19.3866,19.5454,19.7552,19.9569,20.1336,20.3359,20.5047,20.7025,20.8732,21.0751,21.228,21.4193,21.6029,21.8009,21.9817,22.1631,22.3882,22.5755,22.7933,23.0218,23.2934,23.5358,23.9018,24.2333,24.6218,25.3083,26.0118
-24.1705,0.985136,0.106994,4,23,0,24.7917,0.381487,62.7396,-0.216898,-1.23418,0.381487,62.7396,-0.216898,-1.23418,0.014301,0.0199318,0.0273154,0.0342535,0.0414851,0.0501133,0.0595164,0.0684769,0.0776563,0.0879794,0.0970295,0.110189,0.118511,0.133431,0.143544,0.158092,0.173464,0.188153,0.20651,0.223171,0.244426,0.264386,0.290094,0.311215,0.339796,0.369701,0.404898,0.439962,0.478155,0.530192,0.577783,0.638477,0.709007,0.803026,0.89739,1.06121,1.23521,1.4757,2.0207,2.78862,14.5427,15.2636,15.9479,16.4393,16.8553,17.2656,17.639,17.9435,18.2167,18.4877,18.7003,18.9765,19.1346,19.3921,19.5507,19.7604,19.9619,20.1384,20.3405,20.509,20.7066,20.877,21.0785,21.2311,21.4219,21.6051,21.8026,21.9829,22.1637,22.388,22.5746,22.7916,23.0191,23.2895,23.5307,23.8948,24.2245,24.6108,25.2933,25.9928
