# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-26 21:07:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp7e5i_7u4/2v40dvxq.json
# random
#   seed = 43447
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cc/cc-20230726220713.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,lambda,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.246138
# Diagonal elements of inverse mass matrix:
# 0.00357355, 9.99891, 0.24119
-8.19135,0.990571,0.246138,3,15,0,8.56132,0.340221,68.926,0.141008,68.926,0.340221,0.141008,71.5623,72.3615,73.5982,75.7591,76.1612,77.0688,77.1146,80.4456,80.9404,84.6379,86.1389,87.232,87.2541,88.6229,89.7548,91.1934,91.6768,91.7762,98.6421,104.265,108.99,111.138,117.85,118.215,119.683,130.08,151.568,156.991,162.87,171.848,192.421,213.551
-8.53168,0.786067,0.246138,3,15,0,10.32,0.188475,65.5145,0.99315,65.5145,0.188475,0.99315,69.1115,70.154,71.7304,74.3926,74.8765,75.9571,76.0113,79.8522,80.4083,84.4681,86.0736,87.2296,87.2528,88.6855,89.8589,91.3366,91.8299,91.9311,98.7844,104.231,108.721,110.74,116.975,117.311,118.662,128.117,147.253,152.024,157.176,165.013,182.859,201.08
-7.93953,0.204084,0.246138,3,11,1,13.5406,0.298313,65.9438,0.411907,65.9438,0.298313,0.411907,68.5008,69.268,70.4493,72.4989,72.8785,73.7336,73.7768,76.8973,77.3587,80.7947,82.184,83.1943,83.2147,84.4779,85.5213,86.8458,87.2905,87.3818,93.6827,98.828,103.145,105.106,111.23,111.563,112.902,122.381,141.967,146.912,152.272,160.462,179.238,198.536
-8.08505,0.851438,0.246138,2,3,0,9.23399,0.310471,65.8965,0.646267,65.8965,0.310471,0.646267,69.0969,70.0441,71.4921,73.9781,74.4352,75.4613,75.513,79.2199,79.7637,83.7821,85.3933,86.5605,86.584,88.0386,89.2362,90.752,91.2598,91.3641,98.5063,104.28,109.092,111.27,118.042,118.409,119.885,130.288,151.616,156.975,162.776,171.624,191.855,212.594
-8.24369,0.93901,0.246138,4,15,0,9.31321,0.258873,66.5922,-0.527173,66.5922,0.258873,-0.527173,69.1332,69.89,71.0509,73.0549,73.4248,74.2568,74.2987,77.3214,77.7669,81.0747,82.4081,83.3766,83.3961,84.6058,85.6039,86.8699,87.2947,87.382,93.3897,98.2848,102.388,104.25,110.064,110.38,111.652,120.648,139.242,143.939,149.031,156.814,174.671,193.042
-9.72157,0.571299,0.246138,1,3,0,10.3242,0.241385,66.1124,-0.536035,66.1124,0.241385,-0.536035,68.5297,69.2489,70.3517,72.2542,72.6052,73.3946,73.4344,76.3013,76.7237,79.8601,81.1244,82.0426,82.0611,83.2081,84.1546,85.3551,85.7579,85.8407,91.5396,96.1856,100.082,101.851,107.376,107.677,108.886,117.444,135.155,139.633,144.491,151.918,168.97,186.528
-7.68843,0.299988,0.246138,3,7,0,9.56302,0.248855,65.814,-0.742495,65.814,0.248855,-0.742495,68.8702,69.7682,71.1361,73.4724,73.9004,74.86,74.9082,78.3584,78.8627,82.578,84.0627,85.1367,85.1583,86.4952,87.5946,88.9846,89.45,89.5455,96.0754,101.339,105.719,107.7,113.855,114.189,115.53,124.976,144.337,149.203,154.471,162.508,180.895,199.761
-7.82232,0.899117,0.246138,4,15,0,8.07662,0.230607,67.1175,-0.775647,67.1175,0.230607,-0.775647,70.2165,71.1246,72.5059,74.8602,75.2909,76.2558,76.3043,79.767,80.2723,83.99,85.4733,86.5457,86.5672,87.9012,88.9975,90.383,90.8466,90.9418,97.4397,102.669,107.016,108.981,115.083,115.414,116.742,126.099,145.26,150.075,155.286,163.236,181.424,200.086
-8.01294,0.864714,0.246138,4,15,0,10.7522,0.249807,68.3532,0.463038,68.3532,0.249807,0.463038,70.7456,71.4612,72.5613,74.4668,74.8193,75.613,75.6531,78.5464,78.9739,82.1566,83.4433,84.3789,84.3978,85.5679,86.5343,87.7615,88.1735,88.2582,94.1011,98.8792,102.894,104.719,110.425,110.735,111.985,120.84,139.2,143.846,148.888,156.598,174.309,192.55
-7.98325,0.442803,0.246138,2,7,0,9.14179,0.227467,67.7411,0.772356,67.7411,0.227467,0.772356,70.8336,71.7397,73.1181,75.4673,75.8972,76.86,76.9084,80.3638,80.8681,84.5784,86.0588,87.1292,87.1507,88.4821,89.5765,90.9595,91.4223,91.5174,98.0046,103.226,107.568,109.53,115.626,115.956,117.283,126.632,145.784,150.596,155.807,163.756,181.945,200.612
-9.88863,0.62975,0.246138,4,15,0,10.1003,0.291325,63.9586,-0.900035,63.9586,0.291325,-0.900035,67.7981,68.9209,70.6266,73.5273,74.057,75.2427,75.3023,79.5449,80.1625,84.6934,86.4952,87.7957,87.8218,89.4371,90.7628,92.4356,92.9948,93.1096,100.916,107.159,112.327,114.656,121.868,122.258,123.823,134.808,157.13,162.708,168.735,177.91,198.822,220.188
-7.6371,1,0.246138,3,11,0,12.1168,0.267504,69.1621,-0.327206,69.1621,0.267504,-0.327206,71.4643,72.159,73.2318,75.1019,75.4493,76.2332,76.2728,79.1462,79.5727,82.7597,84.0536,84.9962,85.0152,86.1958,87.1724,88.4141,88.8314,88.9172,94.8537,99.7282,103.834,105.702,111.553,111.871,113.154,122.252,141.151,145.938,151.133,159.08,177.336,196.14
-7.51955,0.999821,0.246138,4,15,0,7.79737,0.279726,69.7374,-0.145345,69.7374,0.279726,-0.145345,71.9487,72.6214,73.6644,75.4927,75.8336,76.6042,76.6432,79.4816,79.9044,83.0747,84.3663,85.3087,85.3277,86.5096,87.4884,88.7343,89.1534,89.2396,95.2163,100.14,104.295,106.188,112.12,112.444,113.746,122.988,142.213,147.086,152.374,160.466,179.057,198.207
-7.40185,0.993977,0.246138,3,15,0,7.97678,0.292058,68.4693,-0.23543,68.4693,0.292058,-0.23543,70.812,71.5218,72.6199,74.5389,74.896,75.7023,75.7431,78.7046,79.1447,82.4378,83.7762,84.7516,84.7713,85.9934,87.0047,88.2908,88.7232,88.8121,94.9645,100.018,104.273,106.21,112.272,112.603,113.931,123.353,142.902,147.85,153.216,161.423,180.26,199.646
-7.42434,0.959591,0.246138,3,15,0,8.92558,0.316318,67.5118,0.0839913,67.5118,0.316318,0.0839913,69.8895,70.6122,71.7321,73.6932,74.0587,74.8842,74.9259,77.9624,78.4142,81.7968,83.1726,84.1756,84.1958,85.4527,86.4929,87.816,88.2608,88.3523,94.6828,99.8818,104.259,106.251,112.483,112.823,114.188,123.867,143.923,148.994,154.493,162.898,182.179,202.003
-8.0679,0.944515,0.246138,3,15,0,9.56318,0.262233,69.8679,-0.0253791,69.8679,0.262233,-0.0253791,71.9015,72.5222,73.4864,75.181,75.4976,76.2137,76.25,78.8949,79.2897,82.2561,83.4674,84.3521,84.3699,85.4804,86.401,87.5738,87.9686,88.0497,93.6915,98.3535,102.296,104.094,109.739,110.047,111.287,120.103,138.497,143.167,148.24,156.006,173.871,192.296
-7.85233,0.933513,0.246138,3,7,0,9.70996,0.267479,69.7913,-0.0919493,69.7913,0.267479,-0.0919493,71.8811,72.5182,73.5071,75.2435,75.5677,76.3008,76.3379,79.0429,79.4464,82.4758,83.7118,84.6142,84.6324,85.7649,86.7033,87.8985,88.3007,88.3834,94.1274,98.8688,102.876,104.703,110.434,110.747,112.005,120.95,139.592,144.323,149.46,157.323,175.404,194.044
-8.70802,0.943808,0.246138,3,15,0,10.0324,0.366229,64.1051,0.160045,64.1051,0.366229,0.160045,66.75,67.5502,68.7871,70.9445,71.3455,72.25,72.2957,75.6094,76.1008,79.7683,81.2544,82.336,82.3578,83.7111,84.8295,86.2499,86.7269,86.8249,93.5891,99.115,103.751,105.856,112.426,112.783,114.22,124.376,145.315,150.592,156.308,165.034,185.009,205.504
-9.11534,0.876999,0.246138,4,15,0,10.3858,0.226622,71.4119,0.215178,71.4119,0.226622,0.215178,73.3221,73.9031,74.8039,76.3838,76.6786,77.345,77.3788,79.837,80.2037,82.9574,84.0815,84.9024,84.919,85.9497,86.8041,87.8928,88.2593,88.3347,93.5762,97.9136,101.586,103.263,108.533,108.82,109.979,118.232,135.506,139.904,144.684,152.011,168.896,186.346
-8.0227,0.998397,0.246138,3,7,0,9.7478,0.259532,70.4109,0.00444384,70.4109,0.259532,0.00444384,72.438,73.0569,74.0184,75.7087,76.0245,76.739,76.7751,79.4145,79.8086,82.7699,83.9794,84.8629,84.8807,85.9898,86.9093,88.0809,88.4752,88.5563,94.1937,98.8537,102.795,104.594,110.239,110.547,111.788,120.609,139.019,143.695,148.774,156.551,174.443,192.899
-7.3392,0.975022,0.246138,3,7,0,8.4761,0.318833,68.1387,-0.187292,68.1387,0.318833,-0.187292,70.6217,71.3744,72.5391,74.5745,74.9533,75.8084,75.8516,78.9914,79.458,82.9464,84.3633,85.3956,85.4165,86.7094,87.779,89.1387,89.5957,89.6896,96.186,101.513,105.994,108.032,114.405,114.752,116.147,126.034,146.5,151.671,157.279,165.847,185.495,205.692
-9.60773,0.630288,0.246138,2,3,0,12.6056,0.32889,70.9954,-0.0528269,70.9954,0.32889,-0.0528269,73.5826,74.3687,75.5864,77.7179,78.1149,79.0117,79.0571,82.3539,82.8441,86.5131,88.0045,89.0915,89.1134,90.4752,91.6018,93.0345,93.5161,93.6151,100.464,106.083,110.811,112.961,119.685,120.051,121.524,131.956,153.549,159.004,164.919,173.955,194.675,215.967
-8.5865,0.765517,0.246138,3,13,0,10.8646,0.247929,68.4575,-0.372002,68.4575,0.247929,-0.372002,70.6624,71.3261,72.3498,74.1311,74.4618,75.2074,75.245,77.9749,78.3798,81.403,82.6296,83.523,83.541,84.6598,85.5851,86.7615,87.1569,87.2382,92.8616,97.4794,101.37,103.141,108.687,108.99,110.206,118.839,136.794,141.346,146.288,153.85,171.237,189.161
-7.76481,0.757481,0.246138,3,11,0,9.9157,0.242834,68.0565,-0.592616,68.0565,0.242834,-0.592616,70.7043,71.4891,72.69,74.7556,75.1359,75.9904,76.0334,79.1277,79.5826,82.9524,84.3074,85.2905,85.3102,86.537,87.5482,88.8299,89.2596,89.3479,95.4142,100.345,104.471,106.342,112.18,112.497,113.773,122.792,141.413,146.115,151.211,159,176.868,195.25
-7.78856,0.955756,0.246138,3,7,0,8.07076,0.250351,67.8332,-0.694257,67.8332,0.250351,-0.694257,70.8325,71.7161,73.0642,75.3715,75.7949,76.7447,76.7925,80.2151,80.7163,84.4148,85.8957,86.9679,86.9895,88.3251,89.4244,90.8152,91.281,91.3767,97.9255,103.218,107.629,109.626,115.838,116.175,117.53,127.083,146.706,151.644,156.993,165.157,183.85,203.043
-9.41999,0.808794,0.246138,3,7,0,9.5827,0.182738,66.8956,-1.00079,66.8956,0.182738,-1.00079,70.5618,71.6236,73.2287,75.9378,76.4301,77.5291,77.5842,81.4884,82.0535,86.1765,87.8062,88.9793,89.0029,90.4565,91.6468,93.1455,93.6458,93.7484,100.695,106.212,110.757,112.8,119.109,119.45,120.816,130.378,149.716,154.536,159.74,167.654,185.674,204.068
-9.97153,0.35288,0.246138,2,5,0,13.458,0.183072,68.6626,-0.942255,68.6626,0.183072,-0.942255,72.1555,73.1685,74.701,77.291,77.762,78.8142,78.867,82.6106,83.1531,87.1171,88.6865,89.8171,89.8398,91.2417,92.3905,93.8379,94.3213,94.4204,101.145,106.501,110.923,112.913,119.067,119.399,120.733,130.089,149.077,153.821,158.947,166.752,184.553,202.759
-8.59383,0.668024,0.246138,4,27,0,9.57718,0.37868,63.9674,0.284273,63.9674,0.37868,0.284273,66.8123,67.669,68.99,71.2863,71.7121,72.6714,72.7199,76.2234,76.7416,80.6003,82.1599,83.2937,83.3166,84.7337,85.9037,87.3884,87.8867,87.9891,95.0393,100.782,105.59,107.771,114.57,114.94,116.425,126.912,148.486,153.915,159.795,168.765,189.285,210.324
