# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-26 21:07:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp7e5i_7u4/2v40dvxq.json
# random
#   seed = 43447
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cc/cc-20230726220713.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,lambda,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.19834
# Diagonal elements of inverse mass matrix:
# 0.00314247, 9.72415, 0.250055
-7.78123,0.956544,0.19834,2,3,0,9.92846,0.328958,66.8783,-0.446805,66.8783,0.328958,-0.446805,69.7626,70.6258,71.9531,74.251,74.6759,75.6324,75.6807,79.1628,79.6768,83.4961,85.0369,86.1562,86.1787,87.5769,88.7307,90.194,90.685,90.7859,97.7266,103.375,108.104,110.248,116.936,117.299,118.759,129.078,150.328,155.68,161.479,170.329,190.592,211.386
-7.53909,0.96622,0.19834,5,47,0,8.61172,0.282636,66.3236,0.551522,66.3236,0.282636,0.551522,69.086,69.9078,71.1675,73.3395,73.74,74.6406,74.686,77.9532,78.4342,82.001,83.4368,84.4789,84.4999,85.8007,86.8733,88.2329,88.6889,88.7826,95.2209,100.454,104.832,106.818,113.008,113.344,114.696,124.25,143.939,148.902,154.281,162.495,181.315,200.65
-7.48198,0.999097,0.19834,4,31,0,7.89936,0.276228,69.2247,0.316971,69.2247,0.276228,0.316971,71.5794,72.2903,73.3882,75.3022,75.6579,76.4603,76.5008,79.4423,79.8788,83.141,84.4652,85.4299,85.4493,86.6574,87.6567,88.9271,89.3541,89.4418,95.5136,100.497,104.692,106.601,112.577,112.902,114.212,123.499,142.775,147.655,152.95,161.047,179.642,198.788
-7.42667,0.998804,0.19834,4,15,0,7.76328,0.280605,67.3431,0.556857,67.3431,0.280605,0.556857,70.1466,70.9803,72.2581,74.4607,74.8668,75.7798,75.8258,79.1374,79.6249,83.2391,84.6937,85.7494,85.7706,87.0883,88.1748,89.5519,90.0137,90.1086,96.6289,101.928,106.361,108.371,114.638,114.979,116.348,126.02,145.953,150.978,156.424,164.739,183.794,203.37
-7.70663,0.925072,0.19834,3,11,0,8.1604,0.261255,66.8747,0.713826,66.8747,0.261255,0.713826,69.9747,70.8875,72.2795,74.6607,75.0975,76.077,76.1263,79.6537,80.1699,83.9769,85.5,86.6025,86.6247,87.9975,89.127,90.5556,91.034,91.1323,97.8518,103.275,107.792,109.835,116.187,116.532,117.916,127.672,147.68,152.71,158.156,166.465,185.478,204.985
-10.3302,0.626684,0.19834,3,11,0,12.006,0.272346,68.1403,0.771908,68.1403,0.272346,0.771908,71.5842,72.5957,74.1362,76.7658,77.2474,78.3267,78.381,82.2589,82.8253,86.9951,88.6598,89.8636,89.8878,91.3854,92.6165,94.1724,94.6931,94.8,102.098,107.969,112.849,115.054,121.898,122.269,123.758,134.24,155.671,161.048,166.865,175.734,196.001,216.766
