lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,lambda,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.209891
# Diagonal elements of inverse mass matrix:
# 0.00352967, 7.40013, 0.266703
-8.45762,0.911824,0.209891,2,5,0,9.66595,0.282498,71.8483,-0.15117,71.8483,0.282498,-0.15117,74.1525,74.8532,75.9394,77.843,78.1979,78.9999,79.0405,81.9939,82.4338,85.7312,87.0742,88.0539,88.0737,89.3023,90.3197,91.6146,92.0501,92.1397,98.3494,103.463,107.777,109.742,115.9,116.235,117.586,127.176,147.116,152.168,157.652,166.04,185.311,205.157
-7.64602,0.994151,0.209891,4,19,0,9.60948,0.317614,65.9804,-0.374946,65.9804,0.317614,-0.374946,68.6121,69.4031,70.6219,72.7389,73.1312,74.0153,74.06,77.2883,77.766,81.3238,82.7629,83.8094,83.8305,85.1392,86.2201,87.5924,88.0531,88.1478,94.6755,100.005,104.475,106.505,112.843,113.188,114.574,124.377,144.616,149.722,155.256,163.708,183.074,202.967
-7.35583,0.999136,0.209891,5,55,0,7.81364,0.309638,67.8661,0.173011,67.8661,0.309638,0.173011,70.2595,70.9857,72.1101,74.0766,74.4428,75.2696,75.3115,78.3501,78.8019,82.1825,83.5567,84.5582,84.5784,85.8332,86.8715,88.1919,88.6358,88.727,95.0417,100.226,104.59,106.575,112.787,113.125,114.486,124.133,144.124,149.179,154.662,163.041,182.265,202.035
-9.18932,0.978709,0.209891,3,11,0,11.5999,0.391682,63.1222,-0.255104,63.1222,0.391682,-0.255104,65.9845,66.8467,68.1766,70.4887,70.9174,71.8835,71.9323,75.4604,75.9823,79.8678,81.4381,82.5795,82.6025,84.0292,85.2069,86.7013,87.2028,87.3059,94.3999,100.176,105.011,107.203,114.037,114.408,115.9,126.434,148.092,153.541,159.44,168.438,189.017,210.108
-8.68141,0.960818,0.209891,4,19,0,10.9225,0.259991,68.5683,0.188904,68.5683,0.259991,0.188904,70.6285,71.2549,72.2259,73.9279,74.2453,74.9626,74.9989,77.6417,78.0356,80.9893,82.1933,83.072,83.0897,84.192,85.1051,86.2678,86.659,86.7394,92.3227,96.9283,100.819,102.593,108.156,108.46,109.681,118.363,136.458,141.051,146.038,153.672,171.23,189.335
-8.42236,0.990773,0.209891,4,31,0,11.4126,0.381267,66.2201,0.17186,66.2201,0.381267,0.17186,69.0687,69.9295,71.2591,73.5762,74.0065,74.9769,75.026,78.5774,79.1037,83.0276,84.6162,85.7718,85.7951,87.2404,88.4344,89.9503,90.4592,90.5638,97.7737,103.656,108.586,110.823,117.803,118.182,119.707,130.482,152.669,158.256,164.306,173.539,194.664,216.327
-8.9381,0.927208,0.209891,4,15,0,10.4493,0.259754,65.2631,0.577555,65.2631,0.259754,0.577555,67.8838,68.6617,69.8531,71.9043,72.2822,73.1315,73.1743,76.2525,76.7053,80.061,81.411,82.3906,82.4103,83.6328,84.6407,85.9182,86.3466,86.4346,92.4822,97.3975,101.51,103.376,109.193,109.509,110.779,119.763,138.293,142.969,148.036,155.777,173.527,191.776
-7.39756,0.828972,0.209891,3,11,0,9.92717,0.32253,68.628,0.0295321,68.628,0.32253,0.0295321,71.077,71.8216,72.9754,74.9959,75.3725,76.223,76.266,79.3945,79.86,83.3446,84.7617,85.7948,85.8156,87.1101,88.1814,89.5438,90.0019,90.096,96.6133,101.964,106.468,108.517,114.927,115.276,116.68,126.631,147.242,152.452,158.101,166.733,186.531,206.883
-7.48995,0.996952,0.209891,3,15,0,7.65191,0.318188,69.1488,-0.0383935,69.1488,0.318188,-0.0383935,71.5851,72.326,73.4743,75.4856,75.8604,76.7072,76.7501,79.8657,80.3293,83.8011,85.2134,86.243,86.2637,87.5541,88.622,89.9803,90.437,90.5309,97.0308,102.369,106.864,108.91,115.31,115.658,117.06,126.999,147.593,152.8,158.446,167.076,186.871,207.224
-7.89786,0.991697,0.209891,4,31,0,8.38344,0.324231,64.6532,-0.588382,64.6532,0.324231,-0.588382,67.7317,68.6458,70.0456,72.4547,72.8983,73.8952,73.9454,77.5544,78.0848,82.0102,83.5868,84.7298,84.7528,86.1783,87.3526,88.8397,89.3381,89.4405,96.4602,102.145,106.888,109.036,115.719,116.082,117.539,127.817,148.909,154.212,159.952,168.709,188.736,209.268
