# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cc_model
# start_datetime = 2023-07-26 21:07:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/cc.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp7e5i_7u4/2v40dvxq.json
# random
#   seed = 43447
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cc/cc-20230726220713.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,lambda,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.309918
# Diagonal elements of inverse mass matrix:
# 0.00252188, 6.0314, 0.210285
-9.55655,0.99069,0.309918,3,11,0,10.9866,0.17695,69.5479,-0.719475,69.5479,0.17695,-0.719475,72.1473,72.9078,74.0642,76.0339,76.3942,77.2012,77.2418,80.1383,80.5611,83.6737,84.9166,85.8157,85.8338,86.9527,87.8729,89.0364,89.426,89.506,94.9755,99.3911,103.072,104.738,109.924,110.205,111.337,119.325,135.784,139.938,144.441,151.324,167.126,183.402
-7.76399,1,0.309918,3,7,0,9.67478,0.253893,68.8065,-0.453152,68.8065,0.253893,-0.453152,71.2242,71.9479,73.061,74.9897,75.3466,76.1505,76.191,79.1223,79.5557,82.782,84.0867,85.0355,85.0546,86.2413,87.2216,88.4664,88.8844,88.9703,94.8983,99.7468,103.821,105.673,111.464,111.779,113.047,122.033,140.662,145.377,150.491,158.314,176.278,194.779
-7.82304,0.988376,0.309918,4,31,0,8.09473,0.344358,66.0564,-0.405691,66.0564,0.344358,-0.405691,68.9368,69.8005,71.1296,73.4337,73.8601,74.8202,74.8687,78.3675,78.8842,82.7268,84.2779,85.405,85.4277,86.8358,87.998,89.4722,89.9669,90.0685,97.0635,102.758,107.525,109.687,116.429,116.795,118.267,128.669,150.081,155.473,161.314,170.227,190.628,211.558
-7.83754,0.93809,0.309918,3,7,0,9.04607,0.323408,64.8463,0.573661,64.8463,0.323408,0.573661,67.8902,68.7948,70.1806,72.5671,73.0069,73.995,74.0448,77.6245,78.1508,82.048,83.6141,84.7498,84.7727,86.1892,87.3564,88.8348,89.3304,89.4322,96.4148,102.073,106.796,108.935,115.594,115.955,117.407,127.651,148.684,153.974,159.7,168.437,188.421,208.913
-7.95321,0.910895,0.309918,4,15,0,8.62496,0.36939,66.0954,0.123434,66.0954,0.36939,0.123434,68.8218,69.6472,70.9234,73.1503,73.5643,74.4983,74.5455,77.9683,78.476,82.2659,83.802,84.92,84.9426,86.3416,87.4978,88.9663,89.4595,89.5609,96.5553,102.27,107.065,109.242,116.037,116.407,117.893,128.397,150.054,155.511,161.423,170.447,191.105,212.298
-8.15175,0.98808,0.309918,2,3,0,8.21661,0.376113,66.2992,0.0946467,66.2992,0.376113,0.0946467,69.0681,69.9064,71.2026,73.4644,73.8848,74.8334,74.8813,78.3573,78.8728,82.7207,84.2801,85.415,85.4378,86.8578,88.0313,89.5216,90.0221,90.125,97.2214,103.018,107.88,110.087,116.976,117.35,118.856,129.5,151.437,156.963,162.949,172.085,192.996,214.444
