lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,theta.1,theta.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.447001
# Diagonal elements of inverse mass matrix:
# 0.000213518, 0.033302
-50.1616,0.599284,0.447001,3,7,0,52.885,0.282304,0.169098,0.282304,0.169098,3.26251e+07,1.3705e+06,57571.6,23.8159,23.7565,23.7821,23.7813,23.7827,23.7733,23.7437,23.7759,23.7722,23.8794,23.8146,23.8785,23.8547,23.798,23.8247,23.8795,23.805,23.7492,23.8227,23.8208,23.8046,23.8103,23.8001,23.7997,23.7689,23.801,23.8376,23.8101,23.8049,23.8164,23.8065,23.8272,23.8011,23.8266,23.7849,23.7772,23.8185,23.8194,23.7804,23.6807
-52.0721,0.761574,0.447001,2,3,0,52.203,0.283163,0.278282,0.283163,0.278282,3.26409e+07,1.37083e+06,57571.6,23.8163,23.757,23.7829,23.7822,23.7837,23.7746,23.7452,23.7776,23.7741,23.8816,23.8169,23.8811,23.8574,23.801,23.828,23.883,23.8088,23.7533,23.8271,23.8255,23.8096,23.8157,23.8058,23.8057,23.7753,23.8078,23.8448,23.8177,23.813,23.8251,23.8156,23.8369,23.8113,23.8375,23.7964,23.7898,23.8318,23.8337,23.7963,23.6979
-51.8614,0.998154,0.447001,2,7,0,52.7009,0.280402,-0.288369,0.280402,-0.288369,3.26395e+07,1.3708e+06,57571.6,23.8162,23.757,23.7828,23.7822,23.7837,23.7745,23.7451,23.7775,23.774,23.8815,23.8168,23.8809,23.8573,23.8009,23.8278,23.8828,23.8086,23.753,23.8268,23.8251,23.8093,23.8153,23.8054,23.8052,23.7748,23.8073,23.8442,23.817,23.8123,23.8243,23.8147,23.8359,23.8103,23.8363,23.7951,23.7883,23.8302,23.8318,23.7938,23.6949
-50.4683,0.972544,0.447001,3,7,0,52.19,0.276847,0.234888,0.276847,0.234888,3.26268e+07,1.37054e+06,57571.6,23.8159,23.7566,23.7823,23.7815,23.7829,23.7736,23.7439,23.7762,23.7725,23.8798,23.815,23.8789,23.8551,23.7985,23.8253,23.88,23.8056,23.7498,23.8234,23.8215,23.8054,23.8111,23.8009,23.8005,23.7697,23.8019,23.8385,23.811,23.8059,23.8174,23.8075,23.8281,23.802,23.8274,23.7856,23.7779,23.819,23.8196,23.7801,23.6796
-51.0108,0.989865,0.447001,3,7,0,51.9917,0.288247,-0.19182,0.288247,-0.19182,3.26345e+07,1.3707e+06,57571.6,23.8161,23.7568,23.7825,23.7818,23.7832,23.774,23.7444,23.7767,23.7732,23.8806,23.8158,23.8799,23.8561,23.7996,23.8265,23.8814,23.8071,23.7514,23.8251,23.8233,23.8074,23.8133,23.8033,23.8031,23.7725,23.8049,23.8417,23.8145,23.8096,23.8215,23.8119,23.833,23.8074,23.8334,23.7922,23.7854,23.8273,23.8292,23.7918,23.6937
-50.3546,1,0.447001,2,3,0,50.8882,0.284829,-0.171542,0.284829,-0.171542,3.26283e+07,1.37057e+06,57571.6,23.8159,23.7566,23.7823,23.7815,23.7828,23.7735,23.7439,23.7761,23.7725,23.8798,23.815,23.8789,23.8551,23.7985,23.8253,23.8801,23.8057,23.7499,23.8235,23.8216,23.8055,23.8113,23.8012,23.8008,23.7701,23.8023,23.839,23.8116,23.8065,23.8182,23.8084,23.8292,23.8032,23.8289,23.7874,23.7801,23.8216,23.8228,23.7845,23.6854
-50.9292,0.990656,0.447001,3,15,0,51.4245,0.26309,-0.241008,0.26309,-0.241008,3.26115e+07,1.37022e+06,57571.6,23.8157,23.7562,23.7817,23.7808,23.782,23.7726,23.7428,23.7748,23.771,23.8781,23.8131,23.8769,23.8529,23.796,23.8226,23.8771,23.8025,23.7464,23.8196,23.8175,23.8011,23.8065,23.7959,23.7952,23.764,23.7958,23.8318,23.8039,23.7983,23.8091,23.7986,23.8186,23.7916,23.816,23.7733,23.7641,23.8037,23.8025,23.7597,23.6558
-51.211,0.796789,0.447001,3,7,0,54.3174,0.295888,-0.117504,0.295888,-0.117504,3.26363e+07,1.37074e+06,57571.6,23.8161,23.7568,23.7825,23.7818,23.7832,23.774,23.7445,23.7768,23.7732,23.8806,23.8159,23.8799,23.8562,23.7997,23.8266,23.8815,23.8072,23.7516,23.8253,23.8236,23.8077,23.8136,23.8037,23.8035,23.773,23.8055,23.8424,23.8153,23.8105,23.8225,23.8131,23.8343,23.8088,23.8351,23.7942,23.7878,23.8302,23.8326,23.7964,23.6995
-50.0025,1,0.447001,2,3,0,51.1526,0.277343,0.105632,0.277343,0.105632,3.26139e+07,1.37027e+06,57571.6,23.8156,23.7562,23.7817,23.7807,23.782,23.7725,23.7427,23.7748,23.7709,23.8781,23.8131,23.8768,23.8529,23.796,23.8226,23.8771,23.8025,23.7465,23.8197,23.8177,23.8013,23.8068,23.7963,23.7956,23.7645,23.7964,23.8326,23.8048,23.7993,23.8104,23.8001,23.8204,23.7938,23.8186,23.7764,23.7679,23.8083,23.8083,23.7676,23.6664
-50.0366,0.990203,0.447001,3,7,0,50.2127,0.280688,0.158188,0.280688,0.158188,3.26221e+07,1.37044e+06,57571.6,23.8158,23.7564,23.782,23.7812,23.7825,23.7731,23.7434,23.7756,23.7718,23.8791,23.8142,23.878,23.8542,23.7974,23.8241,23.8788,23.8043,23.7485,23.8219,23.8199,23.8037,23.8094,23.7991,23.7986,23.7677,23.7998,23.8362,23.8086,23.8034,23.8148,23.8048,23.8254,23.7991,23.8244,23.7826,23.7747,23.8157,23.8164,23.7769,23.6767
