# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-26 21:07:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpqyqz0r3g/up79hxi8.json
# random
#   seed = 4883
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/snia/snia-20230726220732.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,theta.1,theta.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.480519
# Diagonal elements of inverse mass matrix:
# 0.000193603, 0.0369917
-51.3885,0.881346,0.480519,2,7,0,52.8442,0.291513,-0.183,0.291513,-0.183,3.26373e+07,1.37076e+06,57571.6,23.8161,23.7568,23.7826,23.7819,23.7834,23.7741,23.7446,23.777,23.7734,23.8809,23.8161,23.8802,23.8565,23.8,23.8269,23.8819,23.8076,23.752,23.8257,23.824,23.8082,23.8141,23.8042,23.804,23.7735,23.806,23.8429,23.8158,23.811,23.823,23.8136,23.8348,23.8093,23.8355,23.7945,23.7879,23.8302,23.8324,23.7957,23.6983
-50.1364,1,0.480519,2,3,0,51.497,0.281017,0.173777,0.281017,0.173777,3.2624e+07,1.37048e+06,57571.6,23.8159,23.7565,23.7821,23.7813,23.7826,23.7733,23.7436,23.7758,23.7721,23.8793,23.8145,23.8784,23.8545,23.7978,23.8245,23.8793,23.8048,23.749,23.8224,23.8205,23.8043,23.81,23.7998,23.7993,23.7685,23.8006,23.8371,23.8096,23.8044,23.8159,23.8059,23.8266,23.8004,23.8258,23.784,23.7763,23.8174,23.8182,23.7789,23.679
-50.3462,0.83201,0.480519,3,7,0,51.4793,0.271147,-0.187388,0.271147,-0.187388,3.2614e+07,1.37027e+06,57571.6,23.8157,23.7562,23.7818,23.7808,23.7821,23.7726,23.7428,23.7749,23.7711,23.8782,23.8133,23.877,23.8531,23.7962,23.8228,23.8774,23.8027,23.7467,23.82,23.8179,23.8015,23.807,23.7965,23.7959,23.7647,23.7966,23.8328,23.8049,23.7994,23.8104,23.8001,23.8203,23.7935,23.8183,23.7758,23.7671,23.8072,23.8068,23.7653,23.663
-50.076,0.853013,0.480519,2,3,0,51.1856,0.276854,-0.0542412,0.276854,-0.0542412,3.26108e+07,1.3702e+06,57571.6,23.8156,23.7561,23.7816,23.7806,23.7818,23.7722,23.7424,23.7744,23.7706,23.8777,23.8126,23.8763,23.8523,23.7954,23.8219,23.8765,23.8018,23.7457,23.8189,23.8168,23.8003,23.8057,23.7952,23.7945,23.7633,23.7951,23.8312,23.8033,23.7978,23.8087,23.7983,23.8185,23.7918,23.8165,23.7741,23.7654,23.8057,23.8054,23.7644,23.6629
-49.8437,0.87291,0.480519,2,5,0,51.1927,0.288079,0.00471196,0.288079,0.00471196,3.26231e+07,1.37046e+06,57571.6,23.8158,23.7564,23.782,23.7811,23.7824,23.773,23.7433,23.7755,23.7718,23.879,23.8141,23.878,23.8541,23.7974,23.8241,23.8788,23.8043,23.7485,23.8219,23.82,23.8038,23.8094,23.7992,23.7987,23.7679,23.8,23.8365,23.809,23.8039,23.8154,23.8054,23.8262,23.8001,23.8256,23.7839,23.7765,23.8179,23.8191,23.7807,23.6817
-49.7871,0.999531,0.480519,2,7,0,49.885,0.286346,-0.0232074,0.286346,-0.0232074,3.26212e+07,1.37042e+06,57571.6,23.8158,23.7563,23.7819,23.781,23.7823,23.7729,23.7432,23.7753,23.7716,23.8788,23.8139,23.8777,23.8538,23.7971,23.8238,23.8784,23.8039,23.748,23.8214,23.8195,23.8032,23.8089,23.7986,23.7981,23.7672,23.7993,23.8357,23.8081,23.8029,23.8144,23.8044,23.825,23.7988,23.8242,23.7824,23.7748,23.816,23.817,23.7782,23.6789
-50.6859,0.915834,0.480519,2,3,0,50.8892,0.29033,-0.146879,0.29033,-0.146879,3.26323e+07,1.37065e+06,57571.6,23.816,23.7567,23.7824,23.7816,23.783,23.7738,23.7442,23.7765,23.7729,23.8802,23.8154,23.8794,23.8557,23.7991,23.8259,23.8808,23.8065,23.7508,23.8244,23.8226,23.8066,23.8125,23.8024,23.8022,23.7715,23.8039,23.8407,23.8134,23.8085,23.8203,23.8107,23.8317,23.806,23.832,23.7908,23.7839,23.8259,23.8277,23.7904,23.6925
-50.4657,0.225521,0.480519,2,3,0,55.2312,0.27333,0.0547177,0.27333,0.0547177,3.26067e+07,1.37012e+06,57571.6,23.8155,23.756,23.7814,23.7804,23.7815,23.772,23.7421,23.7741,23.7702,23.8772,23.8121,23.8757,23.8517,23.7947,23.8212,23.8757,23.8009,23.7448,23.8179,23.8157,23.7991,23.8045,23.7938,23.793,23.7617,23.7934,23.8294,23.8014,23.7957,23.8065,23.796,23.8159,23.789,23.8134,23.7708,23.7617,23.8016,23.8009,23.759,23.6566
