# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-26 21:07:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpqyqz0r3g/up79hxi8.json
# random
#   seed = 4883
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/snia/snia-20230726220732.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,theta.1,theta.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.458548
# Diagonal elements of inverse mass matrix:
# 0.000163262, 0.0265776
-50.526,0.987016,0.458548,3,15,0,50.8412,0.268373,0.260392,0.268373,0.260392,3.26207e+07,1.37041e+06,57571.6,23.8158,23.7565,23.7821,23.7812,23.7826,23.7732,23.7435,23.7757,23.772,23.8792,23.8144,23.8782,23.8543,23.7976,23.8243,23.879,23.8045,23.7486,23.822,23.82,23.8038,23.8094,23.7991,23.7985,23.7676,23.7996,23.8359,23.8082,23.8029,23.8141,23.8039,23.8243,23.7978,23.8227,23.7805,23.772,23.8124,23.8121,23.7708,23.6686
-50.3314,1,0.458548,3,7,0,50.5352,0.271202,0.21584,0.271202,0.21584,3.26175e+07,1.37034e+06,57571.6,23.8158,23.7563,23.7819,23.781,23.7823,23.7729,23.7432,23.7753,23.7715,23.8787,23.8138,23.8776,23.8537,23.7969,23.8235,23.8782,23.8036,23.7477,23.821,23.819,23.8027,23.8082,23.7978,23.7972,23.7662,23.7981,23.8344,23.8066,23.8012,23.8124,23.8021,23.8224,23.7958,23.8207,23.7784,23.7699,23.8102,23.81,23.7688,23.6668
-50.6514,0.998085,0.458548,2,3,0,50.6707,0.265509,0.272055,0.265509,0.272055,3.26192e+07,1.37038e+06,57571.6,23.8158,23.7564,23.7821,23.7812,23.7825,23.7731,23.7435,23.7756,23.7719,23.8791,23.8142,23.8781,23.8542,23.7974,23.8241,23.8788,23.8042,23.7483,23.8217,23.8197,23.8034,23.809,23.7986,23.7981,23.7671,23.799,23.8353,23.8076,23.8022,23.8133,23.8031,23.8233,23.7967,23.8215,23.7792,23.7705,23.8106,23.8101,23.7683,23.6654
-50.6514,2.1926e-07,0.458548,1,1,0,58.6616,0.265509,0.272055,0.265509,0.272055,3.26192e+07,1.37038e+06,57571.6,23.8158,23.7564,23.7821,23.7812,23.7825,23.7731,23.7435,23.7756,23.7719,23.8791,23.8142,23.8781,23.8542,23.7974,23.8241,23.8788,23.8042,23.7483,23.8217,23.8197,23.8034,23.809,23.7986,23.7981,23.7671,23.799,23.8353,23.8076,23.8022,23.8133,23.8031,23.8233,23.7967,23.8215,23.7792,23.7705,23.8106,23.8101,23.7683,23.6654
-50.032,0.997736,0.458548,3,9,0,50.669,0.290356,-0.0415919,0.290356,-0.0415919,3.26263e+07,1.37053e+06,57571.6,23.8159,23.7565,23.7821,23.7813,23.7826,23.7733,23.7436,23.7758,23.7721,23.8794,23.8145,23.8784,23.8546,23.7979,23.8247,23.8794,23.805,23.7492,23.8227,23.8208,23.8047,23.8104,23.8003,23.7999,23.7691,23.8013,23.8379,23.8105,23.8054,23.8171,23.8073,23.8281,23.8022,23.8279,23.7864,23.7792,23.8209,23.8224,23.7846,23.6862
-49.9699,0.977266,0.458548,3,7,0,50.5789,0.290143,-0.00540769,0.290143,-0.00540769,3.26255e+07,1.37051e+06,57571.6,23.8158,23.7565,23.7821,23.7812,23.7826,23.7732,23.7435,23.7757,23.772,23.8793,23.8144,23.8783,23.8545,23.7978,23.8245,23.8793,23.8048,23.749,23.8225,23.8206,23.8045,23.8102,23.8,23.7996,23.7688,23.801,23.8376,23.8101,23.8051,23.8167,23.8068,23.8277,23.8017,23.8273,23.7859,23.7786,23.8202,23.8217,23.7838,23.6853
