# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-26 21:07:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpqyqz0r3g/up79hxi8.json
# random
#   seed = 4883
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/snia/snia-20230726220732.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,theta.1,theta.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.418132
# Diagonal elements of inverse mass matrix:
# 0.000122903, 0.0304728
-51.9412,0.976383,0.418132,2,3,0,52.4575,0.287228,-0.245128,0.287228,-0.245128,3.26404e+07,1.37082e+06,57571.6,23.8162,23.757,23.7828,23.7821,23.7836,23.7745,23.745,23.7774,23.7739,23.8814,23.8167,23.8809,23.8572,23.8008,23.8277,23.8827,23.8086,23.753,23.8268,23.8251,23.8093,23.8153,23.8055,23.8053,23.7749,23.8075,23.8445,23.8174,23.8127,23.8247,23.8153,23.8366,23.8111,23.8373,23.7964,23.7898,23.8321,23.8342,23.7972,23.6994
-51.0977,1,0.418132,2,7,0,52.16,0.26978,-0.0209014,0.26978,-0.0209014,3.26017e+07,1.37001e+06,57571.6,23.8154,23.7558,23.7812,23.7801,23.7813,23.7716,23.7417,23.7736,23.7697,23.8766,23.8115,23.875,23.851,23.7938,23.8203,23.8747,23.7998,23.7436,23.8166,23.8143,23.7977,23.8029,23.7921,23.7913,23.7598,23.7914,23.8272,23.799,23.7932,23.8038,23.7931,23.8128,23.7856,23.8098,23.7668,23.7573,23.7968,23.7955,23.7527,23.6493
-50.9481,1,0.418132,1,1,0,51.1384,0.270483,-0.0344814,0.270483,-0.0344814,3.26028e+07,1.37003e+06,57571.6,23.8154,23.7558,23.7813,23.7802,23.7813,23.7717,23.7418,23.7737,23.7698,23.8767,23.8116,23.8752,23.8511,23.794,23.8205,23.8749,23.8001,23.7439,23.8169,23.8146,23.798,23.8033,23.7925,23.7916,23.7602,23.7918,23.8277,23.7995,23.7937,23.8044,23.7937,23.8135,23.7863,23.8105,23.7677,23.7582,23.7978,23.7966,23.754,23.6508
-49.8371,0.977738,0.418132,3,7,0,51.4487,0.281739,-0.0880085,0.281739,-0.0880085,3.2618e+07,1.37035e+06,57571.6,23.8157,23.7563,23.7818,23.7809,23.7822,23.7727,23.743,23.7751,23.7713,23.8785,23.8136,23.8773,23.8534,23.7966,23.8233,23.8779,23.8033,23.7474,23.8207,23.8187,23.8024,23.808,23.7976,23.797,23.766,23.798,23.8344,23.8067,23.8014,23.8126,23.8025,23.823,23.7966,23.8217,23.7797,23.7717,23.8125,23.813,23.7734,23.6731
-50.0075,0.988055,0.418132,3,7,0,50.2414,0.289224,0.0638662,0.289224,0.0638662,3.26257e+07,1.37051e+06,57571.6,23.8158,23.7565,23.7821,23.7813,23.7826,23.7732,23.7436,23.7758,23.7721,23.8793,23.8145,23.8784,23.8545,23.7978,23.8246,23.8793,23.8049,23.7491,23.8226,23.8207,23.8045,23.8103,23.8001,23.7997,23.7689,23.8011,23.8377,23.8102,23.8052,23.8168,23.8069,23.8277,23.8018,23.8274,23.7859,23.7786,23.8202,23.8216,23.7836,23.685
-50.2589,0.98994,0.418132,3,7,0,50.3438,0.290897,0.0875321,0.290897,0.0875321,3.26287e+07,1.37058e+06,57571.6,23.8159,23.7566,23.7822,23.7814,23.7828,23.7735,23.7438,23.7761,23.7724,23.8797,23.8149,23.8788,23.855,23.7984,23.8252,23.88,23.8056,23.7498,23.8233,23.8215,23.8054,23.8112,23.8011,23.8008,23.7701,23.8024,23.839,23.8117,23.8067,23.8184,23.8087,23.8296,23.8038,23.8296,23.7882,23.7812,23.823,23.8247,23.7871,23.689
-51.4306,0.857766,0.418132,2,7,0,54.2942,0.278227,0.28473,0.278227,0.28473,3.26363e+07,1.37074e+06,57571.6,23.8162,23.7569,23.7827,23.782,23.7835,23.7743,23.7448,23.7772,23.7736,23.8811,23.8164,23.8805,23.8568,23.8003,23.8272,23.8821,23.8079,23.7523,23.826,23.8243,23.8084,23.8143,23.8043,23.8041,23.7735,23.806,23.8428,23.8156,23.8107,23.8226,23.8129,23.8339,23.8082,23.834,23.7927,23.7855,23.8271,23.8284,23.7899,23.6904
