lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.16.1,S.17.1,S.18.1,S.19.1,S.20.1,S.21.1,S.22.1,S.23.1,S.24.1,S.25.1,S.26.1,S.27.1,S.28.1,S.29.1,S.30.1,S.31.1,S.32.1,S.33.1,S.34.1,S.35.1,S.36.1,S.37.1,S.38.1,S.39.1,S.40.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,S.16.2,S.17.2,S.18.2,S.19.2,S.20.2,S.21.2,S.22.2,S.23.2,S.24.2,S.25.2,S.26.2,S.27.2,S.28.2,S.29.2,S.30.2,S.31.2,S.32.2,S.33.2,S.34.2,S.35.2,S.36.2,S.37.2,S.38.2,S.39.2,S.40.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 1.08553
# Diagonal elements of inverse mass matrix:
# 0.000579896
-48.1374,0.996674,1.08553,2,3,0,48.1517,0.33385,0.386597,1,0,0.372906,1,1.0053,1.00738,1.01012,1.01269,1.01538,1.0186,1.02212,1.02549,1.02895,1.03286,1.0363,1.04133,1.04453,1.0503,1.05423,1.05992,1.06598,1.07181,1.07915,1.08588,1.09454,1.10275,1.11345,1.12233,1.13449,1.14738,1.16278,1.17834,1.19556,1.21942,1.24166,1.27056,1.30487,1.35174,1.39999,1.48635,1.58125,1.717,2.04047,2.52476,0.0139632,0.0193292,0.0262685,0.0326952,0.0393025,0.0470705,0.055401,0.063215,0.0711004,0.0798306,0.0873699,0.0981515,0.104863,0.116702,0.12459,0.135753,0.147325,0.158177,0.171474,0.183298,0.198067,0.211629,0.228686,0.242373,0.260452,0.278858,0.299897,0.32023,0.341715,0.369958,0.394827,0.425322,0.459186,0.501958,0.542451,0.607696,0.670978,0.749949,0.900934,1.06779,3.25983e+07,1.36994e+06,57571.6,23.8149,23.7552,23.7803,23.7791,23.78,23.7701,23.7399,23.7716,23.7675,23.8742,23.8089,23.8722,23.848,23.7906,23.8169,23.8711,23.796,23.7397,23.8126,23.8101,23.7933,23.7985,23.7877,23.7868,23.7554,23.787,23.8231,23.7952,23.7897,23.8009,23.7909,23.8116,23.7857,23.8118,23.771,23.7655,23.8095,23.8146,23.7855,23.6984
-48.1374,0.720825,1.08553,1,3,0,49.5423,0.33385,0.386597,1,0,0.372906,1,1.0053,1.00738,1.01012,1.01269,1.01538,1.0186,1.02212,1.02549,1.02895,1.03286,1.0363,1.04133,1.04453,1.0503,1.05423,1.05992,1.06598,1.07181,1.07915,1.08588,1.09454,1.10275,1.11345,1.12233,1.13449,1.14738,1.16278,1.17834,1.19556,1.21942,1.24166,1.27056,1.30487,1.35174,1.39999,1.48635,1.58125,1.717,2.04047,2.52476,0.0139632,0.0193292,0.0262685,0.0326952,0.0393025,0.0470705,0.055401,0.063215,0.0711004,0.0798306,0.0873699,0.0981515,0.104863,0.116702,0.12459,0.135753,0.147325,0.158177,0.171474,0.183298,0.198067,0.211629,0.228686,0.242373,0.260452,0.278858,0.299897,0.32023,0.341715,0.369958,0.394827,0.425322,0.459186,0.501958,0.542451,0.607696,0.670978,0.749949,0.900934,1.06779,3.25983e+07,1.36994e+06,57571.6,23.8149,23.7552,23.7803,23.7791,23.78,23.7701,23.7399,23.7716,23.7675,23.8742,23.8089,23.8722,23.848,23.7906,23.8169,23.8711,23.796,23.7397,23.8126,23.8101,23.7933,23.7985,23.7877,23.7868,23.7554,23.787,23.8231,23.7952,23.7897,23.8009,23.7909,23.8116,23.7857,23.8118,23.771,23.7655,23.8095,23.8146,23.7855,23.6984
-48.6052,0.903198,1.08553,1,3,0,48.6648,0.326741,0.389313,1,0,0.363378,1,1.00516,1.00719,1.00986,1.01237,1.01499,1.01813,1.02156,1.02484,1.02822,1.03203,1.03538,1.04029,1.04341,1.04903,1.05286,1.05841,1.06432,1.07001,1.07718,1.08374,1.09219,1.10021,1.11065,1.11932,1.1312,1.1438,1.15884,1.17406,1.19089,1.21425,1.23601,1.26432,1.29794,1.34391,1.39127,1.47612,1.56946,1.70313,2.02211,2.50033,0.0139642,0.019331,0.0262719,0.0327004,0.03931,0.0470814,0.055416,0.0632346,0.0711254,0.0798622,0.0874079,0.0981997,0.104919,0.116771,0.124669,0.135847,0.147436,0.158306,0.171626,0.183473,0.198272,0.211864,0.228962,0.242685,0.260814,0.279277,0.300384,0.320789,0.342355,0.370713,0.395692,0.426332,0.46037,0.503381,0.544119,0.609795,0.673534,0.753124,0.905413,1.07384,3.25902e+07,1.36977e+06,57571.6,23.8148,23.755,23.7801,23.7787,23.7796,23.7696,23.7394,23.771,23.7667,23.8733,23.808,23.8711,23.8468,23.7893,23.8156,23.8696,23.7944,23.7379,23.8106,23.8081,23.7911,23.7961,23.785,23.784,23.7524,23.7838,23.8196,23.7914,23.7856,23.7965,23.7861,23.8064,23.7801,23.8057,23.7644,23.758,23.8012,23.8054,23.7747,23.6862
-49.2314,0.865873,1.08553,1,1,0,49.2504,0.322304,0.391,1,0,0.35747,1,1.00508,1.00708,1.0097,1.01217,1.01475,1.01784,1.02121,1.02444,1.02776,1.03151,1.03481,1.03964,1.04271,1.04824,1.05201,1.05748,1.06329,1.06889,1.07595,1.08241,1.09073,1.09862,1.10891,1.11745,1.12915,1.14157,1.15639,1.17139,1.18799,1.21102,1.23249,1.26042,1.29362,1.33902,1.38582,1.46971,1.56207,1.69443,2.01058,2.48497,0.0139647,0.0193321,0.0262739,0.0327036,0.0393147,0.0470881,0.0554253,0.0632468,0.0711409,0.0798819,0.0874315,0.0982297,0.104953,0.116814,0.124718,0.135905,0.147505,0.158386,0.17172,0.183581,0.198399,0.212011,0.229134,0.242879,0.26104,0.279537,0.300688,0.321137,0.342754,0.371186,0.396233,0.426964,0.461111,0.504273,0.545166,0.611115,0.675143,0.755127,0.908246,1.07768,3.25851e+07,1.36966e+06,57571.6,23.8147,23.7548,23.7799,23.7785,23.7793,23.7693,23.739,23.7706,23.7662,23.8728,23.8074,23.8704,23.8461,23.7885,23.8147,23.8687,23.7934,23.7368,23.8094,23.8068,23.7897,23.7946,23.7834,23.7822,23.7505,23.7818,23.8174,23.789,23.7831,23.7937,23.7832,23.8032,23.7766,23.8018,23.7602,23.7533,23.796,23.7996,23.7679,23.6784
-48.1238,1,1.08553,2,3,0,49.1274,0.335999,0.385773,1,0,0.375802,1,1.00534,1.00744,1.0102,1.01279,1.0155,1.01875,1.02229,1.02569,1.02917,1.03311,1.03658,1.04165,1.04487,1.05068,1.05464,1.06038,1.06648,1.07235,1.07975,1.08653,1.09525,1.10352,1.11429,1.12324,1.13549,1.14847,1.16397,1.17964,1.19697,1.22099,1.24337,1.27245,1.30696,1.3541,1.40262,1.48943,1.5848,1.72118,2.04599,2.5321,0.0139629,0.0193287,0.0262675,0.0326937,0.0393002,0.0470673,0.0553964,0.063209,0.0710928,0.079821,0.0873584,0.0981369,0.104847,0.116681,0.124566,0.135725,0.147291,0.158138,0.171428,0.183246,0.198004,0.211558,0.228602,0.242278,0.260342,0.278732,0.29975,0.320061,0.341521,0.36973,0.394566,0.425017,0.458828,0.501529,0.541949,0.607065,0.67021,0.748997,0.899594,1.06598,3.26008e+07,1.36999e+06,57571.6,23.8149,23.7552,23.7804,23.7792,23.7801,23.7703,23.7401,23.7719,23.7677,23.8745,23.8092,23.8725,23.8483,23.791,23.8173,23.8715,23.7965,23.7402,23.8131,23.8107,23.794,23.7992,23.7885,23.7876,23.7563,23.788,23.8241,23.7963,23.7909,23.8023,23.7923,23.8132,23.7874,23.8137,23.773,23.7678,23.8119,23.8173,23.7887,23.7021
-48.5549,0.892752,1.08553,1,3,0,48.7127,0.327203,0.389137,1,0,0.363995,1,1.00517,1.00721,1.00988,1.01239,1.01502,1.01816,1.0216,1.02488,1.02826,1.03208,1.03544,1.04036,1.04348,1.04911,1.05295,1.05851,1.06443,1.07012,1.0773,1.08388,1.09234,1.10037,1.11083,1.11952,1.13141,1.14403,1.1591,1.17434,1.1912,1.21458,1.23638,1.26472,1.29839,1.34442,1.39184,1.47678,1.57023,1.70404,2.02331,2.50192,0.0139641,0.0193309,0.0262716,0.0327001,0.0393095,0.0470807,0.055415,0.0632334,0.0711237,0.0798602,0.0874055,0.0981966,0.104915,0.116767,0.124664,0.135841,0.147429,0.158298,0.171616,0.183462,0.198258,0.211849,0.228944,0.242664,0.260791,0.279249,0.300352,0.320752,0.342313,0.370664,0.395636,0.426266,0.460293,0.503288,0.54401,0.609658,0.673367,0.752917,0.90512,1.07345,3.25907e+07,1.36978e+06,57571.6,23.8148,23.755,23.7801,23.7787,23.7796,23.7697,23.7394,23.771,23.7668,23.8734,23.808,23.8712,23.8469,23.7894,23.8156,23.8697,23.7945,23.7381,23.8108,23.8082,23.7912,23.7963,23.7852,23.7842,23.7526,23.784,23.8198,23.7916,23.7859,23.7968,23.7864,23.8068,23.7805,23.8061,23.7648,23.7585,23.8017,23.806,23.7754,23.687
-48.4211,1,1.08553,1,1,0,48.5662,0.328583,0.388611,1,0,0.365841,1,1.0052,1.00724,1.00993,1.01245,1.01509,1.01825,1.02171,1.02501,1.02841,1.03224,1.03562,1.04056,1.0437,1.04936,1.05322,1.0588,1.06475,1.07047,1.07769,1.08429,1.0928,1.10086,1.11137,1.1201,1.13205,1.14473,1.15986,1.17517,1.1921,1.21559,1.23748,1.26594,1.29974,1.34594,1.39353,1.47877,1.57252,1.70674,2.02689,2.50668,0.0139639,0.0193306,0.026271,0.0326991,0.0393081,0.0470786,0.0554121,0.0632296,0.0711189,0.0798541,0.0873981,0.0981873,0.104904,0.116753,0.124648,0.135823,0.147407,0.158273,0.171587,0.183428,0.198218,0.211803,0.228891,0.242604,0.26072,0.279168,0.300258,0.320644,0.342189,0.370518,0.395468,0.42607,0.460062,0.503011,0.543685,0.609249,0.672869,0.752298,0.904245,1.07226,3.25923e+07,1.36981e+06,57571.6,23.8148,23.755,23.7801,23.7788,23.7797,23.7698,23.7395,23.7711,23.7669,23.8736,23.8082,23.8714,23.8471,23.7897,23.8159,23.87,23.7948,23.7384,23.8111,23.8086,23.7917,23.7967,23.7857,23.7847,23.7531,23.7846,23.8205,23.7924,23.7867,23.7976,23.7874,23.8078,23.7816,23.8072,23.7661,23.76,23.8034,23.8078,23.7775,23.6894
-48.3078,1,1.08553,1,1,0,48.4164,0.330026,0.38806,1,0,0.367772,1,1.00522,1.00728,1.00998,1.01252,1.01517,1.01835,1.02182,1.02514,1.02855,1.03241,1.03581,1.04077,1.04393,1.04961,1.05349,1.05911,1.06508,1.07084,1.07809,1.08473,1.09327,1.10138,1.11194,1.12071,1.13272,1.14545,1.16066,1.17604,1.19305,1.21664,1.23862,1.2672,1.30114,1.34753,1.3953,1.48085,1.57492,1.70955,2.03061,2.51164,0.0139637,0.0193302,0.0262703,0.032698,0.0393066,0.0470764,0.0554091,0.0632256,0.0711138,0.0798477,0.0873904,0.0981775,0.104893,0.116739,0.124632,0.135804,0.147385,0.158247,0.171556,0.183392,0.198177,0.211756,0.228835,0.242541,0.260647,0.279083,0.300159,0.320531,0.342059,0.370364,0.395292,0.425865,0.459822,0.502722,0.543347,0.608823,0.672349,0.751652,0.903334,1.07103,3.2594e+07,1.36985e+06,57571.6,23.8148,23.7551,23.7802,23.7789,23.7798,23.7699,23.7396,23.7713,23.7671,23.8737,23.8084,23.8716,23.8473,23.7899,23.8162,23.8703,23.7952,23.7388,23.8115,23.809,23.7921,23.7972,23.7863,23.7853,23.7538,23.7853,23.8212,23.7931,23.7875,23.7985,23.7883,23.8088,23.7827,23.8085,23.7674,23.7615,23.805,23.8096,23.7797,23.6918
-48.2309,0.968065,1.08553,1,3,0,48.5988,0.339571,0.3844,1,0,0.380627,1,1.00541,1.00753,1.01033,1.01296,1.0157,1.01899,1.02258,1.02601,1.02955,1.03353,1.03705,1.04218,1.04544,1.05132,1.05533,1.06114,1.06732,1.07326,1.08075,1.08761,1.09644,1.10481,1.11571,1.12476,1.13715,1.15028,1.16595,1.1818,1.19932,1.2236,1.24621,1.27558,1.31044,1.35803,1.40699,1.49455,1.59069,1.7281,2.05513,2.54425,0.0139625,0.0193278,0.0262658,0.0326911,0.0392964,0.0470618,0.0553888,0.0631991,0.0710802,0.0798051,0.0873392,0.0981126,0.104819,0.116647,0.124526,0.135677,0.147235,0.158073,0.171351,0.183158,0.197901,0.211439,0.228463,0.242121,0.26016,0.278521,0.299505,0.319781,0.3412,0.369351,0.394132,0.424511,0.458236,0.500819,0.541117,0.606021,0.668941,0.747424,0.897382,1.063,3.26048e+07,1.37008e+06,57571.6,23.815,23.7553,23.7806,23.7793,23.7803,23.7705,23.7404,23.7722,23.7681,23.8749,23.8097,23.873,23.8489,23.7916,23.818,23.8723,23.7974,23.7411,23.8141,23.8118,23.7952,23.8005,23.7898,23.789,23.7578,23.7897,23.8259,23.7982,23.793,23.8045,23.7947,23.8157,23.7902,23.8167,23.7764,23.7715,23.8161,23.8219,23.7941,23.7082
-48.2289,0.960479,1.08553,2,3,0,48.5582,0.331322,0.387565,1,0,0.369509,1,1.00525,1.00731,1.01003,1.01258,1.01524,1.01843,1.02192,1.02526,1.02869,1.03256,1.03598,1.04096,1.04413,1.04985,1.05374,1.05938,1.06539,1.07117,1.07845,1.08512,1.0937,1.10184,1.11245,1.12126,1.13332,1.14611,1.16138,1.17682,1.1939,1.21758,1.23965,1.26834,1.30241,1.34896,1.39689,1.48271,1.57706,1.71208,2.03396,2.5161,0.0139636,0.0193299,0.0262697,0.0326971,0.0393052,0.0470744,0.0554063,0.063222,0.0711093,0.0798419,0.0873835,0.0981687,0.104883,0.116727,0.124618,0.135786,0.147364,0.158223,0.171528,0.183361,0.19814,0.211713,0.228784,0.242484,0.260581,0.279007,0.30007,0.320429,0.341942,0.370227,0.395135,0.425681,0.459606,0.502463,0.543043,0.60844,0.671884,0.751074,0.902518,1.06993,3.25954e+07,1.36988e+06,57571.6,23.8148,23.7551,23.7802,23.7789,23.7798,23.77,23.7397,23.7714,23.7672,23.8739,23.8086,23.8718,23.8476,23.7902,23.8164,23.8705,23.7955,23.7391,23.8119,23.8094,23.7925,23.7977,23.7867,23.7858,23.7543,23.7859,23.8218,23.7938,23.7883,23.7994,23.7892,23.8098,23.7837,23.8096,23.7687,23.7629,23.8065,23.8113,23.7817,23.6941
