lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.16.1,S.17.1,S.18.1,S.19.1,S.20.1,S.21.1,S.22.1,S.23.1,S.24.1,S.25.1,S.26.1,S.27.1,S.28.1,S.29.1,S.30.1,S.31.1,S.32.1,S.33.1,S.34.1,S.35.1,S.36.1,S.37.1,S.38.1,S.39.1,S.40.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,S.16.2,S.17.2,S.18.2,S.19.2,S.20.2,S.21.2,S.22.2,S.23.2,S.24.2,S.25.2,S.26.2,S.27.2,S.28.2,S.29.2,S.30.2,S.31.2,S.32.2,S.33.2,S.34.2,S.35.2,S.36.2,S.37.2,S.38.2,S.39.2,S.40.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.92523
# Diagonal elements of inverse mass matrix:
# 0.000903198
-48.3273,1,0.92523,1,1,0,48.4978,0.341121,0.383803,1,0,0.382727,1,1.00544,1.00758,1.01038,1.01303,1.01579,1.01909,1.0227,1.02616,1.02971,1.03372,1.03725,1.04241,1.04569,1.0516,1.05563,1.06147,1.06768,1.07366,1.08119,1.08808,1.09695,1.10537,1.11632,1.12542,1.13787,1.15107,1.16682,1.18274,1.20033,1.22473,1.24744,1.27694,1.31195,1.35973,1.40889,1.49677,1.59324,1.73109,2.05909,2.5495,0.0139623,0.0193274,0.0262651,0.0326899,0.0392948,0.0470594,0.0553855,0.0631947,0.0710747,0.0797981,0.0873309,0.098102,0.104807,0.116632,0.124509,0.135657,0.147211,0.158045,0.171318,0.183119,0.197856,0.211388,0.228402,0.242053,0.26008,0.27843,0.299399,0.319659,0.341061,0.369187,0.393944,0.424292,0.45798,0.500511,0.540757,0.605569,0.668392,0.746744,0.896427,1.06171,3.26066e+07,1.37011e+06,57571.6,23.8151,23.7554,23.7806,23.7794,23.7804,23.7706,23.7405,23.7723,23.7683,23.8751,23.8099,23.8733,23.8491,23.7919,23.8183,23.8726,23.7977,23.7415,23.8145,23.8122,23.7957,23.801,23.7904,23.7896,23.7585,23.7904,23.8267,23.799,23.7939,23.8055,23.7957,23.8169,23.7914,23.8181,23.7778,23.7731,23.8178,23.8239,23.7964,23.7108
-48.2199,0.840469,0.92523,2,3,0,49.3817,0.331498,0.387497,1,0,0.369745,1,1.00525,1.00732,1.01003,1.01259,1.01525,1.01845,1.02194,1.02527,1.02871,1.03258,1.036,1.04099,1.04416,1.04988,1.05378,1.05942,1.06543,1.07121,1.0785,1.08517,1.09376,1.10191,1.11252,1.12133,1.1334,1.1462,1.16147,1.17693,1.19401,1.21771,1.23979,1.26849,1.30258,1.34915,1.39711,1.48297,1.57736,1.71242,2.03441,2.5167,0.0139635,0.0193298,0.0262696,0.032697,0.039305,0.0470741,0.0554059,0.0632215,0.0711087,0.0798411,0.0873825,0.0981675,0.104882,0.116725,0.124616,0.135784,0.147362,0.15822,0.171524,0.183356,0.198134,0.211707,0.228777,0.242476,0.260572,0.278997,0.300058,0.320415,0.341927,0.370208,0.395113,0.425656,0.459577,0.502428,0.543001,0.608389,0.67182,0.750995,0.902408,1.06978,3.25956e+07,1.36988e+06,57571.6,23.8149,23.7551,23.7802,23.779,23.7798,23.77,23.7397,23.7714,23.7672,23.8739,23.8086,23.8718,23.8476,23.7902,23.8165,23.8706,23.7955,23.7391,23.8119,23.8094,23.7926,23.7977,23.7868,23.7858,23.7544,23.786,23.8219,23.7939,23.7884,23.7995,23.7893,23.8099,23.7839,23.8098,23.7688,23.763,23.8067,23.8115,23.782,23.6944
-48.7617,0.93687,0.92523,2,3,0,48.8004,0.345504,0.382111,1,0,0.388686,1,1.00552,1.00769,1.01055,1.01323,1.01603,1.01939,1.02305,1.02656,1.03017,1.03424,1.03782,1.04306,1.04639,1.05239,1.05649,1.06241,1.06871,1.07478,1.08242,1.08941,1.09841,1.10695,1.11806,1.12729,1.13991,1.15329,1.16926,1.18539,1.20322,1.22793,1.25093,1.28079,1.31621,1.36454,1.41424,1.50303,1.60044,1.73954,2.07024,2.56431,0.0139617,0.0193262,0.026263,0.0326867,0.0392901,0.0470527,0.0553761,0.0631825,0.0710591,0.0797784,0.0873072,0.0980719,0.104772,0.116589,0.12446,0.135598,0.147142,0.157965,0.171224,0.183011,0.197729,0.211242,0.228231,0.24186,0.259856,0.278172,0.299098,0.319315,0.340667,0.368723,0.393413,0.423673,0.457256,0.499643,0.539742,0.604296,0.666846,0.744832,0.893746,1.05811,3.26116e+07,1.37022e+06,57571.6,23.8151,23.7555,23.7808,23.7796,23.7807,23.771,23.7409,23.7728,23.7687,23.8756,23.8105,23.8739,23.8499,23.7927,23.8192,23.8736,23.7987,23.7426,23.8157,23.8135,23.7971,23.8025,23.792,23.7914,23.7604,23.7924,23.8289,23.8014,23.7964,23.8082,23.7987,23.82,23.7949,23.8218,23.7819,23.7777,23.8229,23.8294,23.8029,23.7182
-48.2273,1,0.92523,1,3,0,48.6091,0.339502,0.384427,1,0,0.380534,1,1.00541,1.00753,1.01032,1.01295,1.0157,1.01898,1.02257,1.02601,1.02954,1.03353,1.03704,1.04217,1.04543,1.05131,1.05532,1.06112,1.0673,1.07324,1.08073,1.08759,1.09641,1.10478,1.11568,1.12473,1.13712,1.15025,1.16592,1.18176,1.19927,1.22355,1.24615,1.27552,1.31037,1.35795,1.40691,1.49445,1.59058,1.72796,2.05496,2.54401,0.0139625,0.0193278,0.0262659,0.0326911,0.0392965,0.0470619,0.0553889,0.0631993,0.0710804,0.0798054,0.0873396,0.098113,0.104819,0.116647,0.124527,0.135678,0.147236,0.158075,0.171353,0.183159,0.197903,0.211442,0.228466,0.242124,0.260163,0.278526,0.29951,0.319786,0.341207,0.369358,0.394141,0.424521,0.458248,0.500832,0.541133,0.606041,0.668965,0.747454,0.897424,1.06305,3.26048e+07,1.37007e+06,57571.6,23.815,23.7553,23.7806,23.7793,23.7803,23.7705,23.7404,23.7722,23.7681,23.8749,23.8097,23.873,23.8489,23.7916,23.818,23.8723,23.7974,23.7411,23.8141,23.8118,23.7951,23.8004,23.7898,23.789,23.7578,23.7896,23.8259,23.7982,23.7929,23.8045,23.7947,23.8157,23.7902,23.8167,23.7763,23.7714,23.816,23.8218,23.794,23.7081
-48.2581,0.991314,0.92523,1,1,0,48.2819,0.34006,0.384212,1,0,0.38129,1,1.00542,1.00755,1.01035,1.01298,1.01573,1.01902,1.02262,1.02606,1.0296,1.03359,1.03711,1.04225,1.04552,1.05141,1.05543,1.06124,1.06743,1.07339,1.08089,1.08776,1.0966,1.10498,1.1159,1.12497,1.13738,1.15053,1.16623,1.1821,1.19964,1.22395,1.2466,1.27601,1.31092,1.35857,1.40759,1.49525,1.5915,1.72904,2.05638,2.54591,0.0139624,0.0193276,0.0262656,0.0326907,0.0392959,0.047061,0.0553877,0.0631977,0.0710784,0.0798029,0.0873366,0.0981092,0.104815,0.116642,0.124521,0.135671,0.147227,0.158065,0.171341,0.183145,0.197887,0.211423,0.228444,0.242099,0.260135,0.278493,0.299471,0.319742,0.341156,0.369299,0.394073,0.424442,0.458155,0.500721,0.541003,0.605878,0.668767,0.747209,0.89708,1.06259,3.26054e+07,1.37009e+06,57571.6,23.815,23.7553,23.7806,23.7794,23.7804,23.7706,23.7405,23.7722,23.7681,23.875,23.8097,23.8731,23.849,23.7917,23.8181,23.8724,23.7975,23.7412,23.8142,23.8119,23.7953,23.8006,23.79,23.7892,23.758,23.7899,23.8262,23.7985,23.7933,23.8048,23.795,23.8161,23.7906,23.8172,23.7768,23.772,23.8166,23.8225,23.7948,23.709
-48.1384,1,0.92523,2,3,0,48.2356,0.333798,0.386617,1,0,0.372836,1,1.0053,1.00738,1.01012,1.01269,1.01538,1.0186,1.02212,1.02548,1.02895,1.03285,1.0363,1.04133,1.04452,1.05029,1.05422,1.05991,1.06596,1.07179,1.07914,1.08586,1.09452,1.10273,1.11343,1.12231,1.13447,1.14736,1.16275,1.17831,1.19552,1.21939,1.24162,1.27051,1.30482,1.35168,1.39993,1.48627,1.58116,1.7169,2.04034,2.52458,0.0139632,0.0193292,0.0262686,0.0326953,0.0393026,0.0470706,0.0554011,0.0632151,0.0711006,0.0798309,0.0873702,0.0981519,0.104864,0.116703,0.124591,0.135754,0.147326,0.158178,0.171475,0.1833,0.198068,0.211631,0.228688,0.242375,0.260454,0.278861,0.2999,0.320234,0.34172,0.369964,0.394833,0.425329,0.459194,0.501968,0.542463,0.607711,0.670996,0.749972,0.900967,1.06783,3.25983e+07,1.36994e+06,57571.6,23.8149,23.7552,23.7803,23.7791,23.78,23.7701,23.7399,23.7716,23.7675,23.8742,23.8089,23.8722,23.848,23.7906,23.8169,23.8711,23.796,23.7397,23.8125,23.8101,23.7933,23.7985,23.7876,23.7868,23.7554,23.787,23.8231,23.7951,23.7897,23.8009,23.7908,23.8116,23.7857,23.8118,23.771,23.7655,23.8094,23.8145,23.7854,23.6983
-48.1976,0.741532,0.92523,2,3,0,49.9279,0.33888,0.384666,1,0,0.379692,1,1.00539,1.00752,1.0103,1.01292,1.01566,1.01894,1.02252,1.02595,1.02947,1.03345,1.03696,1.04208,1.04533,1.0512,1.0552,1.06099,1.06715,1.07309,1.08056,1.0874,1.09621,1.10456,1.11543,1.12447,1.13683,1.14993,1.16557,1.18138,1.19886,1.22309,1.24566,1.27498,1.30977,1.35727,1.40615,1.49356,1.58955,1.72676,2.05337,2.5419,0.0139626,0.0193279,0.0262662,0.0326916,0.0392972,0.0470628,0.0553903,0.063201,0.0710826,0.0798081,0.0873429,0.0981173,0.104824,0.116653,0.124534,0.135686,0.147246,0.158086,0.171366,0.183175,0.197921,0.211462,0.22849,0.242151,0.260195,0.278562,0.299552,0.319835,0.341262,0.369424,0.394216,0.424609,0.458351,0.500956,0.541278,0.606222,0.669186,0.747727,0.897808,1.06357,3.26041e+07,1.37006e+06,57571.6,23.815,23.7553,23.7805,23.7793,23.7803,23.7705,23.7404,23.7721,23.768,23.8748,23.8096,23.8729,23.8488,23.7915,23.8179,23.8721,23.7972,23.741,23.8139,23.8116,23.7949,23.8002,23.7895,23.7888,23.7575,23.7894,23.8256,23.7979,23.7926,23.8041,23.7942,23.8152,23.7897,23.8161,23.7757,23.7708,23.8153,23.821,23.793,23.707
-48.2076,0.99906,0.92523,2,3,0,48.2269,0.339101,0.384581,1,0,0.379992,1,1.0054,1.00752,1.01031,1.01293,1.01568,1.01896,1.02254,1.02597,1.0295,1.03348,1.03699,1.04211,1.04537,1.05124,1.05524,1.06104,1.0672,1.07314,1.08062,1.08747,1.09628,1.10464,1.11552,1.12456,1.13693,1.15004,1.16569,1.18152,1.19901,1.22325,1.24583,1.27517,1.30998,1.35751,1.40642,1.49388,1.58992,1.72719,2.05393,2.54265,0.0139625,0.0193279,0.0262661,0.0326914,0.0392969,0.0470625,0.0553898,0.0632004,0.0710818,0.0798072,0.0873417,0.0981158,0.104822,0.116651,0.124532,0.135683,0.147242,0.158082,0.171361,0.183169,0.197915,0.211455,0.228481,0.242142,0.260184,0.278549,0.299537,0.319817,0.341243,0.369401,0.394189,0.424578,0.458314,0.500912,0.541226,0.606158,0.669107,0.74763,0.897672,1.06339,3.26043e+07,1.37006e+06,57571.6,23.815,23.7553,23.7805,23.7793,23.7803,23.7705,23.7404,23.7721,23.768,23.8748,23.8096,23.873,23.8488,23.7916,23.8179,23.8722,23.7973,23.741,23.814,23.8117,23.795,23.8003,23.7896,23.7888,23.7576,23.7895,23.8257,23.798,23.7927,23.8042,23.7944,23.8154,23.7898,23.8163,23.7759,23.771,23.8155,23.8213,23.7934,23.7074
-48.1611,0.987891,0.92523,1,3,0,48.2929,0.332932,0.386949,1,0,0.371672,1,1.00528,1.00736,1.01008,1.01265,1.01533,1.01854,1.02205,1.02541,1.02886,1.03275,1.03618,1.0412,1.04439,1.05013,1.05405,1.05972,1.06576,1.07157,1.0789,1.0856,1.09423,1.10242,1.11308,1.12194,1.13407,1.14692,1.16227,1.17779,1.19495,1.21876,1.24093,1.26975,1.30397,1.35073,1.39887,1.48503,1.57973,1.71522,2.03811,2.52162,0.0139633,0.0193295,0.026269,0.0326959,0.0393035,0.0470719,0.0554029,0.0632175,0.0711036,0.0798347,0.0873749,0.0981578,0.104871,0.116711,0.1246,0.135765,0.147339,0.158194,0.171494,0.183321,0.198093,0.211659,0.228722,0.242413,0.260499,0.278912,0.29996,0.320302,0.341797,0.370056,0.394939,0.425452,0.459338,0.502141,0.542666,0.607966,0.671306,0.750357,0.901508,1.06856,3.25973e+07,1.36992e+06,57571.6,23.8149,23.7551,23.7803,23.779,23.7799,23.7701,23.7399,23.7716,23.7674,23.8741,23.8088,23.872,23.8478,23.7904,23.8167,23.8709,23.7958,23.7395,23.8123,23.8099,23.7931,23.7982,23.7873,23.7864,23.755,23.7866,23.8226,23.7947,23.7892,23.8004,23.7903,23.8109,23.785,23.811,23.7702,23.7645,23.8084,23.8134,23.7841,23.6969
-48.9693,0.83234,0.92523,1,3,0,49.0187,0.323946,0.390376,1,0,0.359654,1,1.00511,1.00712,1.00976,1.01224,1.01484,1.01794,1.02134,1.02459,1.02793,1.0317,1.03502,1.03988,1.04297,1.04853,1.05233,1.05782,1.06367,1.0693,1.0764,1.0829,1.09127,1.09921,1.10955,1.11814,1.12991,1.14239,1.1573,1.17238,1.18906,1.21221,1.23379,1.26186,1.29522,1.34083,1.38784,1.47208,1.56481,1.69766,2.01486,2.49066,0.0139645,0.0193317,0.0262732,0.0327025,0.039313,0.0470856,0.0554219,0.0632423,0.0711351,0.0798746,0.0874228,0.0982186,0.10494,0.116798,0.124699,0.135884,0.147479,0.158356,0.171685,0.183541,0.198352,0.211956,0.229071,0.242807,0.260957,0.279441,0.300575,0.321008,0.342606,0.371011,0.396033,0.42673,0.460837,0.503942,0.544778,0.610625,0.674546,0.754384,0.907194,1.07626,3.2587e+07,1.3697e+06,57571.6,23.8147,23.7549,23.78,23.7786,23.7794,23.7694,23.7391,23.7707,23.7664,23.873,23.8076,23.8707,23.8464,23.7888,23.815,23.869,23.7938,23.7372,23.8099,23.8072,23.7902,23.7952,23.784,23.7829,23.7512,23.7825,23.8182,23.7899,23.784,23.7948,23.7843,23.8044,23.7779,23.8032,23.7617,23.7551,23.7979,23.8018,23.7705,23.6813
