# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-21 15:11:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprjh8q11q/s816ob2p.json
# random
#   seed = 50981
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/snia/snia-20230721161155.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.7.1,S.8.1,S.9.1,S.10.1,S.11.1,S.12.1,S.13.1,S.14.1,S.15.1,S.16.1,S.17.1,S.18.1,S.19.1,S.20.1,S.21.1,S.22.1,S.23.1,S.24.1,S.25.1,S.26.1,S.27.1,S.28.1,S.29.1,S.30.1,S.31.1,S.32.1,S.33.1,S.34.1,S.35.1,S.36.1,S.37.1,S.38.1,S.39.1,S.40.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,S.7.2,S.8.2,S.9.2,S.10.2,S.11.2,S.12.2,S.13.2,S.14.2,S.15.2,S.16.2,S.17.2,S.18.2,S.19.2,S.20.2,S.21.2,S.22.2,S.23.2,S.24.2,S.25.2,S.26.2,S.27.2,S.28.2,S.29.2,S.30.2,S.31.2,S.32.2,S.33.2,S.34.2,S.35.2,S.36.2,S.37.2,S.38.2,S.39.2,S.40.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.881971
# Diagonal elements of inverse mass matrix:
# 0.00064807
-49.8956,0.712346,0.881971,1,3,0,50.6525,0.318868,0.392302,1,0,0.352914,1,1.00501,1.00699,1.00958,1.01202,1.01456,1.01761,1.02094,1.02413,1.02741,1.03111,1.03437,1.03914,1.04217,1.04763,1.05136,1.05675,1.0625,1.06803,1.075,1.08138,1.0896,1.0974,1.10756,1.11601,1.12757,1.13984,1.1545,1.16933,1.18574,1.20852,1.22977,1.25741,1.29026,1.33522,1.38159,1.46474,1.55634,1.68767,2.00161,2.47301,0.0139652,0.019333,0.0262755,0.0327061,0.0393183,0.0470932,0.0554325,0.0632563,0.0711528,0.079897,0.0874498,0.0982528,0.104979,0.116847,0.124755,0.13595,0.147558,0.158448,0.171793,0.183665,0.198498,0.212124,0.229268,0.243029,0.261215,0.279739,0.300923,0.321407,0.343064,0.371551,0.396653,0.427455,0.461687,0.504966,0.54598,0.612142,0.676397,0.756688,0.91046,1.08069,3.25812e+07,1.36958e+06,57571.6,23.8146,23.7547,23.7798,23.7783,23.7791,23.7691,23.7387,23.7702,23.7659,23.8724,23.8069,23.8699,23.8456,23.7879,23.814,23.8679,23.7926,23.736,23.8085,23.8058,23.7886,23.7934,23.7821,23.7809,23.749,23.7802,23.8157,23.7872,23.7811,23.7916,23.7809,23.8007,23.7739,23.7988,23.7569,23.7497,23.792,23.7951,23.7627,23.6724
-49.0479,1,0.881971,1,1,0,49.7647,0.32343,0.390572,1,0,0.358967,1,1.0051,1.00711,1.00974,1.01222,1.01481,1.01791,1.0213,1.02454,1.02788,1.03164,1.03496,1.0398,1.04289,1.04844,1.05223,1.05771,1.06355,1.06917,1.07626,1.08274,1.0911,1.09902,1.10935,1.11793,1.12967,1.14213,1.15701,1.17207,1.18872,1.21184,1.23338,1.26141,1.29471,1.34026,1.3872,1.47134,1.56395,1.69664,2.01351,2.48887,0.0139646,0.0193319,0.0262734,0.0327028,0.0393135,0.0470864,0.055423,0.0632438,0.0711369,0.0798769,0.0874256,0.0982221,0.104944,0.116803,0.124705,0.13589,0.147487,0.158366,0.171696,0.183554,0.198367,0.211974,0.229091,0.24283,0.260983,0.279471,0.300611,0.321049,0.342653,0.371066,0.396096,0.426804,0.460923,0.504046,0.5449,0.610779,0.674734,0.754617,0.907524,1.0767,3.25864e+07,1.36969e+06,57571.6,23.8147,23.7549,23.7799,23.7786,23.7794,23.7694,23.7391,23.7707,23.7664,23.873,23.8075,23.8706,23.8463,23.7887,23.8149,23.8689,23.7937,23.7371,23.8097,23.8071,23.7901,23.795,23.7838,23.7827,23.751,23.7823,23.8179,23.7896,23.7838,23.7944,23.7839,23.804,23.7775,23.8028,23.7612,23.7545,23.7973,23.8011,23.7697,23.6804
-49.3601,0.949134,0.881971,1,1,0,49.4376,0.321569,0.391279,1,0,0.356495,1,1.00506,1.00706,1.00967,1.01214,1.01471,1.01779,1.02115,1.02437,1.02768,1.03143,1.03472,1.03953,1.04259,1.04811,1.05187,1.05732,1.06312,1.06871,1.07574,1.08219,1.09049,1.09836,1.10862,1.11714,1.12882,1.1412,1.15599,1.17095,1.18751,1.21048,1.23191,1.25978,1.2929,1.33821,1.38491,1.46865,1.56085,1.69299,2.00866,2.48242,0.0139648,0.0193323,0.0262743,0.0327042,0.0393155,0.0470892,0.0554269,0.0632489,0.0711434,0.0798851,0.0874354,0.0982346,0.104959,0.116821,0.124726,0.135915,0.147516,0.158399,0.171736,0.183599,0.19842,0.212035,0.229163,0.242911,0.261078,0.279581,0.300738,0.321195,0.342821,0.371264,0.396323,0.427069,0.461234,0.504421,0.545339,0.611334,0.675411,0.75546,0.908718,1.07832,3.25843e+07,1.36964e+06,57571.6,23.8146,23.7548,23.7799,23.7785,23.7793,23.7693,23.7389,23.7705,23.7662,23.8727,23.8073,23.8703,23.846,23.7884,23.8146,23.8685,23.7932,23.7367,23.8092,23.8066,23.7895,23.7944,23.7831,23.782,23.7502,23.7814,23.817,23.7886,23.7827,23.7933,23.7827,23.8027,23.7761,23.8012,23.7595,23.7526,23.7952,23.7987,23.7668,23.6771
-48.9385,1,0.881971,1,1,0,49.3326,0.324156,0.390297,1,0,0.359932,1,1.00511,1.00713,1.00977,1.01225,1.01485,1.01796,1.02136,1.02461,1.02795,1.03173,1.03505,1.03991,1.043,1.04857,1.05237,1.05787,1.06372,1.06936,1.07646,1.08296,1.09134,1.09928,1.10963,1.11823,1.13001,1.1425,1.15741,1.17251,1.1892,1.21236,1.23396,1.26205,1.29542,1.34106,1.38809,1.47238,1.56516,1.69807,2.0154,2.49139,0.0139645,0.0193317,0.0262731,0.0327023,0.0393127,0.0470853,0.0554214,0.0632418,0.0711344,0.0798737,0.0874217,0.0982172,0.104939,0.116796,0.124697,0.135881,0.147476,0.158353,0.171681,0.183536,0.198346,0.21195,0.229063,0.242798,0.260946,0.279429,0.300561,0.320992,0.342588,0.370988,0.396008,0.4267,0.460802,0.5039,0.544728,0.610563,0.67447,0.754289,0.90706,1.07607,3.25873e+07,1.36971e+06,57571.6,23.8147,23.7549,23.78,23.7786,23.7794,23.7694,23.7391,23.7707,23.7664,23.873,23.8076,23.8707,23.8464,23.7889,23.8151,23.869,23.7938,23.7373,23.8099,23.8073,23.7903,23.7952,23.7841,23.783,23.7513,23.7826,23.8183,23.79,23.7842,23.7949,23.7844,23.8046,23.7781,23.8034,23.7619,23.7553,23.7982,23.802,23.7708,23.6816
-49.9422,0.845822,0.881971,1,1,0,49.9424,0.318654,0.392383,1,0,0.352631,1,1.00501,1.00698,1.00957,1.01201,1.01455,1.0176,1.02093,1.02411,1.02739,1.03109,1.03435,1.03911,1.04214,1.0476,1.05132,1.05671,1.06245,1.06798,1.07494,1.08132,1.08953,1.09733,1.10748,1.11592,1.12747,1.13973,1.15438,1.1692,1.1856,1.20837,1.2296,1.25722,1.29006,1.33499,1.38132,1.46443,1.55598,1.68725,2.00105,2.47226,0.0139652,0.019333,0.0262756,0.0327063,0.0393185,0.0470936,0.055433,0.0632568,0.0711536,0.079898,0.0874509,0.0982542,0.104981,0.116849,0.124758,0.135953,0.147562,0.158451,0.171798,0.183671,0.198504,0.212131,0.229276,0.243039,0.261226,0.279752,0.300938,0.321424,0.343083,0.371574,0.396679,0.427485,0.461723,0.505009,0.54603,0.612206,0.676475,0.756786,0.910598,1.08088,3.2581e+07,1.36957e+06,57571.6,23.8146,23.7547,23.7798,23.7783,23.7791,23.7691,23.7387,23.7702,23.7658,23.8724,23.8069,23.8699,23.8455,23.7879,23.814,23.8679,23.7926,23.7359,23.8085,23.8057,23.7886,23.7934,23.7821,23.7808,23.7489,23.7801,23.8156,23.7871,23.781,23.7915,23.7807,23.8006,23.7738,23.7986,23.7567,23.7495,23.7917,23.7949,23.7623,23.672
-48.9761,0.980183,0.881971,2,7,0,50.1715,0.347081,0.3815,1,0,0.390837,1,1.00555,1.00774,1.0106,1.0133,1.01612,1.01949,1.02318,1.02671,1.03033,1.03443,1.03803,1.0433,1.04665,1.05268,1.05679,1.06275,1.06908,1.07518,1.08286,1.08989,1.09894,1.10752,1.11869,1.12796,1.14065,1.15409,1.17013,1.18635,1.20426,1.22908,1.25218,1.28218,1.31775,1.36627,1.41616,1.50528,1.60303,1.74257,2.07424,2.56962,0.0139615,0.0193258,0.0262623,0.0326855,0.0392884,0.0470502,0.0553727,0.063178,0.0710535,0.0797713,0.0872986,0.0980611,0.10476,0.116573,0.124443,0.135577,0.147117,0.157937,0.17119,0.182972,0.197683,0.211189,0.22817,0.24179,0.259775,0.278079,0.29899,0.319191,0.340526,0.368556,0.393223,0.423451,0.456996,0.499331,0.539378,0.60384,0.666293,0.744147,0.892788,1.05682,3.26134e+07,1.37026e+06,57571.6,23.8152,23.7555,23.7809,23.7797,23.7808,23.7711,23.741,23.7729,23.7689,23.8758,23.8107,23.8742,23.8501,23.793,23.8195,23.8739,23.7991,23.743,23.8162,23.814,23.7976,23.803,23.7926,23.792,23.761,23.7931,23.8297,23.8022,23.7973,23.8092,23.7997,23.8212,23.7961,23.8232,23.7834,23.7793,23.8247,23.8314,23.8052,23.7209
